Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Yellow Corn Production,0102800000,Ilocos Norte,6.2867,5.8651,6.3014,5.9415,6.168,5.4484,6.1898,5.7029,6.2152,5.7544,6.3011
Yellow Corn Production,0102900000,Ilocos Sur,6.311,5.4517,6.087,5.9006,6.15,5.8908,6.0443,5.983,6.0184,5.8491,5.9687
Yellow Corn Production,0103300000,La Union,6.0087,4.88,6.0186,4.9,6.0899,4.92,6.0747,4.9486,6.0615,4.9987,6.0544
Yellow Corn Production,0105500000,Pangasinan,6.2758,5.6722,6.3101,5.6762,6.277,5.5773,6.2967,5.6102,6.3085,5.6465,6.3971
Yellow Corn Production,0200900000,Batanes,3.2413,1.6132,3.5825,3.0781,3.6146,2.9873,3.3192,2.5972,3.155,3.1669,2.9988
Yellow Corn Production,0201500000,Cagayan,4.5074,4.2215,4.7732,3.953,4.897,4.1336,4.5232,4.4878,4.4411,4.2712,4.2367
Yellow Corn Production,0203100000,Isabela,4.6095,4.2488,4.6601,4.3646,4.5686,4.2826,4.4112,4.5056,4.5963,4.5936,4.1726
Yellow Corn Production,0205000000,Nueva Vizcaya,4.4604,4.5071,4.6075,4.5699,4.6973,4.3375,4.248,4.6335,4.6894,4.5235,4.3842
Yellow Corn Production,0205700000,Quirino,4.54,3.8131,4.6022,4.3491,4.6223,4.3291,4.2247,4.3559,4.4487,4.302,3.9636
Yellow Corn Production,0300800000,Bataan,6.3658,4.8511,6.9784,5.0166,6.4578,4.7949,6.5112,4.9119,6.5306,5.899,6.433
Yellow Corn Production,0301400000,Bulacan,4.33,,4.9388,4.5267,5.44,4.9728,4.7619,4.4754,5.1875,5.6038,5.6711
Yellow Corn Production,0304900000,Nueva Ecija,7.0149,7.2137,7.1,7.1745,7.0808,7.1012,7.0644,7.0,6.8971,6.5275,7.0164
Yellow Corn Production,0305400000,Pampanga,6.3943,,6.3807,5.6369,6.5937,4.9507,5.0351,4.9901,5.7961,4.9237,5.9385
Yellow Corn Production,0306900000,Tarlac,7.0316,6.8,7.0639,6.7281,7.0846,6.4662,7.015,6.7026,7.0198,6.7964,7.0521
Yellow Corn Production,0307100000,Zambales,5.5445,5.8523,5.884,4.6585,5.9726,5.3871,4.9504,5.1579,5.5258,5.57,5.8173
Yellow Corn Production,0307700000,Aurora,5.37,5.2953,5.8079,5.4442,5.8048,4.0325,5.5466,4.6219,4.4727,4.0832,5.2047
Yellow Corn Production,0401000000,Batangas,4.6875,4.4306,4.039,4.2261,4.0871,4.3739,3.8785,3.7642,4.52,3.2366,4.5861
Yellow Corn Production,0402100000,Cavite,1.3649,2.1565,2.3737,2.0633,2.1795,1.8471,1.6962,1.9965,3.2069,2.0403,3.1099
Yellow Corn Production,0403400000,Laguna,3.4198,5.1596,4.0346,5.0206,4.4971,4.9253,4.0553,4.9011,4.6921,4.1511,4.1743
Yellow Corn Production,0405600000,Quezon,3.1532,3.6044,3.422,3.4467,3.3546,3.8747,3.3547,2.9819,3.8135,3.0128,3.8186
Yellow Corn Production,0405800000,Rizal,4.3738,4.0265,4.3166,4.1126,4.0528,3.3788,4.0167,2.6711,3.6322,3.5325,4.5611
Yellow Corn Production,0500500000,Albay,2.5858,3.0993,3.2364,3.105,3.3247,3.0527,3.1984,2.8199,3.0874,2.78,2.9951
Yellow Corn Production,0501600000,Camarines Norte,4.0665,4.3,4.0,4.2293,4.04,4.4,2.9346,4.3056,2.2,4.0626,2.75
Yellow Corn Production,0501700000,Camarines Sur,4.1852,4.2351,4.1133,4.3389,4.0357,4.1035,3.9648,3.7759,4.0046,4.0196,4.0112
Yellow Corn Production,0502000000,Catanduanes,1.2318,,,,,,,,,,0.6769
Yellow Corn Production,0504100000,Masbate,2.7091,2.1329,2.7289,2.7036,2.3144,2.7167,2.2027,2.9545,2.6454,3.3698,3.138
Yellow Corn Production,0506200000,Sorsogon,2.3043,2.4,2.3904,2.3714,2.3146,2.3681,2.2577,2.2,2.1229,1.672,1.9071
Yellow Corn Production,0600400000,Aklan,2.5246,2.8703,2.1822,2.9812,3.0917,3.1061,2.84,2.978,2.8768,3.1154,3.0796
Yellow Corn Production,0600600000,Antique,4.8746,3.6525,4.8625,4.3244,5.0358,4.179,4.168,4.3104,4.4695,3.9244,5.6643
Yellow Corn Production,0601900000,Capiz,3.1981,4.5075,4.2473,4.6397,3.654,4.8076,4.71,4.892,4.9114,4.8897,4.9474
Yellow Corn Production,0603000000,Iloilo,4.5424,5.1448,4.5272,4.8816,4.509,4.8408,4.4056,4.8769,4.848,4.2894,4.9148
Yellow Corn Production,0607900000,Guimaras,2.5806,4.344,2.5634,4.1951,2.6667,3.7532,1.7125,2.4091,1.6091,3.0364,1.7222
Yellow Corn Production,0701200000,Bohol,2.625,3.0,2.8246,2.6572,1.9458,2.7764,2.3407,2.9266,2.4673,3.0413,3.2213
Yellow Corn Production,0702200000,Cebu,4.1818,4.2129,3.8,4.1533,3.625,3.6397,3.4571,3.8516,3.3319,3.6235,3.39
Yellow Corn Production,0802600000,Eastern Samar,1.3333,1.16,1.125,1.1334,1.2353,1.1917,1.25,1.0391,1.1,1.85,0.85
Yellow Corn Production,0803700000,Leyte,1.5069,1.577,1.4747,1.537,1.4296,1.4715,1.4047,1.544,1.4387,1.466,1.3978
Yellow Corn Production,0804800000,Northern Samar,2.0485,2.0807,2.03,2.1004,2.0138,2.1173,2.0084,2.1464,1.9703,2.1418,1.9955
Yellow Corn Production,0806000000,Samar (Western Samar),1.3871,1.8333,1.3804,1.7847,1.4538,1.7375,1.8885,1.6955,1.8426,1.5648,2.1929
Yellow Corn Production,0806400000,Southern Leyte,2.1822,2.4959,2.132,2.4507,1.96,2.4211,1.85,2.3333,1.6842,2.2143,1.75
Yellow Corn Production,0807800000,Biliran,1.0851,1.2432,1.1463,1.1899,1.1321,1.1597,1.1321,1.1786,1.1415,1.1429,1.0506
Yellow Corn Production,0906600000,Sulu,,,,,,,,,,,
Yellow Corn Production,0907200000,Zamboanga del Norte,2.4379,2.8663,2.2761,3.2282,2.5264,3.0352,2.4279,3.5316,2.7809,3.3249,2.5809
Yellow Corn Production,0907300000,Zamboanga del Sur,2.5467,2.4775,2.9767,2.5839,2.7584,3.0016,3.7474,2.9808,3.425,3.1913,2.6392
Yellow Corn Production,0907400000,Zamboanga City,,,,,,,,,4.1957,4.1981,3.9211
Yellow Corn Production,0908300000,Zamboanga Sibugay,3.7051,3.5069,3.5909,3.538,3.2784,3.2639,2.4771,3.0765,2.8372,2.9515,2.7539
Yellow Corn Production,1001300000,Bukidnon,4.0026,5.2863,4.0979,5.2201,4.1441,5.3066,4.3229,5.4234,4.3648,5.4228,4.4869
Yellow Corn Production,1001800000,Camiguin,2.1677,2.7132,1.9158,2.4384,2.1238,2.3052,2.09,1.8552,2.1827,2.3033,1.9267
Yellow Corn Production,1003500000,Lanao del Norte,4.731,4.6872,4.0848,4.5115,4.1454,4.4742,4.119,3.9305,4.2109,3.8489,4.2365
Yellow Corn Production,1004200000,Misamis Occidental,3.8542,4.0597,3.7998,3.9493,3.677,3.6354,3.6017,3.7093,3.3446,3.5456,3.3405
Yellow Corn Production,1004300000,Misamis Oriental,4.0065,5.2042,3.6996,5.0182,3.8696,4.9241,3.8795,4.1834,3.9253,4.0338,3.9445
Yellow Corn Production,1102300000,Davao del Norte,2.1072,2.6054,2.7181,3.1104,2.8865,3.0584,2.8634,2.7429,3.0597,2.887,3.1262
Yellow Corn Production,1102400000,Davao del Sur,3.6694,3.5284,3.7109,3.359,3.5451,3.6519,3.0508,3.2295,3.1834,3.1192,3.2836
Yellow Corn Production,1102500000,Davao Oriental,2.4575,2.1628,2.2889,2.3375,2.3851,2.4483,2.3144,2.3966,2.402,2.5356,2.526
Yellow Corn Production,1108200000,Davao de Oro (Compostela Valley),2.4526,2.9074,2.341,2.5396,2.6028,2.6119,2.3616,2.5801,2.6595,2.5132,2.6916
Yellow Corn Production,1108600000,Davao Occidental,2.392,3.1029,2.5179,2.902,2.9573,3.0426,3.2923,3.2144,3.2207,3.2086,3.1796
Yellow Corn Production,1130700000,Davao City,,,,,,,,,2.707,3.6203,2.9363
