Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Sweet Potato,CAR,Abra,1400100000,697.41,687.12,691.52,564.42,479.37,546.80,181.85
Sweet Potato,CAR,Apayao,1408100000,188.26,189.55,198.72,199.90,190.01,150.89,48.98
Sweet Potato,CAR,Benguet,1401100000,4972.91,4256.40,4106.20,4097.54,3340.00,3077.80,649.86
Sweet Potato,CAR,Ifugao,1402700000,2414.66,1055.85,672.33,374.16,99.40,143.12,62.44
Sweet Potato,CAR,Kalinga,1403200000,152.10,168.33,186.66,178.02,175.75,177.59,13.24
Sweet Potato,CAR,Mountain Province,1404400000,919.70,956.92,985.26,939.86,880.15,880.98,269.26
Sweet Potato,Region I,Ilocos Norte,0102800000,2259.73,2172.58,2130.76,2156.71,2163.58,2014.73,1111.37
Sweet Potato,Region I,Ilocos Sur,0102900000,1248.53,1322.67,1354.11,1406.07,1357.87,1375.43,441.26
Sweet Potato,Region I,La Union,0103300000,5471.43,5456.50,5285.51,4894.89,4609.39,4642.86,1166.40
Sweet Potato,Region I,Pangasinan,0105500000,6613.19,6560.97,6403.70,6152.73,6021.78,6338.33,3955.15
Sweet Potato,Region II,Batanes,0200900000,487.76,675.39,743.43,802.45,801.82,812.03,321.01
Sweet Potato,Region II,Cagayan,0201500000,2854.19,3268.53,3326.10,3290.34,3112.22,3359.05,823.54
Sweet Potato,Region II,Isabela,0203100000,390.19,328.62,335.84,327.36,285.63,268.00,208.60
Sweet Potato,Region II,Nueva Vizcaya,0205000000,3646.71,3712.15,3801.95,4358.90,6394.52,6011.84,2154.77
Sweet Potato,Region II,Quirino,0205700000,231.33,216.37,210.59,205.19,210.78,213.71,69.48
Sweet Potato,Region III,Aurora,0307700000,3786.63,3033.53,2502.61,2493.04,2701.10,3034.90,0.46
Sweet Potato,Region III,Bataan,0300800000,2857.95,3156.91,4545.73,195.75,218.68,199.33,15.58
Sweet Potato,Region III,Bulacan,0301400000,830.60,734.99,617.35,518.32,478.50,517.40,64.33
Sweet Potato,Region III,Nueva Ecija,0304900000,1692.73,1616.11,1448.48,1432.87,1236.43,1137.23,137.66
Sweet Potato,Region III,Pampanga,0305400000,2928.56,3116.91,3185.17,3224.91,3306.25,3185.32,1584.91
Sweet Potato,Region III,Tarlac,0306900000,40933.33,35798.67,38754.71,35777.06,34469.27,35228.04,4099.47
Sweet Potato,Region III,Zambales,0307100000,2357.54,2667.99,2238.62,2158.43,4252.06,3485.61,658.17
Sweet Potato,Region IV-A,Batangas,0401000000,303.99,225.38,206.57,207.90,254.20,290.82,94.18
Sweet Potato,Region IV-A,Cavite,0402100000,953.76,976.40,1031.05,795.96,726.69,790.23,346.95
Sweet Potato,Region IV-A,Laguna,0403400000,1365.38,1437.06,1274.41,821.48,1387.57,1240.08,263.41
Sweet Potato,Region IV-A,Quezon,0405600000,25794.84,26154.35,25863.34,25502.53,23574.04,22825.22,7163.95
Sweet Potato,Region IV-A,Rizal,0405800000,920.01,950.01,946.83,962.35,911.45,919.09,519.74
Sweet Potato,MIMAROPA,Marinduque,1704000000,1080.35,1104.35,934.09,571.12,442.03,416.58,97.56
Sweet Potato,MIMAROPA,Occidental Mindoro,1705100000,7722.70,8768.95,9974.86,9138.42,4826.66,5262.40,27.10
Sweet Potato,MIMAROPA,Oriental Mindoro,1705200000,2284.73,3320.81,4742.37,4403.81,3716.90,3614.65,31.79
Sweet Potato,MIMAROPA,Palawan,1705300000,4345.01,4192.07,3700.34,2803.77,2618.67,2634.29,1107.04
Sweet Potato,MIMAROPA,City of Puerto Princesa,1731500000,0.00,0.00,0.00,0.00,0.00,0.00,3.04
Sweet Potato,MIMAROPA,Romblon,1705900000,1332.18,1391.27,1470.68,1236.94,1040.78,1001.46,485.56
Sweet Potato,Region V,Albay,0500500000,47410.41,50045.36,50998.74,41918.86,33640.02,19098.22,250.80
Sweet Potato,Region V,Camarines Norte,0501600000,916.91,840.56,844.70,451.54,415.82,239.73,4.55
Sweet Potato,Region V,Camarines Sur,0501700000,31833.80,31999.58,30630.40,25543.54,16186.38,10180.56,1190.09
Sweet Potato,Region V,Catanduanes,0502000000,5322.12,4864.03,5042.94,4863.41,4910.64,4073.16,337.19
Sweet Potato,Region V,Masbate,0504100000,1934.84,2016.26,2199.71,2284.37,2782.61,2652.82,1487.68
Sweet Potato,Region V,Sorsogon,0506200000,4077.40,3570.56,3280.58,3038.18,2140.78,1565.66,114.39
Sweet Potato,Region VI,Aklan,0600400000,2217.86,2706.21,3348.48,2972.06,3008.90,3133.99,310.35
Sweet Potato,Region VI,Antique,0600600000,4143.11,4580.12,4607.22,4490.34,3648.45,3280.44,377.22
Sweet Potato,Region VI,Capiz,0601900000,3874.92,3855.17,3844.29,3798.00,3724.20,3872.11,322.62
Sweet Potato,Region VI,Guimaras,0607900000,1935.04,2327.00,2379.49,2037.63,2216.55,2419.81,1702.51
Sweet Potato,Region VI,Iloilo,0603000000,15279.00,15474.21,16078.72,15040.88,13346.76,13380.71,6823.51
Sweet Potato,NIR,Negros Occidental,1804500000,18565.85,18622.00,18736.41,18448.93,0.00,0.00,0.00
Sweet Potato,NIR,Negros Occidental,1804500000,0.00,0.00,0.00,0.00,18362.52,18287.64,2233.10
Sweet Potato,NIR,City of Bacolod,1830200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sweet Potato,NIR,Negros Oriental,1804600000,0.00,0.00,0.00,0.00,10026.17,7117.06,900.85
Sweet Potato,NIR,Siquijor,1806100000,0.00,0.00,0.00,0.00,398.20,409.40,200.79
Sweet Potato,Region VII,Bohol,0701200000,5271.26,4622.07,3968.22,3677.13,2523.44,2142.48,280.45
Sweet Potato,Region VII,Cebu,0702200000,13762.35,13359.66,13727.00,13662.60,13243.53,13568.14,2375.67
Sweet Potato,NIR,Negros Oriental,1804600000,13240.82,14075.90,13865.83,12243.99,0.00,0.00,0.00
Sweet Potato,NIR,Siquijor,1806100000,417.17,421.61,427.39,434.22,0.00,0.00,0.00
Sweet Potato,Region VIII,Biliran,0807800000,1935.00,2120.00,2252.46,2023.48,1465.80,1561.69,339.60
