Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Banana Saba,CAR,Abra,1400100000,0,0,0,0,0,199450,24112
Banana Saba,CAR,Apayao,1408100000,0,0,0,0,0,322000,77000
Banana Saba,CAR,Benguet,1401100000,0,0,0,0,0,21000,5250
Banana Saba,CAR,Ifugao,1402700000,0,0,0,0,0,136235,45935
Banana Saba,CAR,Kalinga,1403200000,0,0,0,0,0,969236,242309
Banana Saba,CAR,Mountain Province,1404400000,0,0,0,0,0,101040,27385
Banana Saba,Region I,Ilocos Norte,0102800000,0,0,0,0,0,1002614,250453
Banana Saba,Region I,Ilocos Sur,0102900000,0,0,0,0,0,1083364,270941
Banana Saba,Region I,La Union,0103300000,0,0,0,0,0,496343,122987
Banana Saba,Region I,Pangasinan,0105500000,0,0,0,0,0,1924179,473296
Banana Saba,Region II,Batanes,0200900000,0,0,0,0,0,4638,1615
Banana Saba,Region II,Cagayan,0201500000,0,0,0,0,0,3603482,901888
Banana Saba,Region II,Isabela,0203100000,0,0,0,0,0,11735751,2731711
Banana Saba,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,1232212,347819
Banana Saba,Region II,Quirino,0205700000,0,0,0,0,0,5902433,1181286
Banana Saba,Region III,Aurora,0307700000,0,0,0,0,0,190568,47642
Banana Saba,Region III,Bataan,0300800000,0,0,0,0,0,197891,54117
Banana Saba,Region III,Bulacan,0301400000,0,0,0,0,0,1143400,285850
Banana Saba,Region III,Nueva Ecija,0304900000,0,0,0,0,0,384576,96144
Banana Saba,Region III,Pampanga,0305400000,0,0,0,0,0,332760,83190
Banana Saba,Region III,Tarlac,0306900000,0,0,0,0,0,526540,131635
Banana Saba,Region III,Zambales,0307100000,0,0,0,0,0,604132,151033
Banana Saba,Region IV-A,Batangas,0401000000,0,0,0,0,0,5240120,1320013
Banana Saba,Region IV-A,Cavite,0402100000,0,0,0,0,0,994463,248248
Banana Saba,Region IV-A,Laguna,0403400000,0,0,0,0,0,4199700,1050800
Banana Saba,Region IV-A,Quezon,0405600000,0,0,0,0,0,6340220,1586130
Banana Saba,Region IV-A,Rizal,0405800000,0,0,0,0,0,856251,185451
Banana Saba,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,493844,123461
Banana Saba,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,599832,149958
Banana Saba,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,4649090,725011
Banana Saba,MIMAROPA,Palawan,1705300000,0,0,0,0,0,3600552,777148
Banana Saba,MIMAROPA,Romblon,1705900000,0,0,0,0,0,1830425,450425
Banana Saba,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,122990
Banana Saba,Region V,Albay,0500500000,0,0,0,0,0,471238,114048
Banana Saba,Region V,Camarines Norte,0501600000,0,0,0,0,0,4067800,1016950
