Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Upo [Bottle gourd],Cordillera Administrative Region (CAR),Abra,1400100000,942.26,933.15,938.78,876.96,636.62,751.35,419.1
Upo [Bottle gourd],Cordillera Administrative Region (CAR),Apayao,1408100000,20.64,19.42,21.19,24.05,24.08,23.47,13.85
Upo [Bottle gourd],Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0.02,0,0,0
Upo [Bottle gourd],Cordillera Administrative Region (CAR),Ifugao,1402700000,130.99,129.55,132.83,156.33,10.2,8.39,2
Upo [Bottle gourd],Cordillera Administrative Region (CAR),Kalinga,1403200000,12.46,15.07,19.44,22.51,20.73,19.75,16.25
Upo [Bottle gourd],Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,0,0.34
Upo [Bottle gourd],Region I (Ilocos Region),Ilocos Norte,0102800000,3147.8,3198.36,3355.42,3450.66,3316.06,3164.55,1612.44
Upo [Bottle gourd],Region I (Ilocos Region),Ilocos Sur,0102900000,1190.95,1103.48,1032.99,1066.72,1075.59,1068.82,137.8
Upo [Bottle gourd],Region I (Ilocos Region),La Union,0103300000,1942.95,1764.59,1823.61,1735.67,1672.84,1615.32,825.73
Upo [Bottle gourd],Region I (Ilocos Region),Pangasinan,0105500000,4366.19,4652.57,4694.45,4206.68,4412.99,6654.02,6915.27
Upo [Bottle gourd],Region II (Cagayan Valley),Batanes,0200900000,11.62,10.3,12.89,11.65,9.5,11.38,3.98
Upo [Bottle gourd],Region II (Cagayan Valley),Cagayan,0201500000,3015.33,3191.92,3679.11,3210.12,2585.18,2410.55,1976.3
Upo [Bottle gourd],Region II (Cagayan Valley),Isabela,0203100000,4112.74,4350.44,4338.08,4264.45,4002.91,3853.68,2573.65
Upo [Bottle gourd],Region II (Cagayan Valley),Nueva Vizcaya,0205000000,251.72,247.22,238.96,318.75,243.76,255.13,141.7
Upo [Bottle gourd],Region II (Cagayan Valley),Quirino,0205700000,215.59,175.48,201.01,198.95,190.09,193.13,92.07
Upo [Bottle gourd],Region III (Central Luzon),Aurora,0307700000,78.99,92.52,129.91,143,114.61,93.84,0
Upo [Bottle gourd],Region III (Central Luzon),Bataan,0300800000,83.49,111.85,122.03,144.76,127.83,104.89,21.77
Upo [Bottle gourd],Region III (Central Luzon),Bulacan,0301400000,2470.09,2390.68,2960.46,3046.04,2949.67,3013.4,1670.75
Upo [Bottle gourd],Region III (Central Luzon),Nueva Ecija,0304900000,7031.31,6611.67,6694.45,6393.35,5364.02,5473.74,877.04
Upo [Bottle gourd],Region III (Central Luzon),Pampanga,0305400000,927.84,978.11,1061.24,1030.3,1140.71,1113.97,729.1
Upo [Bottle gourd],Region III (Central Luzon),Tarlac,0306900000,221.98,235.17,233.4,226.41,233.34,238.67,60.67
Upo [Bottle gourd],Region III (Central Luzon),Zambales,0307100000,799.84,873.36,933.63,953.85,673.13,63.49,21.1
Upo [Bottle gourd],Region IV-A (CALABARZON),Batangas,0401000000,7128.5,6194.51,5402.92,5254.25,4012.87,4062.08,2533.9
Upo [Bottle gourd],Region IV-A (CALABARZON),Cavite,0402100000,2013.66,2133.64,2084.18,1995.93,2161.61,2143.61,1253.85
Upo [Bottle gourd],Region IV-A (CALABARZON),Laguna,0403400000,1874.19,1942.33,1940.76,1809.98,1749.04,1767.78,423.73
Upo [Bottle gourd],Region IV-A (CALABARZON),Quezon,0405600000,6319.31,6354.39,6773.52,6749.65,6561.97,6433.44,2793.38
