Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Upo,CAR,Abra,1400100000,,,,,,2.65,3.10
Upo,CAR,Apayao,1408100000,,,,,,3.63,5.89
Upo,CAR,Benguet,1401100000,,,,,,,
Upo,CAR,Ifugao,1402700000,,,,,,4.30,6.67
Upo,CAR,Kalinga,1403200000,,,,,,6.50,108.33
Upo,CAR,Mountain Province,1404400000,,,,,,,1.55
Upo,Region I,Ilocos Norte,0102800000,,,,,,10.26,18.42
Upo,Region I,Ilocos Sur,0102900000,,,,,,9.90,12.58
Upo,Region I,La Union,0103300000,,,,,,5.47,5.96
Upo,Region I,Pangasinan,0105500000,,,,,,19.88,21.08
Upo,Region II,Batanes,0200900000,,,,,,3.35,3.98
Upo,Region II,Cagayan,0201500000,,,,,,5.63,10.67
Upo,Region II,Isabela,0203100000,,,,,,5.06,9.14
Upo,Region II,Nueva Vizcaya,0205000000,,,,,,5.20,5.74
Upo,Region II,Quirino,0205700000,,,,,,6.95,12.95
Upo,Region III,Aurora,0307700000,,,,,,10.36,0.00
Upo,Region III,Bataan,0300800000,,,,,,2.02,1.31
Upo,Region III,Bulacan,0301400000,,,,,,12.71,63.62
Upo,Region III,Nueva Ecija,0304900000,,,,,,9.25,3.97
Upo,Region III,Pampanga,0305400000,,,,,,4.87,7.46
Upo,Region III,Tarlac,0306900000,,,,,,9.31,7.94
Upo,Region III,Zambales,0307100000,,,,,,5.66,6.01
Upo,Region IV-A,Batangas,0401000000,,,,,,3.90,18.63
Upo,Region IV-A,Cavite,0402100000,,,,,,23.44,30.78
Upo,Region IV-A,Laguna,0403400000,,,,,,18.91,27.27
Upo,Region IV-A,Quezon,0405600000,,,,,,4.93,7.65
Upo,Region IV-A,Rizal,0405800000,,,,,,5.58,13.36
Upo,MIMAROPA,Marinduque,1704000000,,,,,,9.19,15.01
Upo,MIMAROPA,Occidental Mindoro,1705100000,,,,,,4.09,4.26
