Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Cassava Food Production,0102800000,Ilocos Norte,3432.11,3461.43,3355.58,3348.13,3375.44,992.77
Cassava Food Production,0102900000,Ilocos Sur,1427.38,1685.31,1476.01,1491.95,1494.58,98.56
Cassava Food Production,0103300000,La Union,2797.11,2715.57,2637.11,2659.56,3050.94,37.19
Cassava Food Production,0105500000,Pangasinan,11171.2,9421.07,8704.86,8879.59,9386.45,2493.04
Cassava Food Production,0200900000,Batanes,7.43,8.41,3.8,6.9,7.56,3.88
Cassava Food Production,0201500000,Cagayan,2903.19,3074.34,3351.2,3311.34,2806.77,1495.09
Cassava Food Production,0203100000,Isabela,5261.29,5409.69,5404.21,5271.84,5192.05,1256.63
Cassava Food Production,0205000000,Nueva Vizcaya,243.99,294.16,336.14,279.89,301.2,118.04
Cassava Food Production,0205700000,Quirino,6212.63,7227.13,7027.77,6832.19,6583.51,3373.93
Cassava Food Production,0300800000,Bataan,1593.38,1871.15,1769.73,1562.44,1653.95,796.84
Cassava Food Production,0301400000,Bulacan,1757.35,1472.06,1285.24,1192.34,1371.97,291.42
Cassava Food Production,0304900000,Nueva Ecija,367.23,377.48,350.93,322.49,355.54,43.85
Cassava Food Production,0305400000,Pampanga,3721.97,3964.18,3821.92,4408.04,4630.04,1552.19
Cassava Food Production,0306900000,Tarlac,1350.27,1365.96,1346.79,1360.5,1422.01,36.73
Cassava Food Production,0307100000,Zambales,3170.79,3010.93,2514.07,2706.1,1683.59,
Cassava Food Production,0307700000,Aurora,2406.27,2222.44,2366.65,1408.21,276.36,67.01
Cassava Food Production,0401000000,Batangas,7465.4,7524.12,7797.84,6947.07,5251.48,1489.34
Cassava Food Production,0402100000,Cavite,845.34,892.85,858.66,1307.72,1680.37,685.49
Cassava Food Production,0403400000,Laguna,1887.19,1943.04,1987.06,1645.34,2059.12,746.05
Cassava Food Production,0405600000,Quezon,31381.94,31051.62,30583.54,30309.7,30270.65,11761.24
Cassava Food Production,0405800000,Rizal,1183.49,1190.92,1115.32,1106.55,1081.02,561.28
Cassava Food Production,0500500000,Albay,8148.12,8742.01,9390.87,7981.8,5564.26,583.28
Cassava Food Production,0501600000,Camarines Norte,3666.04,2952.9,2435.99,2037.72,1689.62,48.58
Cassava Food Production,0501700000,Camarines Sur,38790.65,38968.49,35042.11,23107.37,10489.06,360.31
Cassava Food Production,0502000000,Catanduanes,334.85,411.19,470.37,400.63,233.62,70.02
Cassava Food Production,0504100000,Masbate,5231.19,5410.6,5236.73,5904.54,4760.6,1617.89
Cassava Food Production,0506200000,Sorsogon,3740.34,3318.75,1876.9,761.25,738.45,106.83
Cassava Food Production,0600400000,Aklan,7400.32,8562.7,7548.44,6868.64,6481.37,381.65
Cassava Food Production,0600600000,Antique,4640.73,4414.06,4185.95,4145.26,3849.83,340.94
Cassava Food Production,0601900000,Capiz,5309.6,5303.87,5258.4,5051.5,5110.74,630.0
Cassava Food Production,0603000000,Iloilo,6652.94,6425.26,6841.01,6607.22,5419.18,2091.25
Cassava Food Production,0607900000,Guimaras,815.0,891.05,908.53,1000.44,1238.83,547.94
Cassava Food Production,0701200000,Bohol,12946.98,9170.28,8912.52,4482.92,4332.77,464.11
Cassava Food Production,0702200000,Cebu,5738.38,6171.0,6381.25,6079.43,6047.45,926.09
Cassava Food Production,0802600000,Eastern Samar,10879.81,13969.28,14083.26,16744.17,16138.05,3296.25
Cassava Food Production,0803700000,Leyte,10128.42,9630.92,9578.05,9481.03,9397.5,3660.0
Cassava Food Production,0804800000,Northern Samar,8787.0,9219.75,9591.84,9480.13,9127.55,1854.0
Cassava Food Production,0806000000,Samar (Western Samar),15730.6,17951.52,17853.33,16899.89,16171.2,2330.94
Cassava Food Production,0806400000,Southern Leyte,6008.06,5659.35,6547.38,6161.64,5033.54,1015.0
Cassava Food Production,0807800000,Biliran,3735.0,3996.14,4324.45,3671.98,4122.6,1380.68
Cassava Food Production,0906600000,,166460.0,166650.0,169400.0,169000.0,181255.03,27303.75
Cassava Food Production,0907200000,Zamboanga del Norte,7650.21,7316.96,7533.94,6739.27,7141.72,1314.74
Cassava Food Production,0907300000,Zamboanga del Sur,8590.15,9554.73,41627.87,39446.54,9407.25,2637.0
Cassava Food Production,0907400000,Zamboanga City,26006.78,26200.08,,,26052.71,8703.9
Cassava Food Production,0908300000,Zamboanga Sibugay,3656.7,3790.41,3822.96,3796.17,3756.75,248.25
Cassava Food Production,1001300000,Bukidnon,5593.98,5185.37,5857.99,5540.88,5816.9,1380.13
Cassava Food Production,1001800000,Camiguin,2108.19,1915.83,2058.1,2152.26,2373.71,560.54
