Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Cassava Industrial Production,0102800000,Ilocos Norte,,,,,,
Cassava Industrial Production,0102900000,Ilocos Sur,,,,,,
Cassava Industrial Production,0103300000,La Union,,,,,,
Cassava Industrial Production,0105500000,Pangasinan,,,,,,
Cassava Industrial Production,0200900000,Batanes,,,,,,
Cassava Industrial Production,0201500000,Cagayan,6238.6,5738.01,5968.82,5336.13,4421.89,2135.08
Cassava Industrial Production,0203100000,Isabela,135973.35,130601.24,127812.79,118140.31,114480.33,22633.7
Cassava Industrial Production,0205000000,Nueva Vizcaya,3360.87,3714.99,3332.91,2911.26,2816.55,1032.54
Cassava Industrial Production,0205700000,Quirino,30459.35,28951.85,29870.31,29110.72,26271.04,9385.56
Cassava Industrial Production,0300800000,Bataan,709.55,140.25,,,,
Cassava Industrial Production,0301400000,Bulacan,,,,,,
Cassava Industrial Production,0304900000,Nueva Ecija,62.28,,,,,
Cassava Industrial Production,0305400000,Pampanga,8546.4,8939.0,8705.63,9016.44,9383.46,1743.52
Cassava Industrial Production,0306900000,Tarlac,,,,,,
Cassava Industrial Production,0307100000,Zambales,,,,,,
Cassava Industrial Production,0307700000,Aurora,5.0,10.0,,31.16,,
Cassava Industrial Production,0401000000,Batangas,,,,,,
Cassava Industrial Production,0402100000,Cavite,,,,,,
Cassava Industrial Production,0403400000,Laguna,,,,,,
Cassava Industrial Production,0405600000,Quezon,,,,,,
Cassava Industrial Production,0405800000,Rizal,,,,,,
Cassava Industrial Production,0500500000,Albay,2711.48,1743.27,1028.31,355.06,6.92,9.09
Cassava Industrial Production,0501600000,Camarines Norte,20.0,,,,,15.32
Cassava Industrial Production,0501700000,Camarines Sur,4320.04,3945.76,2126.36,1.91,,
Cassava Industrial Production,0502000000,Catanduanes,,,,,,
Cassava Industrial Production,0504100000,Masbate,4893.93,4701.93,4005.57,3964.57,,
Cassava Industrial Production,0506200000,Sorsogon,,,,,,
Cassava Industrial Production,0600400000,Aklan,,,,,,
Cassava Industrial Production,0600600000,Antique,,,,,,
Cassava Industrial Production,0601900000,Capiz,,,,,,
Cassava Industrial Production,0603000000,Iloilo,,,,,,
Cassava Industrial Production,0607900000,Guimaras,,,,,,
Cassava Industrial Production,0701200000,Bohol,235.24,325.98,544.08,458.99,718.27,27.43
Cassava Industrial Production,0702200000,Cebu,8359.7,8735.0,8857.51,8602.19,7497.58,1376.27
Cassava Industrial Production,0802600000,Eastern Samar,28.57,29.68,423.89,452.95,383.75,12.34
Cassava Industrial Production,0803700000,Leyte,31439.84,30783.65,30345.48,29806.2,29787.0,9432.0
Cassava Industrial Production,0804800000,Northern Samar,,,,,,1.15
Cassava Industrial Production,0806000000,Samar (Western Samar),,,29.41,145.24,136.95,
Cassava Industrial Production,0806400000,Southern Leyte,,,,,0.18,
Cassava Industrial Production,0807800000,Biliran,,,,,,
Cassava Industrial Production,0906600000,,,,,,,
Cassava Industrial Production,0907200000,Zamboanga del Norte,13755.76,14173.21,10858.42,10350.95,9198.52,1163.09
Cassava Industrial Production,0907300000,Zamboanga del Sur,23966.97,23474.47,24499.52,21992.38,16943.45,4933.6
Cassava Industrial Production,0907400000,Zamboanga City,6071.77,6158.41,,,8192.81,2731.71
Cassava Industrial Production,0908300000,Zamboanga Sibugay,,,,,,
Cassava Industrial Production,1001300000,Bukidnon,458494.84,471639.25,500701.84,422070.12,402475.54,133919.18
