Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Cauliflower Production,0102800000,Ilocos Norte,2.43,2.53,2.82,2.76,1.69,1.97
Overall Cauliflower Production,0102900000,Ilocos Sur,5184.49,4969.58,4875.79,4985.15,4906.5,2816.7
Overall Cauliflower Production,0103300000,La Union,,,,,,
Overall Cauliflower Production,0105500000,Pangasinan,,,,,,
Overall Cauliflower Production,0200900000,Batanes,2.0,2.29,2.82,3.0,3.2,0.36
Overall Cauliflower Production,0201500000,Cagayan,,,,,,
Overall Cauliflower Production,0203100000,Isabela,,,,,,
Overall Cauliflower Production,0205000000,Nueva Vizcaya,233.16,278.55,274.95,530.98,643.41,489.18
Overall Cauliflower Production,0205700000,Quirino,3.12,2.4,2.64,3.62,6.57,5.65
Overall Cauliflower Production,0300800000,Bataan,,,,,,
Overall Cauliflower Production,0301400000,Bulacan,,,,,,
Overall Cauliflower Production,0304900000,Nueva Ecija,,,,,,
Overall Cauliflower Production,0305400000,Pampanga,,,,,,
Overall Cauliflower Production,0306900000,Tarlac,,,,,,
Overall Cauliflower Production,0307100000,Zambales,,,,,,
Overall Cauliflower Production,0307700000,Aurora,,,,,,
Overall Cauliflower Production,0401000000,Batangas,,,,,,
Overall Cauliflower Production,0402100000,Cavite,,,,,0.05,0.05
Overall Cauliflower Production,0403400000,Laguna,,,,,,
Overall Cauliflower Production,0405600000,Quezon,,,,,,
Overall Cauliflower Production,0405800000,Rizal,,,,,,
Overall Cauliflower Production,0500500000,Albay,,,,,,
Overall Cauliflower Production,0501600000,Camarines Norte,,,,,,
Overall Cauliflower Production,0501700000,Camarines Sur,,,,,,
Overall Cauliflower Production,0502000000,Catanduanes,,,,,,
Overall Cauliflower Production,0504100000,Masbate,,,,,,
Overall Cauliflower Production,0506200000,Sorsogon,,,,,,
Overall Cauliflower Production,0600400000,Aklan,,,,,,
Overall Cauliflower Production,0600600000,Antique,,,,,,
Overall Cauliflower Production,0601900000,Capiz,,,,,,
Overall Cauliflower Production,0603000000,Iloilo,79.33,79.8,84.69,76.86,119.08,83.87
Overall Cauliflower Production,0607900000,Guimaras,,,,,,
Overall Cauliflower Production,0701200000,Bohol,,,,0.01,0.05,
Overall Cauliflower Production,0702200000,Cebu,94.45,81.4,90.48,74.02,62.44,34.78
Overall Cauliflower Production,0802600000,Eastern Samar,,,,,,
Overall Cauliflower Production,0803700000,Leyte,,,,3.82,0.8,
Overall Cauliflower Production,0804800000,Northern Samar,,,,,,
Overall Cauliflower Production,0806000000,Samar (Western Samar),,0.51,,,,
Overall Cauliflower Production,0806400000,Southern Leyte,,,,,,
Overall Cauliflower Production,0807800000,Biliran,,,,,,
Overall Cauliflower Production,0906600000,,,,,,,
Overall Cauliflower Production,0907200000,Zamboanga del Norte,,,,,,
