Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Chili Pepper Production,0102800000,Ilocos Norte,34.07,36.38,41.23,38.58,111.3,404.28
Overall Chili Pepper Production,0102900000,Ilocos Sur,6.8,6.49,8.79,11.06,12.2,1.8
Overall Chili Pepper Production,0103300000,La Union,12.28,12.61,12.15,13.49,11.64,5.17
Overall Chili Pepper Production,0105500000,Pangasinan,166.0,163.53,170.1,165.4,180.02,33.14
Overall Chili Pepper Production,0200900000,Batanes,0.09,0.1,0.12,0.12,0.27,
Overall Chili Pepper Production,0201500000,Cagayan,1.9,1.87,2.92,6.5,16.39,1.39
Overall Chili Pepper Production,0203100000,Isabela,57.71,50.28,48.15,41.54,41.78,8.22
Overall Chili Pepper Production,0205000000,Nueva Vizcaya,9.09,8.44,8.37,17.17,17.77,15.41
Overall Chili Pepper Production,0205700000,Quirino,3.23,3.77,4.01,3.88,3.69,0.71
Overall Chili Pepper Production,0300800000,Bataan,3.55,5.8,6.11,5.53,7.29,4.08
Overall Chili Pepper Production,0301400000,Bulacan,16.0,16.93,36.18,38.21,38.99,66.57
Overall Chili Pepper Production,0304900000,Nueva Ecija,90.7,91.02,103.05,112.09,130.07,2.42
Overall Chili Pepper Production,0305400000,Pampanga,50.76,45.98,50.5,55.17,56.08,12.23
Overall Chili Pepper Production,0306900000,Tarlac,22.18,24.52,24.02,23.07,24.93,6.5
Overall Chili Pepper Production,0307100000,Zambales,,,0.66,1.58,9.36,
Overall Chili Pepper Production,0307700000,Aurora,32.5,36.06,30.49,33.62,1.99,
Overall Chili Pepper Production,0401000000,Batangas,35.09,29.75,43.4,67.48,115.8,16.64
Overall Chili Pepper Production,0402100000,Cavite,5.77,5.79,6.45,15.86,14.78,5.1
Overall Chili Pepper Production,0403400000,Laguna,50.46,38.58,39.94,34.62,36.32,48.25
Overall Chili Pepper Production,0405600000,Quezon,401.11,396.21,407.97,449.22,479.33,200.17
Overall Chili Pepper Production,0405800000,Rizal,0.35,0.49,1.67,6.89,12.55,2.3
Overall Chili Pepper Production,0500500000,Albay,391.33,340.43,187.89,159.15,213.07,9.29
Overall Chili Pepper Production,0501600000,Camarines Norte,3.54,3.15,4.27,4.96,3.45,8.35
Overall Chili Pepper Production,0501700000,Camarines Sur,123.45,148.53,160.22,81.53,51.93,14.68
Overall Chili Pepper Production,0502000000,Catanduanes,3.57,3.48,3.6,3.0,2.29,0.08
