Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Ginger Production,0102800000,Ilocos Norte,564.77,593.27,638.97,617.46,712.87,307.06
Overall Ginger Production,0102900000,Ilocos Sur,144.47,151.84,163.94,152.56,159.31,40.8
Overall Ginger Production,0103300000,La Union,230.71,242.09,248.33,235.6,171.12,60.67
Overall Ginger Production,0105500000,Pangasinan,127.31,129.01,112.47,125.57,137.49,100.87
Overall Ginger Production,0200900000,Batanes,9.46,7.95,10.56,7.79,6.28,3.88
Overall Ginger Production,0201500000,Cagayan,1224.01,1294.63,1155.04,954.72,838.55,537.1
Overall Ginger Production,0203100000,Isabela,117.16,117.76,115.45,108.05,101.15,59.04
Overall Ginger Production,0205000000,Nueva Vizcaya,4024.85,3800.75,3826.71,7140.75,7150.17,3055.45
Overall Ginger Production,0205700000,Quirino,324.06,328.46,340.55,344.61,340.47,459.18
Overall Ginger Production,0300800000,Bataan,66.34,75.14,57.37,64.99,80.59,
Overall Ginger Production,0301400000,Bulacan,315.0,312.0,323.8,318.25,123.3,
Overall Ginger Production,0304900000,Nueva Ecija,528.35,580.14,655.56,644.26,558.81,198.79
Overall Ginger Production,0305400000,Pampanga,10.55,10.48,10.55,461.04,461.07,3.71
Overall Ginger Production,0306900000,Tarlac,185.34,192.03,197.69,216.46,395.98,177.13
Overall Ginger Production,0307100000,Zambales,153.43,145.05,128.44,156.24,112.23,244.03
Overall Ginger Production,0307700000,Aurora,120.09,131.66,142.68,146.23,130.05,132.84
Overall Ginger Production,0401000000,Batangas,498.28,441.0,521.02,390.51,376.58,110.79
Overall Ginger Production,0402100000,Cavite,389.93,328.88,231.56,172.9,186.64,17.78
Overall Ginger Production,0403400000,Laguna,151.53,132.13,171.76,140.21,191.98,
Overall Ginger Production,0405600000,Quezon,2241.34,2282.37,2221.24,2118.2,2190.23,1046.89
Overall Ginger Production,0405800000,Rizal,56.62,80.68,171.0,161.82,332.97,370.65
Overall Ginger Production,0500500000,Albay,162.67,179.36,130.16,23.13,21.5,1.21
Overall Ginger Production,0501600000,Camarines Norte,50.38,38.23,49.53,34.18,24.1,1.59
Overall Ginger Production,0501700000,Camarines Sur,93.52,114.38,124.76,86.4,146.05,96.93
Overall Ginger Production,0502000000,Catanduanes,12.36,13.84,14.24,13.49,8.58,0.08
Overall Ginger Production,0504100000,Masbate,91.71,95.88,203.27,198.42,170.0,101.6
Overall Ginger Production,0506200000,Sorsogon,17.02,15.42,13.18,10.8,10.48,1.92
Overall Ginger Production,0600400000,Aklan,273.2,311.78,259.59,236.44,223.85,56.15
Overall Ginger Production,0600600000,Antique,204.57,231.32,217.69,206.46,208.79,53.23
Overall Ginger Production,0601900000,Capiz,337.3,366.24,393.5,374.0,332.9,108.13
Overall Ginger Production,0603000000,Iloilo,191.81,194.03,201.12,187.39,928.96,265.08
Overall Ginger Production,0607900000,Guimaras,20.36,29.45,33.23,36.88,40.23,15.75
Overall Ginger Production,0701200000,Bohol,521.34,436.22,372.17,292.96,462.59,111.32
Overall Ginger Production,0702200000,Cebu,940.24,911.0,898.74,774.85,875.19,229.27
Overall Ginger Production,0802600000,Eastern Samar,39.87,45.02,64.44,80.86,132.87,10.92
Overall Ginger Production,0803700000,Leyte,1000.95,948.68,981.74,871.38,892.0,15.75
Overall Ginger Production,0804800000,Northern Samar,27.42,29.0,29.09,28.32,26.98,7.0
Overall Ginger Production,0806000000,Samar (Western Samar),267.55,303.09,305.27,297.85,294.44,45.02
Overall Ginger Production,0806400000,Southern Leyte,59.87,57.9,61.83,112.59,108.48,32.44
Overall Ginger Production,0807800000,Biliran,343.0,329.56,324.67,319.89,298.65,74.4
Overall Ginger Production,0906600000,,,,,,,
Overall Ginger Production,0907200000,Zamboanga del Norte,188.96,206.46,345.19,276.74,375.12,48.0
Overall Ginger Production,0907300000,Zamboanga del Sur,223.44,240.18,325.28,322.14,102.89,12.5
Overall Ginger Production,0907400000,Zamboanga City,119.28,119.16,,,19.28,8.24
Overall Ginger Production,0908300000,Zamboanga Sibugay,81.3,79.96,81.63,86.88,87.13,24.16
Overall Ginger Production,1001300000,Bukidnon,517.67,467.0,466.26,401.43,382.56,52.96
Overall Ginger Production,1001800000,Camiguin,34.32,36.74,54.19,55.83,45.83,17.16
Overall Ginger Production,1003500000,Lanao del Norte,4215.0,4245.0,4256.0,4260.0,4269.0,650.0
Overall Ginger Production,1004200000,Misamis Occidental,400.0,510.45,529.51,486.8,494.2,71.58
Overall Ginger Production,1004300000,Misamis Oriental,218.66,270.19,242.48,221.9,226.34,53.46
Overall Ginger Production,1102300000,Davao del Norte,118.47,118.76,116.32,114.74,116.71,14.75
Overall Ginger Production,1102400000,Davao del Sur,277.16,302.6,511.75,522.18,386.52,49.16
Overall Ginger Production,1102500000,Davao Oriental,28.37,26.33,26.83,35.39,35.16,10.15
Overall Ginger Production,1108200000,Davao de Oro (Compostela Valley),486.17,491.22,700.83,453.58,458.39,145.65
Overall Ginger Production,1108600000,Davao Occidental,2.78,2.72,2.79,2.7,2.66,0.38
Overall Ginger Production,1130700000,Davao City,174.61,207.42,,,153.79,22.8
Overall Ginger Production,1204700000,Cotabato (North Cotabato),354.22,326.82,236.88,238.16,226.95,90.69
Overall Ginger Production,1206300000,South Cotabato,114.05,132.76,143.62,71.21,105.23,19.18
Overall Ginger Production,1206500000,Sultan Kudarat,68.06,66.28,66.06,63.64,62.75,33.94
Overall Ginger Production,1208000000,Sarangani,39.9,40.69,37.12,47.61,85.0,15.5
Overall Ginger Production,1400100000,Abra,122.15,125.14,79.03,43.78,78.8,26.05
Overall Ginger Production,1401100000,Benguet,286.23,311.72,301.82,299.48,372.82,121.35
Overall Ginger Production,1402700000,Ifugao,577.95,738.03,605.43,710.55,571.81,49.12
Overall Ginger Production,1403200000,Kalinga,72.41,81.81,100.46,93.7,90.25,53.17
