Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Habitsuelas Production,0102800000,Ilocos Norte,,,,0.02,0.7,0.01
Overall Habitsuelas Production,0102900000,Ilocos Sur,16.76,16.46,27.73,22.74,25.73,16.46
Overall Habitsuelas Production,0103300000,La Union,279.78,291.02,284.23,292.27,289.64,160.69
Overall Habitsuelas Production,0105500000,Pangasinan,65.88,78.06,70.08,68.32,62.66,47.24
Overall Habitsuelas Production,0200900000,Batanes,2.54,2.69,2.55,1.52,1.68,0.73
Overall Habitsuelas Production,0201500000,Cagayan,88.75,102.83,100.09,82.75,79.57,77.5
Overall Habitsuelas Production,0203100000,Isabela,7.46,6.9,2.97,2.16,1.62,1.36
Overall Habitsuelas Production,0205000000,Nueva Vizcaya,2039.53,2137.01,2241.61,4815.58,5154.85,3839.57
Overall Habitsuelas Production,0205700000,Quirino,37.01,40.08,39.2,42.22,45.3,22.34
Overall Habitsuelas Production,0300800000,Bataan,,,,,,
Overall Habitsuelas Production,0301400000,Bulacan,,,,,,
Overall Habitsuelas Production,0304900000,Nueva Ecija,45.7,48.55,48.34,44.35,46.06,10.6
Overall Habitsuelas Production,0305400000,Pampanga,,,,,,
Overall Habitsuelas Production,0306900000,Tarlac,,,,,,
Overall Habitsuelas Production,0307100000,Zambales,,,,,,
Overall Habitsuelas Production,0307700000,Aurora,0.95,0.35,0.87,13.55,,
Overall Habitsuelas Production,0401000000,Batangas,5.39,6.92,4.45,4.0,186.3,17.28
Overall Habitsuelas Production,0402100000,Cavite,,,,,0.05,0.01
Overall Habitsuelas Production,0403400000,Laguna,139.52,128.56,192.33,182.3,402.47,245.56
Overall Habitsuelas Production,0405600000,Quezon,174.81,187.93,194.08,185.94,286.26,85.48
Overall Habitsuelas Production,0405800000,Rizal,,,,,,
Overall Habitsuelas Production,0500500000,Albay,301.6,308.47,247.04,129.18,20.69,
Overall Habitsuelas Production,0501600000,Camarines Norte,,,,,,
Overall Habitsuelas Production,0501700000,Camarines Sur,458.88,453.42,452.03,288.68,36.19,1.45
Overall Habitsuelas Production,0502000000,Catanduanes,0.18,0.18,0.18,0.08,,
Overall Habitsuelas Production,0504100000,Masbate,,,,,,
Overall Habitsuelas Production,0506200000,Sorsogon,,,0.07,0.71,,
Overall Habitsuelas Production,0600400000,Aklan,5.58,5.02,4.74,5.08,3.37,0.45
Overall Habitsuelas Production,0600600000,Antique,9.84,9.42,9.06,8.44,7.4,2.12
Overall Habitsuelas Production,0601900000,Capiz,,,,,,
Overall Habitsuelas Production,0603000000,Iloilo,80.03,62.85,69.13,59.68,132.7,3.86
Overall Habitsuelas Production,0607900000,Guimaras,0.29,0.38,0.34,0.26,0.32,0.11
Overall Habitsuelas Production,0701200000,Bohol,21.13,17.73,44.35,19.14,23.43,15.46
Overall Habitsuelas Production,0702200000,Cebu,1090.56,1044.0,1084.47,889.1,964.97,230.21
Overall Habitsuelas Production,0802600000,Eastern Samar,,,,,,
