Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Jute Mallow Production,0102800000,Ilocos Norte,381.7,399.24,393.82,388.46,388.84,110.54
Overall Jute Mallow Production,0102900000,Ilocos Sur,114.32,138.78,122.97,123.77,124.92,14.81
Overall Jute Mallow Production,0103300000,La Union,40.33,41.62,40.81,42.22,41.79,5.38
Overall Jute Mallow Production,0105500000,Pangasinan,248.35,252.67,224.97,226.85,217.94,15.51
Overall Jute Mallow Production,0200900000,Batanes,0.05,0.07,0.11,1.25,0.06,
Overall Jute Mallow Production,0201500000,Cagayan,12.08,9.82,12.19,11.9,26.18,4.46
Overall Jute Mallow Production,0203100000,Isabela,18.59,17.2,16.28,16.82,17.28,5.05
Overall Jute Mallow Production,0205000000,Nueva Vizcaya,37.39,39.47,44.3,35.7,38.07,17.71
Overall Jute Mallow Production,0205700000,Quirino,7.43,8.4,8.7,9.63,10.67,1.53
Overall Jute Mallow Production,0300800000,Bataan,8.83,8.14,6.81,7.6,7.44,1.31
Overall Jute Mallow Production,0301400000,Bulacan,,,0.02,124.25,70.41,5.7
Overall Jute Mallow Production,0304900000,Nueva Ecija,43.67,41.7,42.44,52.72,51.7,0.52
Overall Jute Mallow Production,0305400000,Pampanga,9.71,8.62,8.77,8.74,8.71,5.92
Overall Jute Mallow Production,0306900000,Tarlac,20.69,21.45,25.42,26.14,25.25,3.46
Overall Jute Mallow Production,0307100000,Zambales,41.45,39.63,24.09,24.93,5.94,5.77
Overall Jute Mallow Production,0307700000,Aurora,45.87,71.08,74.46,68.58,8.83,2.83
Overall Jute Mallow Production,0401000000,Batangas,,,,,,
Overall Jute Mallow Production,0402100000,Cavite,7.59,7.25,3.44,2.96,1.57,2.08
Overall Jute Mallow Production,0403400000,Laguna,5.05,5.07,8.21,8.98,16.87,1.21
Overall Jute Mallow Production,0405600000,Quezon,,,,0.3,0.32,
Overall Jute Mallow Production,0405800000,Rizal,2.23,2.34,2.69,7.16,6.95,1.07
Overall Jute Mallow Production,0500500000,Albay,,,0.01,0.58,,
Overall Jute Mallow Production,0501600000,Camarines Norte,,,0.01,,,
Overall Jute Mallow Production,0501700000,Camarines Sur,,,,0.49,,0.09
Overall Jute Mallow Production,0502000000,Catanduanes,,,,0.1,0.11,0.08
Overall Jute Mallow Production,0504100000,Masbate,,,,,,
Overall Jute Mallow Production,0506200000,Sorsogon,,,,0.02,0.02,
Overall Jute Mallow Production,0600400000,Aklan,48.27,48.34,48.15,48.43,43.29,14.81
Overall Jute Mallow Production,0600600000,Antique,137.83,140.81,139.47,134.47,119.19,34.53
Overall Jute Mallow Production,0601900000,Capiz,59.84,54.3,41.44,52.84,53.91,13.91
Overall Jute Mallow Production,0603000000,Iloilo,640.0,668.0,696.43,631.98,749.29,161.16
Overall Jute Mallow Production,0607900000,Guimaras,63.09,79.6,81.51,85.44,97.85,15.8
Overall Jute Mallow Production,0701200000,Bohol,,,0.76,3.42,3.15,0.66
Overall Jute Mallow Production,0702200000,Cebu,12.47,12.8,11.63,10.58,10.6,2.47
Overall Jute Mallow Production,0802600000,Eastern Samar,0.06,0.09,0.59,0.78,0.61,0.18
Overall Jute Mallow Production,0803700000,Leyte,0.73,0.74,0.81,0.39,1.26,0.08
Overall Jute Mallow Production,0804800000,Northern Samar,1.95,1.99,2.0,1.48,,
Overall Jute Mallow Production,0806000000,Samar (Western Samar),6.63,8.57,4.26,3.15,4.47,2.3
Overall Jute Mallow Production,0806400000,Southern Leyte,,,,1.69,1.7,0.38
Overall Jute Mallow Production,0807800000,Biliran,0.32,0.29,0.44,0.28,0.32,0.06
Overall Jute Mallow Production,0906600000,,,,,,,
Overall Jute Mallow Production,0907200000,Zamboanga del Norte,2.29,1.87,4.11,4.29,4.22,0.19
Overall Jute Mallow Production,0907300000,Zamboanga del Sur,21.1,21.64,39.06,36.1,20.34,4.7
Overall Jute Mallow Production,0907400000,Zamboanga City,17.82,18.66,,,7.6,2.71
Overall Jute Mallow Production,0908300000,Zamboanga Sibugay,1.84,1.72,1.67,1.69,1.79,0.17
Overall Jute Mallow Production,1001300000,Bukidnon,15.62,12.47,7.47,7.21,6.83,0.66
Overall Jute Mallow Production,1001800000,Camiguin,2.57,3.09,5.33,4.46,5.28,1.25
Overall Jute Mallow Production,1003500000,Lanao del Norte,49.45,48.18,47.85,49.18,49.89,0.49
Overall Jute Mallow Production,1004200000,Misamis Occidental,1.19,1.17,1.21,1.22,2.3,1.16
Overall Jute Mallow Production,1004300000,Misamis Oriental,24.3,26.01,26.02,102.95,104.19,2.09
Overall Jute Mallow Production,1102300000,Davao del Norte,28.76,29.05,30.09,29.94,30.34,2.79
Overall Jute Mallow Production,1102400000,Davao del Sur,35.39,35.16,75.01,75.07,37.86,4.49
Overall Jute Mallow Production,1102500000,Davao Oriental,10.22,2.63,2.55,2.27,2.06,0.49
