Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Peanut Production,0102800000,Ilocos Norte,1559.51,1616.73,1657.86,1659.35,1788.78,584.28
Overall Peanut Production,0102900000,Ilocos Sur,2037.82,2228.05,2132.98,2150.75,2176.88,1178.91
Overall Peanut Production,0103300000,La Union,2914.44,3133.67,2876.41,2762.24,2591.35,2076.02
Overall Peanut Production,0105500000,Pangasinan,5697.93,5823.19,5668.11,5952.48,5229.77,2404.52
Overall Peanut Production,0200900000,Batanes,0.22,0.17,0.19,0.47,0.38,0.04
Overall Peanut Production,0201500000,Cagayan,1598.94,2075.98,2084.27,1848.52,1828.18,230.45
Overall Peanut Production,0203100000,Isabela,835.45,791.5,772.61,779.51,777.31,9.67
Overall Peanut Production,0205000000,Nueva Vizcaya,383.47,401.15,430.62,371.36,402.61,68.54
Overall Peanut Production,0205700000,Quirino,24.91,28.03,27.21,12.53,22.73,7.81
Overall Peanut Production,0300800000,Bataan,121.74,162.05,190.31,162.52,162.28,18.99
Overall Peanut Production,0301400000,Bulacan,42.27,42.79,39.59,35.13,36.35,35.47
Overall Peanut Production,0304900000,Nueva Ecija,39.56,39.44,38.19,34.28,35.67,5.78
Overall Peanut Production,0305400000,Pampanga,267.82,296.82,332.33,342.61,341.06,250.79
Overall Peanut Production,0306900000,Tarlac,459.81,477.5,487.9,478.15,455.12,151.58
Overall Peanut Production,0307100000,Zambales,9.61,9.18,8.48,6.16,0.61,1.54
Overall Peanut Production,0307700000,Aurora,1411.83,1108.22,1119.97,872.91,41.16,
Overall Peanut Production,0401000000,Batangas,30.34,32.56,39.26,39.56,39.34,8.07
Overall Peanut Production,0402100000,Cavite,145.55,151.96,177.72,150.23,305.7,
Overall Peanut Production,0403400000,Laguna,3.14,2.44,2.08,2.45,4.04,1.54
Overall Peanut Production,0405600000,Quezon,286.04,295.79,279.93,272.31,281.66,143.32
Overall Peanut Production,0405800000,Rizal,34.4,35.11,33.0,29.4,29.66,10.24
Overall Peanut Production,0500500000,Albay,694.24,713.12,596.06,477.32,511.98,93.82
Overall Peanut Production,0501600000,Camarines Norte,26.74,29.9,63.94,,0.52,
Overall Peanut Production,0501700000,Camarines Sur,106.55,105.02,114.78,327.52,430.61,24.92
Overall Peanut Production,0502000000,Catanduanes,27.21,27.4,26.7,26.18,24.9,0.05
Overall Peanut Production,0504100000,Masbate,63.85,64.22,51.81,50.52,45.87,4.86
