Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Pechay Production,0102800000,Ilocos Norte,911.71,896.45,863.91,870.82,922.98,381.35
Overall Pechay Production,0102900000,Ilocos Sur,153.28,157.15,149.95,150.45,152.26,42.68
Overall Pechay Production,0103300000,La Union,112.97,119.12,115.38,110.6,110.38,49.25
Overall Pechay Production,0105500000,Pangasinan,1327.5,1355.95,1392.47,1406.13,1481.41,1050.17
Overall Pechay Production,0200900000,Batanes,22.04,18.13,20.24,17.22,26.87,15.34
Overall Pechay Production,0201500000,Cagayan,2809.52,2840.66,2495.78,1516.44,2028.38,1585.09
Overall Pechay Production,0203100000,Isabela,2426.3,2229.7,1938.45,1604.79,1595.39,1058.04
Overall Pechay Production,0205000000,Nueva Vizcaya,731.41,715.44,726.92,797.71,881.31,239.77
Overall Pechay Production,0205700000,Quirino,109.96,115.4,113.35,109.39,120.18,112.91
Overall Pechay Production,0300800000,Bataan,63.82,62.43,78.64,97.68,91.0,29.11
Overall Pechay Production,0301400000,Bulacan,1545.84,1495.25,1537.93,1295.39,1421.4,651.8
Overall Pechay Production,0304900000,Nueva Ecija,1135.3,1120.73,1130.57,1072.44,1051.98,443.0
Overall Pechay Production,0305400000,Pampanga,404.99,466.2,496.12,599.62,595.34,253.01
Overall Pechay Production,0306900000,Tarlac,762.69,808.77,823.55,794.25,702.67,456.99
Overall Pechay Production,0307100000,Zambales,158.77,165.69,165.05,97.88,77.34,64.78
Overall Pechay Production,0307700000,Aurora,40.72,44.14,37.0,43.59,44.9,17.56
Overall Pechay Production,0401000000,Batangas,311.32,269.09,281.12,256.55,255.46,145.9
Overall Pechay Production,0402100000,Cavite,262.69,296.59,360.99,410.19,451.81,349.17
Overall Pechay Production,0403400000,Laguna,1174.32,1236.36,1398.54,1146.29,1205.57,475.47
Overall Pechay Production,0405600000,Quezon,4356.93,4277.2,4305.89,4178.51,4308.41,1667.92
Overall Pechay Production,0405800000,Rizal,339.9,315.72,353.29,319.17,310.47,241.8
Overall Pechay Production,0500500000,Albay,7417.12,6956.11,6822.65,4007.42,4016.85,590.32
Overall Pechay Production,0501600000,Camarines Norte,327.32,300.66,306.04,240.01,192.77,9.39
Overall Pechay Production,0501700000,Camarines Sur,6182.16,6023.12,6835.35,1421.97,622.9,152.82
Overall Pechay Production,0502000000,Catanduanes,53.93,61.53,56.19,66.98,84.92,35.69
Overall Pechay Production,0504100000,Masbate,344.3,341.86,336.5,324.13,221.96,5.9
Overall Pechay Production,0506200000,Sorsogon,31.56,29.47,23.27,27.33,34.18,8.14
Overall Pechay Production,0600400000,Aklan,134.89,106.15,111.93,117.64,113.3,40.34
Overall Pechay Production,0600600000,Antique,338.09,349.92,336.42,337.76,334.84,260.0
Overall Pechay Production,0601900000,Capiz,340.9,343.0,356.7,366.54,367.68,87.75
Overall Pechay Production,0603000000,Iloilo,907.37,1044.03,899.87,855.75,915.54,486.09
Overall Pechay Production,0607900000,Guimaras,144.81,169.38,172.87,177.45,210.21,63.81
Overall Pechay Production,0701200000,Bohol,416.67,408.32,308.27,303.51,308.72,83.57
Overall Pechay Production,0702200000,Cebu,3312.53,3211.0,3180.06,3458.45,3361.26,819.03
Overall Pechay Production,0802600000,Eastern Samar,49.03,54.45,96.49,96.83,87.57,54.52
Overall Pechay Production,0803700000,Leyte,418.03,398.79,450.27,669.67,542.97,185.27
Overall Pechay Production,0804800000,Northern Samar,23.26,23.78,24.32,26.56,23.17,1.82
Overall Pechay Production,0806000000,Samar (Western Samar),69.67,69.46,71.54,79.89,82.02,13.87
Overall Pechay Production,0806400000,Southern Leyte,100.38,78.08,88.63,85.58,68.48,13.55
Overall Pechay Production,0807800000,Biliran,73.0,79.37,84.21,57.58,50.31,24.51
Overall Pechay Production,0906600000,,106.3,107.65,110.4,109.35,57.31,10.81
