Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Red Shallot Production,0102800000,Ilocos Norte,18376.67,18110.57,17878.17,17968.18,17977.65,7815.07
Red Shallot Production,0102900000,Ilocos Sur,17832.73,17044.66,20860.09,19742.19,19217.29,16150.52
Red Shallot Production,0103300000,La Union,,,,0.69,0.63,
Red Shallot Production,0105500000,Pangasinan,6.99,7.33,6.8,8.46,7.59,6.12
Red Shallot Production,0200900000,Batanes,60.25,67.33,75.97,71.68,78.4,53.12
Red Shallot Production,0201500000,Cagayan,26.46,29.94,33.81,30.78,33.36,17.03
Red Shallot Production,0203100000,Isabela,2.95,2.77,1.95,1.19,1.08,0.4
Red Shallot Production,0205000000,Nueva Vizcaya,7.05,5.09,0.85,,,40.3
Red Shallot Production,0205700000,Quirino,2.3,,,,,
Red Shallot Production,0300800000,Bataan,,,,,,
Red Shallot Production,0301400000,Bulacan,,,,,,
Red Shallot Production,0304900000,Nueva Ecija,2040.32,2048.87,2849.54,3245.97,1322.66,1084.02
Red Shallot Production,0305400000,Pampanga,,,,,,
Red Shallot Production,0306900000,Tarlac,,,,1784.0,1830.59,1905.39
Red Shallot Production,0307100000,Zambales,15.75,14.64,13.57,10.78,7.91,29.44
Red Shallot Production,0307700000,Aurora,,,0.07,,,0.16
Red Shallot Production,0401000000,Batangas,8.5,10.63,,25.0,9.5,1.51
Red Shallot Production,0402100000,Cavite,,,,,,
Red Shallot Production,0403400000,Laguna,,,,,,
Red Shallot Production,0405600000,Quezon,,,,,,
Red Shallot Production,0405800000,Rizal,,,,,,
Red Shallot Production,0500500000,Albay,,,,,,0.02
Red Shallot Production,0501600000,Camarines Norte,,,,,,
Red Shallot Production,0501700000,Camarines Sur,,,0.39,,2.23,0.13
Red Shallot Production,0502000000,Catanduanes,,,,3.27,0.23,0.07
Red Shallot Production,0504100000,Masbate,,,,,,
Red Shallot Production,0506200000,Sorsogon,,,,,,
Red Shallot Production,0600400000,Aklan,,,,,,
Red Shallot Production,0600600000,Antique,,,,0.37,0.88,
Red Shallot Production,0601900000,Capiz,,,,,,
Red Shallot Production,0603000000,Iloilo,,,,0.01,0.34,
Red Shallot Production,0607900000,Guimaras,,,,,,
Red Shallot Production,0701200000,Bohol,,,0.72,0.18,,
Red Shallot Production,0702200000,Cebu,,,,,,
Red Shallot Production,0802600000,Eastern Samar,,,,1.83,1.8,
Red Shallot Production,0803700000,Leyte,,,2.12,2.04,2.12,1.84
Red Shallot Production,0804800000,Northern Samar,,,,,,
Red Shallot Production,0806000000,Samar (Western Samar),,,0.05,0.37,,
Red Shallot Production,0806400000,Southern Leyte,,,,1.11,0.45,
Red Shallot Production,0807800000,Biliran,,,,,,
Red Shallot Production,0906600000,,,,,,,
Red Shallot Production,0907200000,Zamboanga del Norte,,,,,0.14,0.04
Red Shallot Production,0907300000,Zamboanga del Sur,,,6.38,2.12,,
Red Shallot Production,0907400000,Zamboanga City,,,,,0.15,0.09
Red Shallot Production,0908300000,Zamboanga Sibugay,,,0.01,0.07,0.87,0.06
Red Shallot Production,1001300000,Bukidnon,,,556.96,624.91,568.73,13.3
Red Shallot Production,1001800000,Camiguin,,,,4.26,,
Red Shallot Production,1003500000,Lanao del Norte,,,,,,
Red Shallot Production,1004200000,Misamis Occidental,,,,,,
Red Shallot Production,1004300000,Misamis Oriental,,,,,0.12,
Red Shallot Production,1102300000,Davao del Norte,,,,2.76,2.76,0.09
Red Shallot Production,1102400000,Davao del Sur,,,,0.15,1.3,0.73
Red Shallot Production,1102500000,Davao Oriental,,,,,,
Red Shallot Production,1108200000,Davao de Oro (Compostela Valley),,,,,,
Red Shallot Production,1108600000,Davao Occidental,,,,,,
Red Shallot Production,1130700000,Davao City,,,,,,
Red Shallot Production,1204700000,Cotabato (North Cotabato),,,,,,
Red Shallot Production,1206300000,South Cotabato,8.55,5.35,7.0,15.25,2.92,
Red Shallot Production,1206500000,Sultan Kudarat,,,,,,
Red Shallot Production,1208000000,Sarangani,,,,,,
Red Shallot Production,1400100000,Abra,,,0.08,4.86,3.87,1.38
Red Shallot Production,1401100000,Benguet,,,,,,
Red Shallot Production,1402700000,Ifugao,,,,,,
Red Shallot Production,1403200000,Kalinga,,,0.36,6.94,5.75,1.09
Red Shallot Production,1404400000,Mountain Province,,,,1.32,1.39,2.22
Red Shallot Production,1408100000,Apayao,,,,,,
Red Shallot Production,1600200000,Agusan del Norte,,,0.16,0.14,1.81,0.6
Red Shallot Production,1600300000,Agusan del Sur,,,0.24,,1.57,1.37
Red Shallot Production,1606700000,Surigao del Norte,,,0.04,,,
Red Shallot Production,1606800000,Surigao del Sur,,,0.53,,,
Red Shallot Production,1608500000,Dinagat Islands,0.01,,,,,
Red Shallot Production,1630400000,Butuan City,,,,,,0.31
Red Shallot Production,1704000000,Marinduque,2.96,3.5,2.49,1.77,1.0,0.03
Red Shallot Production,1705100000,Occidental Mindoro,,,38.5,139.26,46.76,15.96
Red Shallot Production,1705200000,Oriental Mindoro,,,45.53,42.3,,
Red Shallot Production,1705300000,Palawan,,,,,,
Red Shallot Production,1705900000,Romblon,,,,0.02,0.02,
Red Shallot Production,1731500000,Puerto Princesa City,,,,,,
Red Shallot Production,1804500000,Negros Occidental,,,,,,
Red Shallot Production,1804600000,Negros Oriental,4.95,4.01,4.42,3.76,3.98,0.9
Red Shallot Production,1806100000,Siquijor,,,,0.7,,
Red Shallot Production,1830200000,Bacolod City,,,,,,
Red Shallot Production,1900700000,Basilan,,,,,,
Red Shallot Production,1903600000,Lanao del Sur,,,,4.22,70.97,4.2
Red Shallot Production,1907000000,Tawi-Tawi,,,,,,
Red Shallot Production,1908700000,Maguindanao del Norte,,,,,45.44,74.48
Red Shallot Production,1908800000,Maguindanao del Sur,,,,,137.28,250.0
