Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Sweet Potato Leaves Production,0102800000,Ilocos Norte,2171.09,2251.34,2191.98,2142.68,1878.83,317.71
Overall Sweet Potato Leaves Production,0102900000,Ilocos Sur,906.58,975.25,934.35,933.81,971.35,350.75
Overall Sweet Potato Leaves Production,0103300000,La Union,728.41,714.47,675.42,678.15,640.35,120.99
Overall Sweet Potato Leaves Production,0105500000,Pangasinan,777.58,828.03,749.38,760.09,747.19,148.06
Overall Sweet Potato Leaves Production,0200900000,Batanes,3.71,4.27,4.65,4.45,6.51,4.79
Overall Sweet Potato Leaves Production,0201500000,Cagayan,1032.1,1057.64,1012.58,809.7,912.82,396.16
Overall Sweet Potato Leaves Production,0203100000,Isabela,343.21,331.64,307.14,308.99,306.2,66.62
Overall Sweet Potato Leaves Production,0205000000,Nueva Vizcaya,201.79,195.59,214.45,180.1,201.12,46.25
Overall Sweet Potato Leaves Production,0205700000,Quirino,124.41,137.59,139.75,140.69,154.83,4.82
Overall Sweet Potato Leaves Production,0300800000,Bataan,93.95,88.77,97.82,118.47,137.05,12.43
Overall Sweet Potato Leaves Production,0301400000,Bulacan,1457.82,1511.02,1637.12,1303.83,1497.7,587.68
Overall Sweet Potato Leaves Production,0304900000,Nueva Ecija,66.15,70.73,63.01,66.33,71.61,0.74
Overall Sweet Potato Leaves Production,0305400000,Pampanga,107.75,116.75,113.95,119.95,118.36,21.31
Overall Sweet Potato Leaves Production,0306900000,Tarlac,32.51,37.31,34.77,35.3,37.8,3.18
Overall Sweet Potato Leaves Production,0307100000,Zambales,48.05,53.55,40.06,43.92,49.4,22.05
Overall Sweet Potato Leaves Production,0307700000,Aurora,225.96,297.55,250.0,218.83,444.49,21.17
Overall Sweet Potato Leaves Production,0401000000,Batangas,843.63,707.95,633.61,517.34,497.55,22.07
Overall Sweet Potato Leaves Production,0402100000,Cavite,897.56,887.24,970.82,865.86,889.99,201.89
Overall Sweet Potato Leaves Production,0403400000,Laguna,384.9,404.81,349.09,450.59,369.32,152.8
Overall Sweet Potato Leaves Production,0405600000,Quezon,3958.35,3850.63,3929.68,3485.41,3902.04,1088.43
Overall Sweet Potato Leaves Production,0405800000,Rizal,137.15,147.6,201.0,242.78,330.36,50.58
Overall Sweet Potato Leaves Production,0500500000,Albay,1750.5,1873.14,1226.03,881.57,701.9,117.79
Overall Sweet Potato Leaves Production,0501600000,Camarines Norte,1179.91,1591.78,1521.67,932.47,662.69,25.19
Overall Sweet Potato Leaves Production,0501700000,Camarines Sur,2017.93,2121.09,2020.14,769.8,96.37,72.28
Overall Sweet Potato Leaves Production,0502000000,Catanduanes,1176.29,1171.89,1179.56,1138.11,1053.2,122.38
Overall Sweet Potato Leaves Production,0504100000,Masbate,44.33,45.05,45.55,62.72,42.21,20.22
Overall Sweet Potato Leaves Production,0506200000,Sorsogon,321.12,293.28,237.06,150.94,107.41,39.74
Overall Sweet Potato Leaves Production,0600400000,Aklan,1164.8,1274.26,1266.65,1264.97,1208.55,154.61
Overall Sweet Potato Leaves Production,0600600000,Antique,892.74,1031.14,966.42,917.84,769.72,63.67
Overall Sweet Potato Leaves Production,0601900000,Capiz,353.99,360.52,351.09,343.91,346.2,54.5
Overall Sweet Potato Leaves Production,0603000000,Iloilo,3204.59,3324.87,3875.8,3615.87,3382.21,512.52
Overall Sweet Potato Leaves Production,0607900000,Guimaras,186.84,198.05,201.16,204.14,243.32,30.14
Overall Sweet Potato Leaves Production,0701200000,Bohol,185.19,178.23,101.56,100.58,101.55,20.28
Overall Sweet Potato Leaves Production,0702200000,Cebu,84.7,83.9,86.7,67.11,76.19,30.46
Overall Sweet Potato Leaves Production,0802600000,Eastern Samar,11.66,13.05,8.75,16.48,24.65,18.82
Overall Sweet Potato Leaves Production,0803700000,Leyte,644.55,592.38,560.73,444.96,450.8,101.5
Overall Sweet Potato Leaves Production,0804800000,Northern Samar,168.85,173.0,174.05,177.55,184.05,90.0
Overall Sweet Potato Leaves Production,0806000000,Samar (Western Samar),1179.01,1215.5,1116.88,670.78,688.58,272.48
Overall Sweet Potato Leaves Production,0806400000,Southern Leyte,19.33,17.35,18.82,23.55,62.22,11.13
Overall Sweet Potato Leaves Production,0807800000,Biliran,168.5,185.0,163.4,143.13,154.12,29.81
Overall Sweet Potato Leaves Production,0906600000,,159.5,160.0,164.0,164.0,166.52,30.83
Overall Sweet Potato Leaves Production,0907200000,Zamboanga del Norte,698.05,749.59,404.7,346.73,362.31,34.04
