Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Winged Beans Production,0102800000,Ilocos Norte,109.23,109.06,110.1,111.14,106.17,47.93
Overall Winged Beans Production,0102900000,Ilocos Sur,30.96,33.26,31.04,24.84,32.25,10.76
Overall Winged Beans Production,0103300000,La Union,50.28,52.62,53.8,53.15,52.61,18.25
Overall Winged Beans Production,0105500000,Pangasinan,78.68,76.11,63.8,65.83,63.34,28.66
Overall Winged Beans Production,0200900000,Batanes,0.52,0.42,0.53,0.61,1.71,1.91
Overall Winged Beans Production,0201500000,Cagayan,67.15,67.07,59.12,16.65,29.55,9.28
Overall Winged Beans Production,0203100000,Isabela,117.61,113.39,108.05,105.89,100.38,4.4
Overall Winged Beans Production,0205000000,Nueva Vizcaya,7.52,7.93,7.35,7.76,7.95,1.89
Overall Winged Beans Production,0205700000,Quirino,30.17,32.06,32.81,33.58,32.53,13.92
Overall Winged Beans Production,0300800000,Bataan,,,,,0.01,
Overall Winged Beans Production,0301400000,Bulacan,25.82,24.62,20.63,27.6,25.03,2.89
Overall Winged Beans Production,0304900000,Nueva Ecija,40.5,42.15,38.76,37.54,37.76,0.5
Overall Winged Beans Production,0305400000,Pampanga,4.13,4.08,4.05,4.04,4.06,
Overall Winged Beans Production,0306900000,Tarlac,7.12,6.99,6.34,17.96,17.63,5.2
Overall Winged Beans Production,0307100000,Zambales,36.57,31.57,30.24,33.18,15.0,0.23
Overall Winged Beans Production,0307700000,Aurora,,,1.77,15.49,19.38,8.26
Overall Winged Beans Production,0401000000,Batangas,10.63,7.2,10.73,11.7,19.23,2.54
Overall Winged Beans Production,0402100000,Cavite,5.87,4.69,1.73,10.0,9.71,1.75
Overall Winged Beans Production,0403400000,Laguna,9.44,9.56,11.56,10.18,10.59,5.01
Overall Winged Beans Production,0405600000,Quezon,21.25,21.6,20.15,20.41,21.43,13.18
Overall Winged Beans Production,0405800000,Rizal,,,0.4,0.93,2.0,0.13
Overall Winged Beans Production,0500500000,Albay,237.9,282.39,263.37,242.52,244.51,48.9
Overall Winged Beans Production,0501600000,Camarines Norte,3.97,2.93,4.27,4.91,4.85,1.11
Overall Winged Beans Production,0501700000,Camarines Sur,126.51,107.59,99.76,77.45,50.34,14.11
Overall Winged Beans Production,0502000000,Catanduanes,10.39,6.39,3.57,4.15,3.91,0.87
Overall Winged Beans Production,0504100000,Masbate,2.13,2.09,1.33,1.68,1.32,0.75
Overall Winged Beans Production,0506200000,Sorsogon,39.05,30.55,20.57,17.67,20.29,5.77
Overall Winged Beans Production,0600400000,Aklan,12.45,11.62,11.04,11.9,16.95,9.02
Overall Winged Beans Production,0600600000,Antique,32.26,36.7,38.41,33.87,35.17,20.58
Overall Winged Beans Production,0601900000,Capiz,26.4,25.9,18.85,25.0,22.68,6.8
Overall Winged Beans Production,0603000000,Iloilo,35.7,35.4,34.65,30.7,312.11,142.5
Overall Winged Beans Production,0607900000,Guimaras,13.78,17.57,18.34,20.67,22.53,5.13
Overall Winged Beans Production,0701200000,Bohol,0.36,0.19,1.92,3.47,9.83,2.05
Overall Winged Beans Production,0702200000,Cebu,1.64,2.78,2.6,2.39,2.34,
Overall Winged Beans Production,0802600000,Eastern Samar,,,,5.12,7.45,3.3
Overall Winged Beans Production,0803700000,Leyte,79.15,69.4,69.18,62.23,63.09,10.31
Overall Winged Beans Production,0804800000,Northern Samar,22.82,22.84,22.84,22.6,13.05,3.97
Overall Winged Beans Production,0806000000,Samar (Western Samar),2.0,2.12,2.85,1.77,3.6,0.37
Overall Winged Beans Production,0806400000,Southern Leyte,4.19,3.55,4.23,4.98,10.16,0.75
Overall Winged Beans Production,0807800000,Biliran,0.37,0.48,0.58,0.17,0.18,0.05
Overall Winged Beans Production,0906600000,,,,,,,
Overall Winged Beans Production,0907200000,Zamboanga del Norte,2.6,2.35,2.22,1.64,2.01,0.58
Overall Winged Beans Production,0907300000,Zamboanga del Sur,17.1,12.43,10.03,15.5,9.03,0.6
Overall Winged Beans Production,0907400000,Zamboanga City,5.21,5.12,,,0.28,0.09
Overall Winged Beans Production,0908300000,Zamboanga Sibugay,3.52,3.54,3.1,3.07,2.95,1.03
Overall Winged Beans Production,1001300000,Bukidnon,1.04,1.05,1.05,1.01,1.74,0.07
Overall Winged Beans Production,1001800000,Camiguin,1.44,1.7,2.02,2.21,2.59,0.32
Overall Winged Beans Production,1003500000,Lanao del Norte,2.4,2.65,2.62,2.5,3.09,0.56
