Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Abaca Fiber,CAR,Abra,1400100000,0,0,0,0,0,0,0
Abaca Fiber,CAR,Apayao,1408100000,0,0,0,0,0,0,0
Abaca Fiber,CAR,Benguet,1401100000,0,0,0,0,0,0,0
Abaca Fiber,CAR,Ifugao,1402700000,0,0,0,0,0,0,0
Abaca Fiber,CAR,Kalinga,1403200000,0,0,0,0,0,0,0
Abaca Fiber,CAR,Mountain Province,1404400000,0,0,0,0,0,0,0
Abaca Fiber,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0,0
Abaca Fiber,Region I,Ilocos Sur,0102900000,0,0,0,0,0,0,0
Abaca Fiber,Region I,La Union,0103300000,0,0,0,0,0,0,0
Abaca Fiber,Region I,Pangasinan,0105500000,0,0,0,0,0,0,0
Abaca Fiber,Region II,Batanes,0200900000,0,0,0,0,0,0,0
Abaca Fiber,Region II,Cagayan,0201500000,0,0,0,0,0,141.45,70.00
Abaca Fiber,Region II,Isabela,0203100000,0,0,0,0,0,0,0
Abaca Fiber,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,0,0
Abaca Fiber,Region II,Quirino,0205700000,0,0,0,0,0,0,0
Abaca Fiber,Region III,Aurora,0307700000,34.91,42.64,39.21,22.87,17.56,40.21,8.93
Abaca Fiber,Region III,Bataan,0300800000,0,0,0,0,0,0,0
Abaca Fiber,Region III,Bulacan,0301400000,0,0,0,0,0,0,0
Abaca Fiber,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Abaca Fiber,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Abaca Fiber,Region III,Tarlac,0306900000,0,0,0,0,0,0,0
Abaca Fiber,Region III,Zambales,0307100000,0,0,0,0,0,0,0
Abaca Fiber,Region IV-A,Batangas,0401000000,0,0,0,0,0,0,0
Abaca Fiber,Region IV-A,Cavite,0402100000,0,0,0,0,0,0,0
Abaca Fiber,Region IV-A,Laguna,0403400000,4.91,4.36,4.70,4.78,4.88,4.33,1.44
Abaca Fiber,Region IV-A,Quezon,0405600000,0.03,2.2,2.58,7.26,2.24,2.26,0
Abaca Fiber,Region IV-A,Rizal,0405800000,0,0,0,0,0,0,0
Abaca Fiber,MIMAROPA,Marinduque,1704000000,1.40,0.97,1.06,0.82,0.63,0.32,0.08
Abaca Fiber,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Abaca Fiber,MIMAROPA,Oriental Mindoro,1705200000,61.97,63.86,76.26,67.22,71.00,92.82,6.37
Abaca Fiber,MIMAROPA,Palawan,1705300000,38.42,42.61,39.19,52.44,34.34,47.00,1.71
Abaca Fiber,MIMAROPA,Romblon,1705900000,0,0,0,0,0,0,0
Abaca Fiber,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Abaca Fiber,Region V,Albay,0500500000,1212.98,1032.08,1216.94,1280.61,1323.74,859.24,212.97
Abaca Fiber,Region V,Camarines Norte,0501600000,127.91,92.57,58.41,47.71,34.25,23.54,4.08
Abaca Fiber,Region V,Camarines Sur,0501700000,662.70,458.51,576.17,518.08,535.40,620.53,246.49
Abaca Fiber,Region V,Catanduanes,0502000000,25580.98,14814.71,21900.84,22017.18,20371.43,11256.59,2955.00
Abaca Fiber,Region V,Masbate,0504100000,0,0,0,0,0,0,0
Abaca Fiber,Region V,Sorsogon,0506200000,504.22,440.71,459.74,338.50,119.48,109.53,6.46
Abaca Fiber,Region VI,Aklan,0600400000,2205.20,3133.92,3189.05,1828.35,1853.11,1771.80,472.07
Abaca Fiber,Region VI,Antique,0600600000,63.53,65.58,63.35,56.26,34.55,21.96,4.57
Abaca Fiber,Region VI,Capiz,0601900000,200.07,188.21,194.05,259.85,186.60,48.80,28.60
Abaca Fiber,Region VI,Guimaras,0607900000,0,0,0,0,0,0,0
Abaca Fiber,Region VI,Iloilo,0603000000,103.05,75.61,62.50,71.46,57.56,40.27,9.08
Abaca Fiber,NIR,Negros Occidental,1804500000,52.05,41.86,27.94,25.37,0,0,0
Abaca Fiber,NIR,Negros Occidental,1804500000,0,0,0,0,18.23,15.39,4.10
Abaca Fiber,NIR,Negros Oriental,1804600000,0,0,0,0,137.63,148.09,19.32
Abaca Fiber,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Abaca Fiber,NIR,City of Bacolod,1830200000,0,0,0,0,0,0,0
Abaca Fiber,Region VII,Bohol,0701200000,0,0,0,0,0.08,0.04,0
Abaca Fiber,Region VII,Cebu,0702200000,6.07,5.45,4.89,3.74,6.16,3.36,0.80
Abaca Fiber,NIR,Negros Oriental,1804600000,222.28,242.66,178.67,167.65,0,0,0
Abaca Fiber,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Abaca Fiber,Region VIII,Biliran,0807800000,75.80,90.00,99.45,88.09,77.11,77.74,13.90
Abaca Fiber,Region VIII,Eastern Samar,0802600000,7.72,7.27,7.22,6.01,5.73,5.50,1.30
Abaca Fiber,Region VIII,Leyte,0803700000,1306.11,1268.87,1206.40,1200.99,1156.51,1180.90,172.50
Abaca Fiber,Region VIII,Northern Samar,0804800000,6974.25,6982.15,6883.50,6943.50,6930.00,6766.16,910.00
Abaca Fiber,Region VIII,Samar,0806000000,1175.00,979.94,861.18,934.65,938.80,934.64,115.85
Abaca Fiber,Region VIII,Southern Leyte,0806400000,2597.50,2839.45,1350.61,1654.79,1594.93,1502.80,339.62
Abaca Fiber,Region IX,Sulu,0906600000,0,0,0,0,165.74,0,903.18
Abaca Fiber,Region IX,Zamboanga del Norte,0907200000,190.96,194.89,221.51,212.36,209.23,216.28,44.67
Abaca Fiber,Region IX,Zamboanga del Sur,0907300000,138.27,144.37,140.60,336.33,294.70,98.31,20.50
Abaca Fiber,Region IX,Zamboanga Sibugay,0908300000,252.82,247.53,254.69,265.40,249.60,242.80,48.85
Abaca Fiber,Region IX,City of Zamboanga,0907400000,178.90,200.90,204.69,0,0,171.63,68.04
Abaca Fiber,Region X,Bukidnon,1001300000,2910.31,3814.97,3788.98,4001.43,4189.35,4144.88,1317.39
Abaca Fiber,Region X,Camiguin,1001800000,27.04,25.87,24.88,34.40,40.08,39.30,5.98
Abaca Fiber,Region X,Lanao del Norte,1003500000,155.55,155.80,213.51,365.31,617.95,829.17,214.49
Abaca Fiber,Region X,Misamis Occidental,1004200000,58.74,76.90,70.85,106.88,111.37,77.37,45.30
