Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Ampalaya Production,0102800000,Ilocos Norte,3409.63,3470.38,3625.53,3533.12,3004.17,1321.75
Overall Ampalaya Production,0102900000,Ilocos Sur,2330.69,2604.86,2624.82,2630.36,2708.59,727.37
Overall Ampalaya Production,0103300000,La Union,2075.0,2158.65,2180.51,2157.6,2113.79,820.96
Overall Ampalaya Production,0105500000,Pangasinan,2584.79,2597.53,2496.4,2468.47,2969.79,1628.8
Overall Ampalaya Production,0200900000,Batanes,3.47,2.86,3.28,4.81,6.0,1.83
Overall Ampalaya Production,0201500000,Cagayan,1276.89,1218.11,1302.26,1241.4,1404.38,267.66
Overall Ampalaya Production,0203100000,Isabela,2840.17,2892.95,2923.84,2813.83,2854.91,861.8
Overall Ampalaya Production,0205000000,Nueva Vizcaya,982.96,891.11,986.98,620.43,664.74,395.71
Overall Ampalaya Production,0205700000,Quirino,96.47,108.36,106.79,115.81,170.45,15.45
Overall Ampalaya Production,0300800000,Bataan,309.68,323.3,297.36,344.32,417.22,112.65
Overall Ampalaya Production,0301400000,Bulacan,3984.83,4019.51,3838.57,4260.79,4448.42,1605.18
Overall Ampalaya Production,0304900000,Nueva Ecija,10450.38,9910.14,9761.51,9237.67,8944.43,3538.91
Overall Ampalaya Production,0305400000,Pampanga,9780.13,10481.13,11096.97,11322.22,12220.26,1752.05
Overall Ampalaya Production,0306900000,Tarlac,1548.37,1409.56,1553.45,1525.97,1565.07,335.1
Overall Ampalaya Production,0307100000,Zambales,256.06,295.92,354.19,230.13,233.02,23.59
Overall Ampalaya Production,0307700000,Aurora,223.9,214.52,207.61,153.57,144.41,2.0
Overall Ampalaya Production,0401000000,Batangas,4823.99,5170.05,3709.89,2831.49,2359.19,181.29
Overall Ampalaya Production,0402100000,Cavite,1614.29,1672.17,1877.19,1639.08,1676.0,77.26
Overall Ampalaya Production,0403400000,Laguna,1022.77,842.93,721.28,578.6,738.0,214.0
Overall Ampalaya Production,0405600000,Quezon,11294.08,11311.14,11277.86,10322.46,10551.02,2174.06
Overall Ampalaya Production,0405800000,Rizal,105.47,104.67,160.37,181.64,247.04,60.95
Overall Ampalaya Production,0500500000,Albay,676.31,680.82,833.27,745.12,698.76,48.68
Overall Ampalaya Production,0501600000,Camarines Norte,215.15,182.29,121.65,92.99,86.82,0.74
Overall Ampalaya Production,0501700000,Camarines Sur,1266.84,1078.95,1161.86,886.85,954.21,110.93
Overall Ampalaya Production,0502000000,Catanduanes,10.31,9.93,9.36,11.01,10.51,2.97
Overall Ampalaya Production,0504100000,Masbate,919.32,944.96,907.31,673.13,642.37,58.66
Overall Ampalaya Production,0506200000,Sorsogon,85.64,75.21,78.05,34.39,41.23,3.54
Overall Ampalaya Production,0600400000,Aklan,179.97,156.26,142.43,172.26,181.12,27.59
Overall Ampalaya Production,0600600000,Antique,470.04,477.24,485.74,504.22,593.54,236.52
Overall Ampalaya Production,0601900000,Capiz,668.65,651.82,665.82,630.5,546.18,119.11
Overall Ampalaya Production,0603000000,Iloilo,944.8,803.28,811.5,789.84,1521.6,1408.0
Overall Ampalaya Production,0607900000,Guimaras,300.7,346.56,373.23,442.84,511.73,123.6
Overall Ampalaya Production,0701200000,Bohol,819.28,771.4,693.33,673.03,652.22,64.42
Overall Ampalaya Production,0702200000,Cebu,1251.91,1270.0,1304.67,1147.33,1323.51,327.65
Overall Ampalaya Production,0802600000,Eastern Samar,14.53,16.65,256.65,453.84,317.36,2.43
Overall Ampalaya Production,0803700000,Leyte,638.04,599.51,621.23,606.64,597.0,153.88
Overall Ampalaya Production,0804800000,Northern Samar,121.3,123.25,125.58,136.65,154.06,18.61
Overall Ampalaya Production,0806000000,Samar (Western Samar),119.77,134.46,170.13,173.88,175.82,22.23
Overall Ampalaya Production,0806400000,Southern Leyte,122.11,94.72,104.38,105.92,119.76,7.89
Overall Ampalaya Production,0807800000,Biliran,58.5,55.37,47.99,37.66,37.11,7.15
Overall Ampalaya Production,0906600000,,43.3,42.95,45.3,45.4,47.03,5.78
Overall Ampalaya Production,0907200000,Zamboanga del Norte,313.74,353.14,452.19,273.27,237.22,18.3
Overall Ampalaya Production,0907300000,Zamboanga del Sur,768.52,836.49,5385.06,5160.87,972.33,196.8
Overall Ampalaya Production,0907400000,Zamboanga City,4143.75,4124.03,,,1503.89,555.02
Overall Ampalaya Production,0908300000,Zamboanga Sibugay,180.56,184.51,186.16,179.86,182.39,52.41
Overall Ampalaya Production,1001300000,Bukidnon,514.15,580.4,499.17,474.86,510.59,41.49
Overall Ampalaya Production,1001800000,Camiguin,40.11,47.33,46.93,58.76,47.48,3.46
Overall Ampalaya Production,1003500000,Lanao del Norte,550.0,553.0,557.85,555.0,552.0,121.0
Overall Ampalaya Production,1004200000,Misamis Occidental,416.2,444.55,468.03,428.16,438.8,85.18
Overall Ampalaya Production,1004300000,Misamis Oriental,1563.0,1621.99,1572.54,1666.6,1644.25,155.7
Overall Ampalaya Production,1102300000,Davao del Norte,287.64,279.14,297.85,303.07,301.76,8.55
Overall Ampalaya Production,1102400000,Davao del Sur,560.93,523.89,1379.97,1332.78,451.38,35.53
Overall Ampalaya Production,1102500000,Davao Oriental,321.86,301.87,305.25,294.4,293.58,61.71
Overall Ampalaya Production,1108200000,Davao de Oro (Compostela Valley),842.74,834.39,853.35,821.48,813.62,43.35
Overall Ampalaya Production,1108600000,Davao Occidental,97.78,95.33,92.58,95.52,99.0,16.05
Overall Ampalaya Production,1130700000,Davao City,799.84,832.98,,,737.49,110.44
Overall Ampalaya Production,1204700000,Cotabato (North Cotabato),608.62,507.31,485.87,498.6,361.16,88.52
Overall Ampalaya Production,1206300000,South Cotabato,219.08,190.09,217.52,219.6,301.24,19.85
Overall Ampalaya Production,1206500000,Sultan Kudarat,181.16,189.48,204.61,191.81,212.76,33.43
Overall Ampalaya Production,1208000000,Sarangani,101.0,102.73,78.1,115.0,114.75,9.25
Overall Ampalaya Production,1400100000,Abra,287.04,283.03,251.88,176.22,198.58,48.79
