Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Avocado,CAR,Abra,1400100000,110.63,105.73,108.24,94.69,89.46,87.44,0
Avocado,CAR,Apayao,1408100000,27.92,31.09,31.13,35.47,33.87,33.53,0
Avocado,CAR,Benguet,1401100000,505,491.89,508.08,515.5,484.38,407.82,8.8
Avocado,CAR,Ifugao,1402700000,12.81,10.23,13.13,13.92,29.27,31.72,0
Avocado,CAR,Kalinga,1403200000,34.98,44.81,48.48,43.21,44.59,46.48,0
Avocado,CAR,Mountain Province,1404400000,276.7,263.14,263.78,287.13,288.52,276.19,0
Avocado,Region I,Ilocos Norte,0102800000,203.23,213.25,225.35,194.48,187.47,197.13,0.02
Avocado,Region I,Ilocos Sur,0102900000,1173.22,1248.97,1310.33,1358.44,1265.68,1284.11,1.29
Avocado,Region I,La Union,0103300000,614.92,564.51,597.02,614.26,587.05,462.05,11.82
Avocado,Region I,Pangasinan,0105500000,140.1,140.65,132.05,127.24,120.72,121.61,1.46
Avocado,Region II,Batanes,0200900000,0.7,0.44,0.28,0.35,0.18,0,0
Avocado,Region II,Cagayan,0201500000,1069.78,1188.62,1265.44,1081.33,940.3,1145.56,0
Avocado,Region II,Isabela,0203100000,1101.53,1057.19,1052.98,1048,1039.59,1044.62,0.16
Avocado,Region II,Nueva Vizcaya,0205000000,1024.66,1140.87,1222.13,1210.84,1213.41,1221.72,4.38
Avocado,Region II,Quirino,0205700000,560.45,607.58,589.8,607.31,599.29,586.25,0
Avocado,Region III,Aurora,0307700000,351.09,301.98,412.3,322.28,316.67,130.99,0.58
Avocado,Region III,Bataan,0300800000,56.53,72.96,72.08,70.65,69.59,103.91,0.01
Avocado,Region III,Bulacan,0301400000,49.3,41.77,41.97,37.19,32.5,32.41,9.59
Avocado,Region III,Nueva Ecija,0304900000,86.46,86.59,89.52,83.83,74.04,103.82,0
Avocado,Region III,Pampanga,0305400000,5.66,5.7,5.65,5.64,8.95,8.85,0.83
Avocado,Region III,Tarlac,0306900000,42.59,45.36,43.1,47.25,46.51,45.06,2.03
Avocado,Region III,Zambales,0307100000,206.89,181.59,199.44,262.76,193.52,37,0
Avocado,Region IV-A,Batangas,0401000000,270.53,168.32,144.22,270.87,279.66,292.88,0.35
Avocado,Region IV-A,Cavite,0402100000,525.59,484.92,535.25,539.67,452.39,368.51,10.39
Avocado,Region IV-A,Laguna,0403400000,48.52,48.89,48.14,40.62,28.65,41.15,29.92
Avocado,Region IV-A,Quezon,0405600000,58.94,62.94,67.12,104.23,108.94,126.35,0.5
Avocado,Region IV-A,Rizal,0405800000,53.92,51.86,60.85,58.99,58.68,68.53,0
Avocado,MIMAROPA,Marinduque,1704000000,103.52,106.66,132.2,101.7,49.62,44.05,0
Avocado,MIMAROPA,Occidental Mindoro,1705100000,543.25,460.86,402.08,329.93,248.48,231.58,1.55
Avocado,MIMAROPA,Oriental Mindoro,1705200000,12.68,14.52,12.29,10,12.03,17.93,0.3
Avocado,MIMAROPA,Palawan,1705300000,1084.51,1100.61,1105.74,378.98,367.2,358.97,55.01
Avocado,MIMAROPA,Romblon,1705900000,146.92,147.22,157.47,112.35,128.06,131.7,4.35
Avocado,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,15.46
Avocado,Region V,Albay,0500500000,93.52,91.1,113.16,83.35,85.83,103.34,2.9
Avocado,Region V,Camarines Norte,0501600000,157.01,198.57,103.92,111.34,119.47,120.8,1.94
Avocado,Region V,Camarines Sur,0501700000,28.33,8.3,9.95,19.17,112.59,157.92,0.56
Avocado,Region V,Catanduanes,0502000000,155.56,21.03,49.19,73.31,86.42,44.19,0.04
Avocado,Region V,Masbate,0504100000,239.53,242.02,240.03,67.2,240.4,196.79,5.92
Avocado,Region V,Sorsogon,0506200000,579.77,595.44,536.77,544.38,429,404.24,0.19
Avocado,Region VI,Aklan,0600400000,110.42,119.89,116.03,98.6,75.43,57.3,4.67
Avocado,Region VI,Antique,0600600000,59.44,60.95,60.86,67.69,64.08,66.65,6.28
Avocado,Region VI,Capiz,0601900000,70.2,74.98,81.62,78.65,82.39,84.92,4.28
Avocado,Region VI,Guimaras,0607900000,38.99,41.74,51.37,48.33,51.12,61.5,3.75
Avocado,Region VI,Iloilo,0603000000,302.5,323.6,350.25,341.24,337.38,380.56,10.17
Avocado,NIR,Negros Occidental,1804500000,128.57,126.82,146.44,156.97,0,0,0
Avocado,NIR,Negros Occidental,1804500000,0,0,0,0,170.57,222.54,15.85
Avocado,NIR,Negros Oriental,1804600000,0,0,0,0,175.62,153.35,2.2
Avocado,NIR,Siquijor,1806100000,0,0,0,0,24.5,25.96,0.08
Avocado,NIR,City of Bacolod,1830200000,0,0,0,0,0,0,0
Avocado,Region VII,Bohol,0701200000,438.08,269.88,76.31,165.23,134.11,402.74,4.18
Avocado,Region VII,Cebu,0702200000,979.31,949.5,890,847.14,813.25,606.26,1.87
Avocado,NIR,Negros Oriental,1804600000,485.19,492.77,434.02,215.06,0,0,0
Avocado,NIR,Siquijor,1806100000,23.48,25.3,24.22,19.63,0,0,0
Avocado,Region VIII,Biliran,0807800000,56.5,52.25,53.04,53.3,44.38,47.74,0.21
Avocado,Region VIII,Eastern Samar,0802600000,11.01,12.14,12.16,25.55,40.09,40.87,15.03
Avocado,Region VIII,Leyte,0803700000,104.87,111.5,107.32,115.34,126.53,125.95,0.84
Avocado,Region VIII,Northern Samar,0804800000,22.96,23.5,24.37,26.29,27.79,24.79,0.66
Avocado,Region VIII,Samar,0806000000,203.81,187.19,187.48,166.02,202.25,185.9,0
Avocado,Region VIII,Southern Leyte,0806400000,22.8,22.38,12.35,15.1,34.28,40.43,2.23
Avocado,Region IX,Sulu,0906600000,0,0,0,0,0,0,1.63
Avocado,Region IX,Zamboanga del Norte,0907200000,286.77,284.46,263.51,307.67,320.74,304.11,8.35
Avocado,Region IX,Zamboanga del Sur,0907300000,376.39,393.7,406.89,1028.85,934.56,895.06,125.4
Avocado,Region IX,Zamboanga Sibugay,0908300000,101.24,92.14,93.74,106.87,98.94,89.65,7.75
Avocado,Region IX,City of Zamboanga,0907400000,557.89,555.2,572.45,0,0,383.3,100.62
Avocado,Region X,Bukidnon,1001300000,354.56,305.62,302,284.02,282.07,276.04,25.33
Avocado,Region X,Camiguin,1001800000,31.84,36.65,33.16,15.34,42,57.81,4.76
Avocado,Region X,Lanao del Norte,1003500000,269,272,276,286.2,292,295.25,86
Avocado,Region X,Misamis Occidental,1004200000,41.3,43.5,45.14,46.25,56.39,57.82,1.04
Avocado,Region X,Misamis Oriental,1004300000,54.27,54.5,62.76,51.7,63.84,66.55,5.59
Avocado,Region XI,Davao de Oro,1108200000,260.09,277.35,271.04,251.06,242.6,247.92,11.35
Avocado,Region XI,Davao del Norte,1102300000,185.36,181.33,185.23,183.77,182.48,187.91,33.8
Avocado,Region XI,Davao del Sur,1102400000,85.35,86.13,86.78,955.47,976.04,298.36,22.85
Avocado,Region XI,Davao Occidental,1108600000,0.25,0.3,0.33,1,11.43,11.86,1.24
Avocado,Region XI,Davao Oriental,1102500000,94.02,94.13,97.54,98.26,94.37,100.81,21.07
Avocado,Region XI,City of Davao,1130700000,837.95,908.89,913.18,0,0,702.41,187.41
Avocado,Region XII,Cotabato,1204700000,103.9,105.13,110.51,131.22,146.53,135.78,70.35
Avocado,Region XII,Sarangani,1208000000,90.3,90,92.3,98.53,101.08,105.92,17.2
Avocado,Region XII,Sultan Kudarat,1206500000,66.54,70.46,65.5,69.05,91.38,71.04,195.13
Avocado,Region XII,South Cotabato,1206300000,236.21,275.37,321.88,366.63,398.95,565.24,104.44
Avocado,Region XIII,Agusan del Norte,1600200000,52.05,58.63,63.74,70.68,74.14,79.67,1.41
Avocado,Region XIII,Agusan del Sur,1600300000,72.14,78.33,72.53,57.34,12.1,12.82,2.51
Avocado,Region XIII,Dinagat Islands,1608500000,13.68,13.88,7.1,9.79,2.24,7.48,0
Avocado,Region XIII,Surigao del Norte,1606700000,33.3,29.1,30.59,18.95,17.84,30.79,0.21
Avocado,Region XIII,Surigao del Sur,1606800000,279.6,261.22,351.74,101.55,34.95,26.38,0.85
Avocado,Region XIII,City of Butuan,1630400000,0,0,0,0,0,0,0.64
Avocado,BARMM,Basilan,1900700000,11.83,12.02,14.17,6.06,14.83,58.06,5.12
Avocado,BARMM,Lanao del Sur,1903600000,32.11,32,31.99,51.46,43.45,50.86,16.7
Avocado,BARMM,Maguindanao,1908800000,652.15,664,667.65,881.95,1037.2,0,0
Avocado,BARMM,Maguindanao del Norte,1908700000,0,0,0,0,0,1296,20
Avocado,BARMM,Maguindanao del Sur,1908800000,0,0,0,0,0,441.13,2.19
Avocado,Region IX,Sulu,0906600000,55.25,52.29,54.1,53.5,54.3,55.98,0
Avocado,BARMM,Tawi-tawi,1907000000,4.02,4.07,4.44,3.7,4.75,4.98,6.26
