Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Banana Saba,CAR,Abra,1400100000,3471.27,3400.97,3394.08,2495.17,2038.01,2261.9,697
Banana Saba,CAR,Apayao,1408100000,1599.67,1803.42,1912.34,1945.01,1869.5,2264.83,171.06
Banana Saba,CAR,Benguet,1401100000,426.26,416.16,466.47,463.35,417.32,353.46,106.73
Banana Saba,CAR,Ifugao,1402700000,617.53,733.07,1052.67,1157,1305.76,1734.04,150.49
Banana Saba,CAR,Kalinga,1403200000,428.3,474.68,553.62,585.11,631.1,685.22,270
Banana Saba,CAR,Mountain Province,1404400000,1050.48,1085.54,1074,1148.8,1112.76,1008.57,39.11
Banana Saba,Region I,Ilocos Norte,0102800000,5284.31,5511.52,5934.08,5955.78,5869.69,5503.51,1552.67
Banana Saba,Region I,Ilocos Sur,0102900000,5241.53,5378.7,5975.4,5717.72,5753,5796.39,1904.54
Banana Saba,Region I,La Union,0103300000,3744.34,3835.69,3916.19,3995.97,3491.63,2943.52,1252.67
Banana Saba,Region I,Pangasinan,0105500000,7992.84,8001.03,8219.33,7879.6,7651.02,7550.04,285.12
Banana Saba,Region II,Batanes,0200900000,4.61,3.24,1.72,4.04,7.59,5.88,1.72
Banana Saba,Region II,Cagayan,0201500000,39957.16,38034.48,36199.42,36873.83,36799.14,33302.65,2107.92
Banana Saba,Region II,Isabela,0203100000,143462.43,143782.76,145448.32,146741.84,143515.09,135929.87,6474.15
Banana Saba,Region II,Nueva Vizcaya,0205000000,13050.46,13775.31,14998.43,15118.52,13896.83,12351.19,2532.32
Banana Saba,Region II,Quirino,0205700000,46498.67,47072.85,50449.94,52667.45,45098.27,39023.84,2234.11
Banana Saba,Region III,Aurora,0307700000,3749.1,2014.33,2586.18,2507.92,2445.86,786.05,7.28
Banana Saba,Region III,Bataan,0300800000,485.55,493.46,534.11,609.26,567.05,723.64,90.82
Banana Saba,Region III,Bulacan,0301400000,8165.45,8315.65,8988.15,9437.43,8998.34,9190.27,2715.72
Banana Saba,Region III,Nueva Ecija,0304900000,3107.38,3055.18,2995.71,2915.39,2593.11,2394.64,477.92
Banana Saba,Region III,Pampanga,0305400000,837.91,980.73,1066.62,1141.45,1223.42,1293.9,375.88
Banana Saba,Region III,Tarlac,0306900000,2806.58,2565.2,2750.61,2715.44,2711.06,2921,728.82
Banana Saba,Region III,Zambales,0307100000,8230.67,8718.71,9825.5,8495.57,7208.82,5676.57,1505.47
Banana Saba,Region IV-A,Batangas,0401000000,22946.54,19336.13,19987.82,19318.18,20962.84,19559.56,1567.4
Banana Saba,Region IV-A,Cavite,0402100000,12342.04,13007.21,13857.58,12508.55,8145.62,8263.03,1899.8
Banana Saba,Region IV-A,Laguna,0403400000,7089.55,5676.57,6745.32,6886.92,6338.22,6723.17,1512.63
Banana Saba,Region IV-A,Quezon,0405600000,19571.96,18736.03,20770.14,20079.53,19982.09,21420.94,4529.83
Banana Saba,Region IV-A,Rizal,0405800000,2302.49,2461.15,2595.27,2655.02,2490.29,2334.24,170.81
Banana Saba,MIMAROPA,Marinduque,1704000000,264.09,220.96,253.83,317.63,645.38,5715.46,875.81
Banana Saba,MIMAROPA,Occidental Mindoro,1705100000,1412.23,1560.85,1720.8,1640.97,1799.37,1737,1145.38
Banana Saba,MIMAROPA,Oriental Mindoro,1705200000,12211.49,14678.76,21412.79,21447.15,38023.3,56206.52,391.04
Banana Saba,MIMAROPA,Palawan,1705300000,22891.78,21012.19,16280.01,16783.63,15874.3,15932.46,6302.04
Banana Saba,MIMAROPA,Romblon,1705900000,2837.46,3020.75,3182.47,2697.69,3811.06,5090.13,1633.39
Banana Saba,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,1154.91
Banana Saba,Region V,Albay,0500500000,3378.83,3240.04,4022.12,3522.72,3641.88,4420.07,891.49
Banana Saba,Region V,Camarines Norte,0501600000,6434.11,8173.22,5250.75,3026.08,3317.74,2761.31,49.12
Banana Saba,Region V,Camarines Sur,0501700000,14171.69,10416.91,13063.64,12071.28,11803.7,14219.95,1082.06
Banana Saba,Region V,Catanduanes,0502000000,626.5,105.39,218.89,284.77,309.47,261.06,1.26
Banana Saba,Region V,Masbate,0504100000,1866.37,1998.87,2302.36,2456.04,2724,2191.54,385.69
Banana Saba,Region V,Sorsogon,0506200000,6899.28,6940.09,6365.14,6364.09,4871.6,4824.28,355.05
Banana Saba,Region VI,Aklan,0600400000,15821.32,20695.21,22305.19,20388.99,20918.83,22018.17,7980.86
Banana Saba,Region VI,Antique,0600600000,15523.7,16793.23,16821.46,17106.81,16385.11,15840.41,3999.06
Banana Saba,Region VI,Capiz,0601900000,9513.75,10515.82,10758.29,10738.03,10590.31,11010.23,982.95
Banana Saba,Region VI,Guimaras,0607900000,6715.21,8033.07,7814.65,8448.14,8182.98,7521.18,2121.36
Banana Saba,Region VI,Iloilo,0603000000,79884.96,83848.35,79152.25,82020.96,82334.1,86791.69,22337.26
