Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Banana Cavendish,CAR,Abra,1400100000,0,0,0,0,0,0,0
Banana Cavendish,CAR,Apayao,1408100000,0,0,0,0,0,0,0
Banana Cavendish,CAR,Benguet,1401100000,0,0,0,0,0,0,0
Banana Cavendish,CAR,Ifugao,1402700000,0,0,0,10.45,90.74,20.25,1.1
Banana Cavendish,CAR,Kalinga,1403200000,0,0,0,0,0,0,0
Banana Cavendish,CAR,Mountain Province,1404400000,0,0,0,0,0,1.34,0
Banana Cavendish,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0,0
Banana Cavendish,Region I,Ilocos Sur,0102900000,0,0,0,1.48,0.38,7.48,1.87
Banana Cavendish,Region I,La Union,0103300000,0,0,0,0,0,0,0
Banana Cavendish,Region I,Pangasinan,0105500000,0,0,0,0.76,0.8,0,0
Banana Cavendish,Region II,Batanes,0200900000,0,0,0,0,0,0,0
Banana Cavendish,Region II,Cagayan,0201500000,0,0,0,0,3.24,0,0
Banana Cavendish,Region II,Isabela,0203100000,0,0,0,0,12.75,23.39,1.23
Banana Cavendish,Region II,Nueva Vizcaya,0205000000,334.59,353.86,377.17,377.16,345.37,300.73,63.01
Banana Cavendish,Region II,Quirino,0205700000,0,0,0,0,0,0,0
Banana Cavendish,Region III,Aurora,0307700000,0,0,0,0,0,0,0
Banana Cavendish,Region III,Bataan,0300800000,0,0,0,0,0,0,0
Banana Cavendish,Region III,Bulacan,0301400000,0,0,0,0,0,0,0
Banana Cavendish,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Banana Cavendish,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Banana Cavendish,Region III,Tarlac,0306900000,0,0,0,0,0,2.64,0
Banana Cavendish,Region III,Zambales,0307100000,0,0,0,0,0,0,0
Banana Cavendish,Region IV-A,Batangas,0401000000,0,0,0,0,0,0,0
Banana Cavendish,Region IV-A,Cavite,0402100000,1.6,1.45,1.82,1.67,2.86,4.99,0
Banana Cavendish,Region IV-A,Laguna,0403400000,1035.81,540.67,967.75,537.31,370.4,0,0
Banana Cavendish,Region IV-A,Quezon,0405600000,0,0,0,0,0,0,0
Banana Cavendish,Region IV-A,Rizal,0405800000,0,0,0,0,0,0,0
Banana Cavendish,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0,0
Banana Cavendish,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0,0.97
Banana Cavendish,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0,1.41
Banana Cavendish,MIMAROPA,Palawan,1705300000,230.7,0,0,0,0,0,0
Banana Cavendish,MIMAROPA,Romblon,1705900000,0,0,0,3,11.55,0.03,0
Banana Cavendish,,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Banana Cavendish,Region V,Albay,0500500000,0,0,0,0,3.29,7.36,0
Banana Cavendish,Region V,Camarines Norte,0501600000,0,0,0,72.06,0,0,0
Banana Cavendish,Region V,Camarines Sur,0501700000,0,0,0,0,1,0,0
Banana Cavendish,Region V,Catanduanes,0502000000,0,0,0,0,9.5,5.7,0.04
Banana Cavendish,Region V,Masbate,0504100000,0,0,0,0,0,0,0
Banana Cavendish,Region V,Sorsogon,0506200000,0,0,0,0,0,0,0
Banana Cavendish,Region VI,Aklan,0600400000,21.25,25.78,25.8,23.51,26.88,27.41,4.22
Banana Cavendish,Region VI,Antique,0600600000,21.11,21.39,20.8,21.03,18.76,15.62,2.01
Banana Cavendish,Region VI,Capiz,0601900000,12.8,15.06,16.62,17.04,16.87,13.34,2.51
Banana Cavendish,Region VI,Guimaras,0607900000,3.58,1.17,0.92,0.81,1.17,1.19,0.11
Banana Cavendish,Region VI,Iloilo,0603000000,1128.78,1281.11,1290.31,1206.61,1180.62,1234.19,214.95
Banana Cavendish,NIR,Negros Occidental,1804500000,3893.48,3876.6,4307.79,4203.78,0,0,0
