Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Bell Pepper Production,0102800000,Ilocos Norte,997.07,983.84,1003.85,1006.97,1043.05,1037.86
Overall Bell Pepper Production,0102900000,Ilocos Sur,794.56,825.58,844.16,798.12,824.77,733.81
Overall Bell Pepper Production,0103300000,La Union,2.64,2.89,2.89,2.65,3.32,1.22
Overall Bell Pepper Production,0105500000,Pangasinan,17.05,15.76,13.73,12.17,12.41,5.96
Overall Bell Pepper Production,0200900000,Batanes,0.65,0.91,2.17,1.82,2.67,0.24
Overall Bell Pepper Production,0201500000,Cagayan,0.18,0.15,0.91,1.14,0.87,0.29
Overall Bell Pepper Production,0203100000,Isabela,5.73,3.39,2.96,2.28,2.45,1.57
Overall Bell Pepper Production,0205000000,Nueva Vizcaya,271.63,280.79,301.95,394.46,412.14,46.84
Overall Bell Pepper Production,0205700000,Quirino,1.79,2.03,1.97,1.61,1.71,0.06
Overall Bell Pepper Production,0300800000,Bataan,,,,,,
Overall Bell Pepper Production,0301400000,Bulacan,67.12,62.53,62.71,56.13,56.41,5.27
Overall Bell Pepper Production,0304900000,Nueva Ecija,124.52,117.04,105.06,101.09,90.26,25.41
Overall Bell Pepper Production,0305400000,Pampanga,,,,,,
Overall Bell Pepper Production,0306900000,Tarlac,,,,,,
Overall Bell Pepper Production,0307100000,Zambales,25.73,27.98,29.58,21.75,0.05,3.46
Overall Bell Pepper Production,0307700000,Aurora,,,,1.74,0.72,0.38
Overall Bell Pepper Production,0401000000,Batangas,1.0,2.2,8.73,9.47,9.31,1.96
Overall Bell Pepper Production,0402100000,Cavite,143.5,142.48,148.07,170.2,176.95,10.12
Overall Bell Pepper Production,0403400000,Laguna,,16.25,0.9,2.28,2.6,6.23
Overall Bell Pepper Production,0405600000,Quezon,,,,0.01,0.5,0.03
Overall Bell Pepper Production,0405800000,Rizal,,,,,,2.81
Overall Bell Pepper Production,0500500000,Albay,,,,,,
Overall Bell Pepper Production,0501600000,Camarines Norte,,,0.08,0.13,0.34,0.06
Overall Bell Pepper Production,0501700000,Camarines Sur,,,,9.65,2.73,0.02
Overall Bell Pepper Production,0502000000,Catanduanes,,,,0.94,1.05,0.04
Overall Bell Pepper Production,0504100000,Masbate,,,,,,
Overall Bell Pepper Production,0506200000,Sorsogon,,,,0.04,0.2,0.16
Overall Bell Pepper Production,0600400000,Aklan,9.99,9.69,11.54,11.61,11.61,0.16
Overall Bell Pepper Production,0600600000,Antique,26.56,26.53,22.21,24.07,21.99,7.67
Overall Bell Pepper Production,0601900000,Capiz,0.69,0.66,0.64,0.68,0.68,0.13
Overall Bell Pepper Production,0603000000,Iloilo,277.9,276.74,299.06,274.26,706.39,247.5
Overall Bell Pepper Production,0607900000,Guimaras,5.89,8.54,8.88,9.74,11.56,3.25
Overall Bell Pepper Production,0701200000,Bohol,136.66,93.89,95.94,95.29,100.14,15.1
Overall Bell Pepper Production,0702200000,Cebu,201.13,197.0,176.57,168.97,180.24,46.91
Overall Bell Pepper Production,0802600000,Eastern Samar,12.26,16.85,17.97,19.76,19.24,0.31
Overall Bell Pepper Production,0803700000,Leyte,113.82,108.24,103.42,95.81,92.45,1.37
Overall Bell Pepper Production,0804800000,Northern Samar,7.88,8.0,8.02,10.36,4.0,
Overall Bell Pepper Production,0806000000,Samar (Western Samar),12.74,13.46,21.12,19.23,19.29,
Overall Bell Pepper Production,0806400000,Southern Leyte,24.34,20.79,23.04,29.42,22.33,0.86
Overall Bell Pepper Production,0807800000,Biliran,13.11,12.05,10.15,13.6,13.08,1.34
Overall Bell Pepper Production,0906600000,,,,,,,
Overall Bell Pepper Production,0907200000,Zamboanga del Norte,54.83,52.62,49.29,41.13,44.56,6.78
Overall Bell Pepper Production,0907300000,Zamboanga del Sur,34.83,37.33,221.04,210.32,18.4,8.16
Overall Bell Pepper Production,0907400000,Zamboanga City,156.15,150.52,,,109.95,26.64
Overall Bell Pepper Production,0908300000,Zamboanga Sibugay,12.52,12.47,12.52,12.14,13.15,2.62
Overall Bell Pepper Production,1001300000,Bukidnon,1902.14,1981.61,1909.92,1828.28,1807.12,204.91
Overall Bell Pepper Production,1001800000,Camiguin,22.56,17.25,24.49,22.75,36.04,2.19
Overall Bell Pepper Production,1003500000,Lanao del Norte,188.8,196.02,192.25,188.75,186.1,28.17
Overall Bell Pepper Production,1004200000,Misamis Occidental,59.0,57.53,61.22,61.06,62.98,16.98
Overall Bell Pepper Production,1004300000,Misamis Oriental,175.71,199.37,229.87,212.92,215.13,35.79
Overall Bell Pepper Production,1102300000,Davao del Norte,47.31,45.66,43.84,43.07,44.74,4.81
Overall Bell Pepper Production,1102400000,Davao del Sur,243.36,244.15,401.8,398.45,188.94,28.72
Overall Bell Pepper Production,1102500000,Davao Oriental,18.66,16.96,17.34,17.41,17.33,2.77
Overall Bell Pepper Production,1108200000,Davao de Oro (Compostela Valley),225.19,231.86,253.72,245.28,245.97,9.92
Overall Bell Pepper Production,1108600000,Davao Occidental,0.36,0.33,0.35,0.3,0.78,0.2
Overall Bell Pepper Production,1130700000,Davao City,171.31,180.35,,,161.84,54.5
Overall Bell Pepper Production,1204700000,Cotabato (North Cotabato),139.01,117.69,115.03,70.39,74.4,28.47
Overall Bell Pepper Production,1206300000,South Cotabato,73.62,117.03,187.15,155.19,207.32,96.59
Overall Bell Pepper Production,1206500000,Sultan Kudarat,46.19,48.21,53.69,55.48,57.57,5.03
Overall Bell Pepper Production,1208000000,Sarangani,20.94,21.13,20.74,22.55,22.52,2.11
Overall Bell Pepper Production,1400100000,Abra,,,,,,
Overall Bell Pepper Production,1401100000,Benguet,7547.72,8767.15,8775.35,9044.09,9907.23,4494.68
Overall Bell Pepper Production,1402700000,Ifugao,31.13,40.31,49.55,67.57,204.58,20.37
Overall Bell Pepper Production,1403200000,Kalinga,,,,,,
Overall Bell Pepper Production,1404400000,Mountain Province,1030.05,1068.76,913.68,898.26,913.19,16.31
Overall Bell Pepper Production,1408100000,Apayao,,,,0.25,,
Overall Bell Pepper Production,1600200000,Agusan del Norte,24.67,24.21,26.68,27.06,27.2,2.75
Overall Bell Pepper Production,1600300000,Agusan del Sur,173.14,178.76,109.35,104.6,108.47,5.23
Overall Bell Pepper Production,1606700000,Surigao del Norte,3.83,7.31,1.7,2.01,9.54,0.2
