Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Bottle Gourd Production,0102800000,Ilocos Norte,3198.36,3355.42,3450.66,3316.06,3164.55,1612.44
Overall Bottle Gourd Production,0102900000,Ilocos Sur,1103.48,1032.99,1066.72,1075.59,1068.82,137.8
Overall Bottle Gourd Production,0103300000,La Union,1764.59,1823.61,1735.67,1672.84,1615.32,825.73
Overall Bottle Gourd Production,0105500000,Pangasinan,4652.57,4694.45,4206.68,4412.99,6654.02,6915.27
Overall Bottle Gourd Production,0200900000,Batanes,10.3,12.89,11.65,9.5,11.38,3.98
Overall Bottle Gourd Production,0201500000,Cagayan,3191.92,3679.11,3210.12,2585.18,2410.55,1976.3
Overall Bottle Gourd Production,0203100000,Isabela,4350.44,4338.08,4264.45,4002.91,3853.68,2573.65
Overall Bottle Gourd Production,0205000000,Nueva Vizcaya,247.22,238.96,318.75,243.76,255.13,141.7
Overall Bottle Gourd Production,0205700000,Quirino,175.48,201.01,198.95,190.09,193.13,92.07
Overall Bottle Gourd Production,0300800000,Bataan,111.85,122.03,144.76,127.83,104.89,21.77
Overall Bottle Gourd Production,0301400000,Bulacan,2390.68,2960.46,3046.04,2949.67,3013.4,1670.75
Overall Bottle Gourd Production,0304900000,Nueva Ecija,6611.67,6694.45,6393.35,5364.02,5473.74,877.04
Overall Bottle Gourd Production,0305400000,Pampanga,978.11,1061.24,1030.3,1140.71,1113.97,729.1
Overall Bottle Gourd Production,0306900000,Tarlac,235.17,233.4,226.41,233.34,238.67,60.67
Overall Bottle Gourd Production,0307100000,Zambales,873.36,933.63,953.85,673.13,63.49,21.1
Overall Bottle Gourd Production,0307700000,Aurora,92.52,129.91,143.0,114.61,93.84,
Overall Bottle Gourd Production,0401000000,Batangas,6194.51,5402.92,5254.25,4012.87,4062.08,2533.9
Overall Bottle Gourd Production,0402100000,Cavite,2133.64,2084.18,1995.93,2161.61,2143.61,1253.85
Overall Bottle Gourd Production,0403400000,Laguna,1942.33,1940.76,1809.98,1749.04,1767.78,423.73
Overall Bottle Gourd Production,0405600000,Quezon,6354.39,6773.52,6749.65,6561.97,6433.44,2793.38
Overall Bottle Gourd Production,0405800000,Rizal,96.19,92.3,113.63,110.54,124.58,72.12
Overall Bottle Gourd Production,0500500000,Albay,549.92,631.21,576.07,384.32,559.86,57.42
Overall Bottle Gourd Production,0501600000,Camarines Norte,721.42,892.55,624.06,557.75,272.45,0.24
Overall Bottle Gourd Production,0501700000,Camarines Sur,68.76,59.68,57.49,271.49,415.35,157.79
Overall Bottle Gourd Production,0502000000,Catanduanes,135.87,107.9,105.05,122.27,50.03,12.18
Overall Bottle Gourd Production,0504100000,Masbate,905.43,922.6,808.89,718.39,549.84,
Overall Bottle Gourd Production,0506200000,Sorsogon,181.72,173.02,153.69,104.96,105.62,10.15
Overall Bottle Gourd Production,0600400000,Aklan,29.5,30.72,28.48,29.51,43.38,9.28
Overall Bottle Gourd Production,0600600000,Antique,36.57,35.23,41.97,41.5,33.57,9.32
Overall Bottle Gourd Production,0601900000,Capiz,397.33,414.84,413.52,388.6,382.38,140.58
Overall Bottle Gourd Production,0603000000,Iloilo,358.85,341.11,330.68,306.53,346.14,92.42
Overall Bottle Gourd Production,0607900000,Guimaras,113.13,120.84,120.31,140.02,166.45,24.88
Overall Bottle Gourd Production,0701200000,Bohol,95.16,97.93,114.55,117.39,160.64,20.54
Overall Bottle Gourd Production,0702200000,Cebu,1573.68,1640.0,1698.57,1604.38,1331.48,200.0
Overall Bottle Gourd Production,0802600000,Eastern Samar,12.05,12.2,16.54,22.02,22.11,2.5
Overall Bottle Gourd Production,0803700000,Leyte,1861.04,1875.48,1524.02,1524.96,1487.24,20.0
Overall Bottle Gourd Production,0804800000,Northern Samar,86.43,92.65,95.75,92.4,92.61,8.31
Overall Bottle Gourd Production,0806000000,Samar (Western Samar),701.35,769.63,857.74,835.11,840.79,78.99
Overall Bottle Gourd Production,0806400000,Southern Leyte,103.8,73.52,83.91,77.82,46.29,20.78
Overall Bottle Gourd Production,0807800000,Biliran,275.0,246.58,231.0,166.16,175.0,82.59
Overall Bottle Gourd Production,0906600000,,223.5,223.4,225.0,222.2,230.01,15.88
Overall Bottle Gourd Production,0907200000,Zamboanga del Norte,635.18,653.76,598.41,385.93,405.45,48.02
Overall Bottle Gourd Production,0907300000,Zamboanga del Sur,312.79,321.15,2589.71,2449.8,574.68,55.9
Overall Bottle Gourd Production,0907400000,Zamboanga City,2380.25,2414.63,,,1238.88,300.55
Overall Bottle Gourd Production,0908300000,Zamboanga Sibugay,197.06,191.63,181.62,178.02,167.35,34.23
Overall Bottle Gourd Production,1001300000,Bukidnon,225.75,222.32,226.91,214.64,213.89,9.79
Overall Bottle Gourd Production,1001800000,Camiguin,33.75,43.67,34.88,36.66,30.17,3.31
Overall Bottle Gourd Production,1003500000,Lanao del Norte,1516.25,1522.0,1517.48,1516.5,1175.6,257.42
Overall Bottle Gourd Production,1004200000,Misamis Occidental,559.1,589.01,592.47,567.34,582.23,154.13
Overall Bottle Gourd Production,1004300000,Misamis Oriental,1676.61,1955.93,1866.16,1733.02,1679.44,4.3
Overall Bottle Gourd Production,1102300000,Davao del Norte,930.29,925.12,944.18,942.71,979.46,105.26
Overall Bottle Gourd Production,1102400000,Davao del Sur,308.89,292.95,763.78,761.18,350.7,47.92
Overall Bottle Gourd Production,1102500000,Davao Oriental,801.35,804.84,608.96,614.9,809.39,102.7
Overall Bottle Gourd Production,1108200000,Davao de Oro (Compostela Valley),379.44,376.53,376.23,363.55,355.36,59.12
Overall Bottle Gourd Production,1108600000,Davao Occidental,121.94,122.72,123.21,119.3,120.45,13.7
Overall Bottle Gourd Production,1130700000,Davao City,437.58,462.43,,,352.53,91.21
Overall Bottle Gourd Production,1204700000,Cotabato (North Cotabato),402.59,366.66,322.13,206.73,222.91,64.53
Overall Bottle Gourd Production,1206300000,South Cotabato,129.25,170.73,182.35,223.32,174.55,25.73
Overall Bottle Gourd Production,1206500000,Sultan Kudarat,522.67,530.54,535.27,512.53,550.08,228.03
Overall Bottle Gourd Production,1208000000,Sarangani,240.0,242.62,230.7,233.0,231.12,21.42
Overall Bottle Gourd Production,1400100000,Abra,933.15,938.78,876.96,636.62,751.35,419.1
Overall Bottle Gourd Production,1401100000,Benguet,,,0.02,,,
Overall Bottle Gourd Production,1402700000,Ifugao,129.55,132.83,156.33,10.2,8.39,2.0
Overall Bottle Gourd Production,1403200000,Kalinga,15.07,19.44,22.51,20.73,19.75,16.25
Overall Bottle Gourd Production,1404400000,Mountain Province,,,,,,0.34
Overall Bottle Gourd Production,1408100000,Apayao,19.42,21.19,24.05,24.08,23.47,13.85
Overall Bottle Gourd Production,1600200000,Agusan del Norte,498.93,484.51,507.9,492.83,506.69,31.68
Overall Bottle Gourd Production,1600300000,Agusan del Sur,755.36,767.04,641.77,542.63,564.8,24.97
Overall Bottle Gourd Production,1606700000,Surigao del Norte,38.69,46.91,23.07,14.68,23.13,3.96
Overall Bottle Gourd Production,1606800000,Surigao del Sur,110.69,122.85,67.38,52.33,5.31,0.52
Overall Bottle Gourd Production,1608500000,Dinagat Islands,12.19,9.24,17.8,6.83,10.78,2.96
Overall Bottle Gourd Production,1630400000,Butuan City,,,,,,16.32
Overall Bottle Gourd Production,1704000000,Marinduque,256.11,315.38,367.26,192.8,161.69,172.87
Overall Bottle Gourd Production,1705100000,Occidental Mindoro,126.65,118.79,137.78,84.71,81.12,32.14
Overall Bottle Gourd Production,1705200000,Oriental Mindoro,118.25,98.26,180.98,214.55,223.57,0.74
Overall Bottle Gourd Production,1705300000,Palawan,215.28,199.25,216.0,206.43,201.79,52.07
Overall Bottle Gourd Production,1705900000,Romblon,71.65,76.54,65.9,55.01,59.03,27.29
Overall Bottle Gourd Production,1731500000,Puerto Princesa City,,,,,,6.66
Overall Bottle Gourd Production,1804500000,Negros Occidental,1575.0,1613.3,1700.36,1702.56,1693.66,497.8
Overall Bottle Gourd Production,1804600000,Negros Oriental,342.21,371.21,396.84,297.03,308.02,83.39
Overall Bottle Gourd Production,1806100000,Siquijor,19.56,15.83,13.84,13.07,6.85,1.62
Overall Bottle Gourd Production,1830200000,Bacolod City,,,,,,
Overall Bottle Gourd Production,1900700000,Basilan,179.87,191.7,187.16,120.04,31.92,1.61
Overall Bottle Gourd Production,1903600000,Lanao del Sur,151.63,151.39,123.64,15.17,34.4,14.35
Overall Bottle Gourd Production,1907000000,Tawi-Tawi,36.16,38.06,35.9,37.84,40.07,8.23
Overall Bottle Gourd Production,1908700000,Maguindanao del Norte,,,,,157.0,4.27
Overall Bottle Gourd Production,1908800000,Maguindanao del Sur,303.6,305.73,306.4,223.46,24.9,6.6
