Commodity,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Broccoli,CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,1400100000,0,0,0,0,0,0,0
Broccoli,CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,1408100000,0,0,0,0,0,0,0
Broccoli,CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,1401100000,2249.6,2423.25,2799.03,2673.15,10759.36,10887.67,6088.96
Broccoli,CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,1402700000,0,0,0,0,0,0,0
Broccoli,CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,1403200000,0,0,0,0,0,0,0
Broccoli,CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,1404400000,43.2,46.8,45.02,43.12,26.81,37.28,8.4
Broccoli,REGION I (ILOCOS REGION),Ilocos Norte,0102800000,0,0,0,0,0,0.02,0
Broccoli,REGION I (ILOCOS REGION),Ilocos Sur,0102900000,0,0,0,0,0,0,0
Broccoli,REGION I (ILOCOS REGION),La Union,0103300000,0,0,0,0,0,0,0
Broccoli,REGION I (ILOCOS REGION),Pangasinan,0105500000,0,0,0,0,0,0,0
Broccoli,REGION II (CAGAYAN VALLEY),Batanes,0200900000,0.14,0.23,0.29,0.38,1.59,1.47,0.54
Broccoli,REGION II (CAGAYAN VALLEY),Cagayan,0201500000,0,0,0,0,0.57,0,0
Broccoli,REGION II (CAGAYAN VALLEY),Isabela,0203100000,0,0,0,0,0,0,0
Broccoli,REGION II (CAGAYAN VALLEY),Nueva Vizcaya,0205000000,23.86,22.43,27.28,28,50.43,39.44,49.68
Broccoli,REGION II (CAGAYAN VALLEY),Quirino,0205700000,0,2.5,1.85,2.07,5.29,0,0
Broccoli,REGION III (CENTRAL LUZON),Aurora,0307700000,0,0,0,0,0,0,0
Broccoli,REGION III (CENTRAL LUZON),Bataan,0300800000,0,0,0,0,0,0,0
Broccoli,REGION III (CENTRAL LUZON),Bulacan,0301400000,0,0,0,0,0,0,0
Broccoli,REGION III (CENTRAL LUZON),Nueva Ecija,0304900000,0,0,0,0,0,0,0
Broccoli,REGION III (CENTRAL LUZON),Pampanga,0305400000,0,0,0,0,0,0,0
Broccoli,REGION III (CENTRAL LUZON),Tarlac,0306900000,0,0,0,0,0,0,0
Broccoli,REGION III (CENTRAL LUZON),Zambales,0307100000,0,0,0,0,0,0,0
Broccoli,REGION IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,0,0
Broccoli,REGION IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,0.25,0
Broccoli,REGION IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,0,0
Broccoli,REGION IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,0,0
Broccoli,REGION IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,0,0
Broccoli,MIMAROPA REGION,Marinduque,1704000000,0,0,0,0,0,0,0
Broccoli,MIMAROPA REGION,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Broccoli,MIMAROPA REGION,Oriental Mindoro,1705200000,0,0,0,0,0,0,0
Broccoli,MIMAROPA REGION,Palawan,1705300000,0,0,0,0,0,0,0
Broccoli,MIMAROPA REGION,City of Puerto Princesa,1731500000,..,..,..,..,..,..,0
Broccoli,MIMAROPA REGION,Romblon,1705900000,0,0,0,0,0,0,0
Broccoli,REGION V (BICOL REGION),Albay,0500500000,0,0,0,0,0,0,0
Broccoli,REGION V (BICOL REGION),Camarines Norte,0501600000,0,0,0,0,0,0,0
Broccoli,REGION V (BICOL REGION),Camarines Sur,0501700000,0,0,0,0,0,0,0
Broccoli,REGION V (BICOL REGION),Catanduanes,0502000000,0,0,0,0,0,0,0
Broccoli,REGION V (BICOL REGION),Masbate,0504100000,0,0,0,0,0,0,0
Broccoli,REGION V (BICOL REGION),Sorsogon,0506200000,0,0,0,0,0,0,0
Broccoli,REGION VI (WESTERN VISAYAS),Aklan,0600400000,0,0,0,0,0,0,0
Broccoli,REGION VI (WESTERN VISAYAS),Antique,0600600000,0,0,0,0,0,0,0
Broccoli,REGION VI (WESTERN VISAYAS),Capiz,0601900000,0,0,0,0,0,0,0
Broccoli,REGION VI (WESTERN VISAYAS),Guimaras,0607900000,0,0,0,0,0,0,0
Broccoli,REGION VI (WESTERN VISAYAS),Iloilo,0603000000,9.25,7.67,7.88,7.97,6.22,21.79,10.06
Broccoli,REGION VI (WESTERN VISAYAS),Negros Occidental,1804500000,0,0,0,0,..,..,..
Broccoli,NEGROS ISLAND REGION (NIR) 2/,Negros Occidental a/,1804500000,..,..,..,..,0,0,0
Broccoli,NEGROS ISLAND REGION (NIR) 2/,City of Bacolod,1830200000,..,..,..,..,..,..,0
Broccoli,NEGROS ISLAND REGION (NIR) 2/,Negros Oriental b/,1804600000,..,..,..,..,69.36,58.62,43
Broccoli,NEGROS ISLAND REGION (NIR) 2/,Siquijor b/,1806100000,..,..,..,..,0,0,0
Broccoli,REGION VII (CENTRAL VISAYAS),Bohol,0701200000,0,0,0,0,0,0.03,0
Broccoli,REGION VII (CENTRAL VISAYAS),Cebu,0702200000,0,0,0,0,0.88,0,0
Broccoli,REGION VII (CENTRAL VISAYAS),Negros Oriental,1804600000,100.62,91.79,63.14,84.59,..,..,..
Broccoli,REGION VII (CENTRAL VISAYAS),Siquijor,1806100000,0,0,0,0,..,..,..
Broccoli,REGION VIII (EASTERN VISAYAS),Biliran,0807800000,0,0,0,0,0,0,0
Broccoli,REGION VIII (EASTERN VISAYAS),Eastern Samar,0802600000,0,0,0,0,0,0,0
Broccoli,REGION VIII (EASTERN VISAYAS),Leyte,0803700000,0.22,0,0,0.07,0,0,0
Broccoli,REGION VIII (EASTERN VISAYAS),Northern Samar,0804800000,0,0,0,0,0,0,0
Broccoli,REGION VIII (EASTERN VISAYAS),Samar,0806000000,0,0,0,0,0,0,0
Broccoli,REGION VIII (EASTERN VISAYAS),Southern Leyte,0806400000,0,0,0,0,0,0,0
Broccoli,REGION IX (ZAMBOANGA PENINSULA),Sulu c/,0906600000,..,..,..,..,..,..,0
Broccoli,REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Norte,0907200000,0,0,0,0,0,0,0
Broccoli,REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Sur,0907300000,0,0,0,0,0,0,0
Broccoli,REGION IX (ZAMBOANGA PENINSULA),City of Zamboanga,0907400000,0,0,0,..,..,0,0
Broccoli,REGION IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,0908300000,0,0,0,0,0,0,0
