Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Cacao,CAR,Abra,1400100000,0,0,0,0.06,0.93,0.96,0
Cacao,CAR,Apayao,1408100000,20.38,20.48,19.74,20.47,22.08,20.49,9.1
Cacao,CAR,Benguet,1401100000,3.55,3.88,3.98,4.17,3.49,4.07,3.45
Cacao,CAR,Ifugao,1402700000,0,0,0,0,1.5,2.07,0.41
Cacao,CAR,Kalinga,1403200000,6.6,7.2,10.29,10.87,14.3,18.62,7.5
Cacao,CAR,Mountain Province,1404400000,1.54,2.28,2.48,3.04,3.4,8.38,1.1
Cacao,Region I,Ilocos Norte,0102800000,11.61,11.11,13.5,13.06,13.1,13.04,4.55
Cacao,Region I,Ilocos Sur,0102900000,6.65,6.76,6.89,8.3,7.54,11.32,9.29
Cacao,Region I,La Union,0103300000,14.18,15.28,15.39,16.74,17.24,15.91,2.64
Cacao,Region I,Pangasinan,0105500000,18.25,18.25,14.92,16.97,18.45,17.92,14.18
Cacao,Region II,Batanes,0200900000,0,0,0,0,0,0,0
Cacao,Region II,Cagayan,0201500000,69.68,101.89,98.36,103.12,95.78,226.67,6.65
Cacao,Region II,Isabela,0203100000,15.08,11.95,12.07,10.45,10.75,13.86,4.98
Cacao,Region II,Nueva Vizcaya,0205000000,30.33,31.19,34.39,35,35.59,36.54,2.88
Cacao,Region II,Quirino,0205700000,5.36,5.71,6.48,7.77,7.52,7.65,1.52
Cacao,Region III,Aurora,0307700000,333.91,109.84,240.67,251.38,196.77,9.16,0.06
Cacao,Region III,Bataan,0300800000,0,0,0,0,0,37.67,0
Cacao,Region III,Bulacan,0301400000,3.17,3.08,3.64,3.6,3.47,3.56,0.02
Cacao,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Cacao,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Cacao,Region III,Tarlac,0306900000,0,0,0,0,0.18,0.2,0
Cacao,Region III,Zambales,0307100000,1.23,1.67,1.37,0.98,0.74,0.1,0
Cacao,Region IV-A,Batangas,0401000000,3.83,4.6,3.99,10.06,11.62,10.21,1.9
Cacao,Region IV-A,Cavite,0402100000,8.17,9.03,10.63,9.58,10.48,62.32,6.5
Cacao,Region IV-A,Laguna,0403400000,2.19,2.65,2.88,4.54,142.23,278.43,126.87
Cacao,Region IV-A,Quezon,0405600000,12.22,12.03,15,193.52,241.31,461.74,203.71
Cacao,Region IV-A,Rizal,0405800000,0.28,0.33,0.85,1.3,3.7,30.12,6.05
Cacao,MIMAROPA,Marinduque,1704000000,1.61,1.56,1.84,1.94,3.22,7.68,5.3
Cacao,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0,5.92
Cacao,MIMAROPA,Oriental Mindoro,1705200000,14.73,11.69,8.56,9.53,11.96,11.99,1.07
Cacao,MIMAROPA,Palawan,1705300000,87.91,121.78,148.37,48.62,50.27,45.99,13.17
Cacao,MIMAROPA,Romblon,1705900000,0.99,0.48,0.46,3.97,5.35,5.15,0.69
Cacao,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,3.85,0,7.13
Cacao,Region V,Albay,0500500000,15.2,14.24,16.37,72.3,103.93,141.31,7.43
Cacao,Region V,Camarines Norte,0501600000,0.73,0.59,0.57,1.22,1.48,1.69,0.06
Cacao,Region V,Camarines Sur,0501700000,12.38,12.92,15.33,19.23,29.2,38.89,27.36
Cacao,Region V,Catanduanes,0502000000,0.8,0.8,0.83,0.77,0.41,1.36,0.48
Cacao,Region V,Masbate,0504100000,0,1.36,1.4,1.76,1.92,1.84,0.15
Cacao,Region V,Sorsogon,0506200000,6.97,7.33,8.44,38.59,29.77,35.94,6.59
Cacao,Region VI,Aklan,0600400000,1.88,2.3,2.69,2.71,2.57,7.66,2.82
Cacao,Region VI,Antique,0600600000,3.28,3.42,3.78,3.38,7.47,8.56,2.3
Cacao,Region VI,Capiz,0601900000,12.87,14.06,17.18,17.76,20.38,31.24,7.3
Cacao,Region VI,Guimaras,0607900000,9.79,12.32,14.71,16.92,18.65,26.56,4.1
Cacao,Region VI,Iloilo,0603000000,82.46,96.12,85.87,82.49,135.94,139.84,59.54
Cacao,NIR,Negros Occidental,1804500000,5.52,5.51,5.39,11.28,0,0,0
Cacao,NIR,Negros Occidental,1804500000,0,0,0,0,18.75,23.15,8.4
Cacao,NIR,Negros Oriental,1804600000,0,0,0,0,10.41,10.02,0.93
Cacao,NIR,Siquijor,1806100000,0,0,0,0,4.21,4.19,1.65
Cacao,NIR,City of Bacolod,1830200000,0,0,0,0,2.93,0,0
Cacao,Region VII,Bohol,0701200000,71.64,63.54,28.14,93.62,112.63,141.66,46.46
Cacao,Region VII,Cebu,0702200000,18.31,18.95,14.35,15.94,20.62,25.12,6.32
Cacao,NIR,Negros Oriental,1804600000,8.07,10.51,5.84,8.01,0,0,0
Cacao,NIR,Siquijor,1806100000,6.11,6.4,4.86,5.7,0,0,0
Cacao,Region VIII,Biliran,0807800000,17.55,20.51,20.73,17.92,18.99,17.61,1.9
Cacao,Region VIII,Eastern Samar,0802600000,2.14,2.1,2.5,8.84,11.62,13.1,3.94
Cacao,Region VIII,Leyte,0803700000,10.7,11.41,11.09,58.32,13.29,13.2,2.6
Cacao,Region VIII,Northern Samar,0804800000,28.82,29.17,28.52,29.84,27.11,27.86,10.65
Cacao,Region VIII,Samar,0806000000,2.93,3.05,4.74,5.03,5.23,8,4.55
Cacao,Region VIII,Southern Leyte,0806400000,6.1,5.89,3.29,10.75,12.45,24.07,4.18
Cacao,Region IX,Sulu,0906600000,0,0,0,0,448.88,0,7.89
Cacao,Region IX,Zamboanga del Norte,0907200000,282.02,447.02,548.94,586.82,541.24,549.37,104.92
