Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Carrots Production,0102800000,Ilocos Norte,,,,,,
Overall Carrots Production,0102900000,Ilocos Sur,,,,,,
Overall Carrots Production,0103300000,La Union,,,,,,
Overall Carrots Production,0105500000,Pangasinan,,,,,,
Overall Carrots Production,0200900000,Batanes,4.0,7.09,7.71,8.75,11.87,5.41
Overall Carrots Production,0201500000,Cagayan,,,,,0.3,0.46
Overall Carrots Production,0203100000,Isabela,,,,,,
Overall Carrots Production,0205000000,Nueva Vizcaya,657.16,663.09,744.59,1310.36,1143.97,916.6
Overall Carrots Production,0205700000,Quirino,15.82,16.48,15.76,7.1,7.46,5.16
Overall Carrots Production,0300800000,Bataan,,,,,,
Overall Carrots Production,0301400000,Bulacan,,,,,,
Overall Carrots Production,0304900000,Nueva Ecija,,,,,,
Overall Carrots Production,0305400000,Pampanga,,,,,,
Overall Carrots Production,0306900000,Tarlac,,,,,,
Overall Carrots Production,0307100000,Zambales,,,,,,
Overall Carrots Production,0307700000,Aurora,,,,,,
Overall Carrots Production,0401000000,Batangas,,,,,,
Overall Carrots Production,0402100000,Cavite,,,,0.03,,0.01
Overall Carrots Production,0403400000,Laguna,,,,,,
Overall Carrots Production,0405600000,Quezon,26.31,23.63,23.02,20.92,21.65,1.02
Overall Carrots Production,0405800000,Rizal,,,,,,
Overall Carrots Production,0500500000,Albay,,,,,,
Overall Carrots Production,0501600000,Camarines Norte,,,,,,
Overall Carrots Production,0501700000,Camarines Sur,,,,,,
Overall Carrots Production,0502000000,Catanduanes,,,,,0.1,
Overall Carrots Production,0504100000,Masbate,,,,,,
Overall Carrots Production,0506200000,Sorsogon,,,,,,
Overall Carrots Production,0600400000,Aklan,,,,,,
Overall Carrots Production,0600600000,Antique,40.86,38.63,37.38,36.37,36.24,4.48
Overall Carrots Production,0601900000,Capiz,,,,,,
Overall Carrots Production,0603000000,Iloilo,36.58,31.93,31.92,29.09,52.64,118.45
Overall Carrots Production,0607900000,Guimaras,,,,,,
Overall Carrots Production,0701200000,Bohol,,,0.02,0.01,,
Overall Carrots Production,0702200000,Cebu,1179.07,1115.0,1197.15,1073.0,1125.36,142.52
Overall Carrots Production,0802600000,Eastern Samar,,,,,,
Overall Carrots Production,0803700000,Leyte,0.57,0.56,0.37,,,
Overall Carrots Production,0804800000,Northern Samar,,,,,,
Overall Carrots Production,0806000000,Samar (Western Samar),,,,,0.33,
Overall Carrots Production,0806400000,Southern Leyte,,,,,,
Overall Carrots Production,0807800000,Biliran,0.96,0.92,,0.19,,
Overall Carrots Production,0906600000,,,,,,,
Overall Carrots Production,0907200000,Zamboanga del Norte,57.94,48.23,32.84,31.29,33.93,3.1
Overall Carrots Production,0907300000,Zamboanga del Sur,34.9,32.38,92.58,136.16,32.88,4.3
Overall Carrots Production,0907400000,Zamboanga City,210.37,207.61,,,389.34,45.1
Overall Carrots Production,0908300000,Zamboanga Sibugay,21.05,19.78,19.11,18.52,17.9,3.72
Overall Carrots Production,1001300000,Bukidnon,1348.68,1318.09,1349.22,1886.6,1872.02,439.43
Overall Carrots Production,1001800000,Camiguin,,,,,,
Overall Carrots Production,1003500000,Lanao del Norte,,,,,1.14,
Overall Carrots Production,1004200000,Misamis Occidental,61.0,52.26,44.3,44.19,42.96,6.54
Overall Carrots Production,1004300000,Misamis Oriental,27.18,28.02,35.46,26.63,40.5,14.0
Overall Carrots Production,1102300000,Davao del Norte,,,,,,
Overall Carrots Production,1102400000,Davao del Sur,1316.26,1237.8,1335.48,1313.86,1229.28,192.8
Overall Carrots Production,1102500000,Davao Oriental,15.15,14.21,13.68,13.49,10.99,2.43
Overall Carrots Production,1108200000,Davao de Oro (Compostela Valley),29.03,28.29,27.26,26.27,25.45,9.04
Overall Carrots Production,1108600000,Davao Occidental,0.03,0.03,0.02,,,
Overall Carrots Production,1130700000,Davao City,87.13,87.36,,,54.76,9.34
Overall Carrots Production,1204700000,Cotabato (North Cotabato),210.29,144.39,80.47,48.29,36.55,2.96
Overall Carrots Production,1206300000,South Cotabato,109.05,122.93,137.13,228.39,178.34,253.84
Overall Carrots Production,1206500000,Sultan Kudarat,43.13,44.09,44.54,43.1,43.92,7.41
Overall Carrots Production,1208000000,Sarangani,127.75,130.1,93.25,95.3,95.0,11.0
Overall Carrots Production,1400100000,Abra,,,,1.3,1.43,
Overall Carrots Production,1401100000,Benguet,53465.86,47618.78,49364.45,48186.29,48005.55,31591.47
Overall Carrots Production,1402700000,Ifugao,466.56,420.59,627.82,925.84,1541.64,148.61
Overall Carrots Production,1403200000,Kalinga,,,,,,
Overall Carrots Production,1404400000,Mountain Province,2890.5,2942.37,2632.27,2626.76,2494.44,98.1
Overall Carrots Production,1408100000,Apayao,,,,,,
Overall Carrots Production,1600200000,Agusan del Norte,,,,,,
Overall Carrots Production,1600300000,Agusan del Sur,,,,,,
Overall Carrots Production,1606700000,Surigao del Norte,,,,0.7,,
Overall Carrots Production,1606800000,Surigao del Sur,,,,,,
Overall Carrots Production,1608500000,Dinagat Islands,0.2,,,,,
Overall Carrots Production,1630400000,Butuan City,,,,,,
Overall Carrots Production,1704000000,Marinduque,1.87,1.13,0.15,0.05,,
Overall Carrots Production,1705100000,Occidental Mindoro,,,,,,
Overall Carrots Production,1705200000,Oriental Mindoro,,,,,,
Overall Carrots Production,1705300000,Palawan,,,,,,
Overall Carrots Production,1705900000,Romblon,,,,,,
Overall Carrots Production,1731500000,Puerto Princesa City,,,,,,
Overall Carrots Production,1804500000,Negros Occidental,70.53,63.19,60.88,61.99,134.79,73.1
Overall Carrots Production,1804600000,Negros Oriental,1478.82,1517.71,1928.47,2368.59,1620.71,636.7
Overall Carrots Production,1806100000,Siquijor,,,,,,
Overall Carrots Production,1830200000,Bacolod City,,,,,,
Overall Carrots Production,1900700000,Basilan,,,,,,
Overall Carrots Production,1903600000,Lanao del Sur,0.28,0.26,1.77,61.24,135.37,21.09
Overall Carrots Production,1907000000,Tawi-Tawi,,,,,,
Overall Carrots Production,1908700000,Maguindanao del Norte,,,,,52.41,24.86
Overall Carrots Production,1908800000,Maguindanao del Sur,,,,15.1,18.75,7.5
