Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Cassava Production,0102800000,Ilocos Norte,3432.11,3461.43,3355.58,3348.13,3375.44,992.77
Overall Cassava Production,0102900000,Ilocos Sur,1427.38,1685.31,1476.01,1491.95,1494.58,98.56
Overall Cassava Production,0103300000,La Union,2797.11,2715.57,2637.11,2659.56,3050.94,37.19
Overall Cassava Production,0105500000,Pangasinan,11171.2,9421.07,8704.86,8879.59,9386.45,2493.04
Overall Cassava Production,0200900000,Batanes,7.43,8.41,3.8,6.9,7.56,3.88
Overall Cassava Production,0201500000,Cagayan,9141.79,8812.35,9320.02,8647.47,7228.66,3630.17
Overall Cassava Production,0203100000,Isabela,141234.64,136010.93,133217.0,123412.15,119672.38,23890.33
Overall Cassava Production,0205000000,Nueva Vizcaya,3604.86,4009.15,3669.05,3191.15,3117.75,1150.58
Overall Cassava Production,0205700000,Quirino,36671.98,36178.98,36898.08,35942.91,32854.55,12759.49
Overall Cassava Production,0300800000,Bataan,2302.93,2011.4,1769.73,1562.44,1653.95,796.84
Overall Cassava Production,0301400000,Bulacan,1757.35,1472.06,1285.24,1192.34,1371.97,291.42
Overall Cassava Production,0304900000,Nueva Ecija,429.51,377.48,350.93,322.49,355.54,43.85
Overall Cassava Production,0305400000,Pampanga,12268.37,12903.18,12527.55,13424.48,14013.5,3295.71
Overall Cassava Production,0306900000,Tarlac,1350.27,1365.96,1346.79,1360.5,1422.01,36.73
Overall Cassava Production,0307100000,Zambales,3170.79,3010.93,2514.07,2706.1,1683.59,
Overall Cassava Production,0307700000,Aurora,2411.27,2232.44,2366.65,1439.37,276.36,67.01
Overall Cassava Production,0401000000,Batangas,7465.4,7524.12,7797.84,6947.07,5251.48,1489.34
Overall Cassava Production,0402100000,Cavite,845.34,892.85,858.66,1307.72,1680.37,685.49
Overall Cassava Production,0403400000,Laguna,1887.19,1943.04,1987.06,1645.34,2059.12,746.05
Overall Cassava Production,0405600000,Quezon,31381.94,31051.62,30583.54,30309.7,30270.65,11761.24
Overall Cassava Production,0405800000,Rizal,1183.49,1190.92,1115.32,1106.55,1081.02,561.28
Overall Cassava Production,0500500000,Albay,10859.6,10485.28,10419.18,8336.86,5571.18,592.37
Overall Cassava Production,0501600000,Camarines Norte,3686.04,2952.9,2435.99,2037.72,1689.62,63.9
Overall Cassava Production,0501700000,Camarines Sur,43110.69,42914.25,37168.47,23109.28,10489.06,360.31
Overall Cassava Production,0502000000,Catanduanes,334.85,411.19,470.37,400.63,233.62,70.02
Overall Cassava Production,0504100000,Masbate,10125.12,10112.53,9242.3,9869.11,4760.6,1617.89
Overall Cassava Production,0506200000,Sorsogon,3740.34,3318.75,1876.9,761.25,738.45,106.83
Overall Cassava Production,0600400000,Aklan,7400.32,8562.7,7548.44,6868.64,6481.37,381.65
Overall Cassava Production,0600600000,Antique,4640.73,4414.06,4185.95,4145.26,3849.83,340.94
Overall Cassava Production,0601900000,Capiz,5309.6,5303.87,5258.4,5051.5,5110.74,630.0
Overall Cassava Production,0603000000,Iloilo,6652.94,6425.26,6841.01,6607.22,5419.18,2091.25
Overall Cassava Production,0607900000,Guimaras,815.0,891.05,908.53,1000.44,1238.83,547.94
Overall Cassava Production,0701200000,Bohol,13182.22,9496.26,9456.6,4941.91,5051.04,491.54
Overall Cassava Production,0702200000,Cebu,14098.08,14906.0,15238.76,14681.62,13545.03,2302.36
Overall Cassava Production,0802600000,Eastern Samar,10908.38,13998.96,14507.15,17197.12,16521.8,3308.59
Overall Cassava Production,0803700000,Leyte,41568.26,40414.57,39923.53,39287.23,39184.5,13092.0
