Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Chinese Cabbage Production,0102800000,Ilocos Norte,,,,,,
Overall Chinese Cabbage Production,0102900000,Ilocos Sur,,,,,1.87,1.49
Overall Chinese Cabbage Production,0103300000,La Union,,,0.47,,,
Overall Chinese Cabbage Production,0105500000,Pangasinan,,,1.33,1.28,1.23,
Overall Chinese Cabbage Production,0200900000,Batanes,,0.1,,,0.69,0.4
Overall Chinese Cabbage Production,0201500000,Cagayan,,,,0.02,1.21,0.2
Overall Chinese Cabbage Production,0203100000,Isabela,,,,,,
Overall Chinese Cabbage Production,0205000000,Nueva Vizcaya,197.82,202.78,207.65,327.36,374.43,191.94
Overall Chinese Cabbage Production,0205700000,Quirino,4.47,3.69,2.39,3.31,,
Overall Chinese Cabbage Production,0300800000,Bataan,,,,,,0.04
Overall Chinese Cabbage Production,0301400000,Bulacan,0.96,0.99,0.01,,0.03,
Overall Chinese Cabbage Production,0304900000,Nueva Ecija,,,,,,
Overall Chinese Cabbage Production,0305400000,Pampanga,11.78,14.59,14.65,14.36,15.02,0.71
Overall Chinese Cabbage Production,0306900000,Tarlac,,,,,,
Overall Chinese Cabbage Production,0307100000,Zambales,,,,,,
Overall Chinese Cabbage Production,0307700000,Aurora,,,,,,
Overall Chinese Cabbage Production,0401000000,Batangas,,,,,,
Overall Chinese Cabbage Production,0402100000,Cavite,,,,0.57,3.49,0.22
Overall Chinese Cabbage Production,0403400000,Laguna,93.22,85.65,125.04,112.75,99.79,27.34
Overall Chinese Cabbage Production,0405600000,Quezon,54.02,105.36,122.22,105.15,109.81,41.91
Overall Chinese Cabbage Production,0405800000,Rizal,,,0.62,0.6,0.61,
Overall Chinese Cabbage Production,0500500000,Albay,,,,,,
Overall Chinese Cabbage Production,0501600000,Camarines Norte,,,,,,
Overall Chinese Cabbage Production,0501700000,Camarines Sur,,,,,,
Overall Chinese Cabbage Production,0502000000,Catanduanes,,,,0.01,0.01,
Overall Chinese Cabbage Production,0504100000,Masbate,,,,,,
Overall Chinese Cabbage Production,0506200000,Sorsogon,,,,,,
Overall Chinese Cabbage Production,0600400000,Aklan,,,,,0.12,
Overall Chinese Cabbage Production,0600600000,Antique,,,,,0.4,
Overall Chinese Cabbage Production,0601900000,Capiz,,,,,,
Overall Chinese Cabbage Production,0603000000,Iloilo,,,,,0.1,0.05
Overall Chinese Cabbage Production,0607900000,Guimaras,,,,,,
Overall Chinese Cabbage Production,0701200000,Bohol,3.79,4.08,2.16,4.22,14.91,0.8
Overall Chinese Cabbage Production,0702200000,Cebu,3200.71,3102.0,3078.74,3357.87,3260.63,796.49
Overall Chinese Cabbage Production,0802600000,Eastern Samar,,,,,,
Overall Chinese Cabbage Production,0803700000,Leyte,12.1,12.0,17.44,279.33,148.0,130.0
Overall Chinese Cabbage Production,0804800000,Northern Samar,,,,2.06,,
Overall Chinese Cabbage Production,0806000000,Samar (Western Samar),,,,,,
Overall Chinese Cabbage Production,0806400000,Southern Leyte,,,,1.23,0.4,
Overall Chinese Cabbage Production,0807800000,Biliran,,,,,,
Overall Chinese Cabbage Production,0906600000,,,,,,,
Overall Chinese Cabbage Production,0907200000,Zamboanga del Norte,13.64,12.39,10.31,14.71,13.82,0.82
Overall Chinese Cabbage Production,0907300000,Zamboanga del Sur,,,35.09,33.39,,
Overall Chinese Cabbage Production,0907400000,Zamboanga City,58.3,56.73,,,,
Overall Chinese Cabbage Production,0908300000,Zamboanga Sibugay,,,,,2.9,
Overall Chinese Cabbage Production,1001300000,Bukidnon,2296.24,2529.2,2394.5,3163.61,3204.44,705.86
Overall Chinese Cabbage Production,1001800000,Camiguin,0.06,,,,,
Overall Chinese Cabbage Production,1003500000,Lanao del Norte,,,,,,
Overall Chinese Cabbage Production,1004200000,Misamis Occidental,28.15,35.14,36.4,37.17,39.26,
Overall Chinese Cabbage Production,1004300000,Misamis Oriental,274.84,288.31,286.16,228.47,238.18,11.09
Overall Chinese Cabbage Production,1102300000,Davao del Norte,,,,,,
