Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Cucumber Production,0102800000,Ilocos Norte,169.96,183.05,184.48,186.29,193.4,44.98
Overall Cucumber Production,0102900000,Ilocos Sur,162.69,183.59,170.55,175.9,192.65,20.87
Overall Cucumber Production,0103300000,La Union,32.43,33.83,34.25,35.23,41.87,13.72
Overall Cucumber Production,0105500000,Pangasinan,28.2,27.21,25.3,26.68,26.8,7.25
Overall Cucumber Production,0200900000,Batanes,0.94,0.79,1.32,0.88,1.25,0.36
Overall Cucumber Production,0201500000,Cagayan,11.17,13.01,18.69,14.4,18.25,9.91
Overall Cucumber Production,0203100000,Isabela,15.41,14.34,12.53,13.03,13.71,2.3
Overall Cucumber Production,0205000000,Nueva Vizcaya,799.86,810.57,850.1,3122.19,2822.3,834.82
Overall Cucumber Production,0205700000,Quirino,15.06,16.23,18.14,19.03,20.24,3.3
Overall Cucumber Production,0300800000,Bataan,6.29,6.14,5.88,21.35,46.61,6.48
Overall Cucumber Production,0301400000,Bulacan,496.23,468.93,540.88,474.21,517.29,87.99
Overall Cucumber Production,0304900000,Nueva Ecija,1340.74,1394.7,1411.17,1501.03,2687.25,203.14
Overall Cucumber Production,0305400000,Pampanga,54.01,51.9,55.1,55.7,57.21,22.47
Overall Cucumber Production,0306900000,Tarlac,9.05,7.89,7.57,8.55,8.45,1.81
Overall Cucumber Production,0307100000,Zambales,27.43,26.41,13.64,11.85,27.47,3.17
Overall Cucumber Production,0307700000,Aurora,0.41,0.42,1.66,40.33,14.73,0.38
Overall Cucumber Production,0401000000,Batangas,437.32,315.19,291.93,502.98,680.63,15.66
Overall Cucumber Production,0402100000,Cavite,442.38,346.2,193.15,449.46,479.11,48.35
Overall Cucumber Production,0403400000,Laguna,246.85,252.41,218.47,279.91,239.04,67.59
Overall Cucumber Production,0405600000,Quezon,393.51,401.88,382.73,539.09,599.08,255.73
Overall Cucumber Production,0405800000,Rizal,32.99,43.13,47.23,42.03,41.27,10.83
Overall Cucumber Production,0500500000,Albay,158.68,139.66,122.52,134.51,119.95,21.33
Overall Cucumber Production,0501600000,Camarines Norte,6.35,5.04,5.56,2.96,3.39,
Overall Cucumber Production,0501700000,Camarines Sur,94.17,100.68,90.04,203.31,152.08,62.15
Overall Cucumber Production,0502000000,Catanduanes,22.1,24.28,23.27,22.01,24.03,10.38
Overall Cucumber Production,0504100000,Masbate,11.98,12.03,8.28,14.94,18.4,13.19
Overall Cucumber Production,0506200000,Sorsogon,7.06,6.54,7.04,13.9,11.49,1.79
Overall Cucumber Production,0600400000,Aklan,174.59,194.59,167.99,169.05,168.92,53.52
Overall Cucumber Production,0600600000,Antique,13.41,14.14,15.78,17.81,19.93,94.25
Overall Cucumber Production,0601900000,Capiz,124.65,121.8,110.66,103.77,114.73,57.57
Overall Cucumber Production,0603000000,Iloilo,118.94,128.0,114.1,98.43,908.22,302.0
Overall Cucumber Production,0607900000,Guimaras,74.75,80.87,86.11,103.36,151.42,31.5
Overall Cucumber Production,0701200000,Bohol,65.76,77.62,144.32,124.92,123.04,24.3
Overall Cucumber Production,0702200000,Cebu,329.34,321.0,335.02,353.82,364.53,107.99
Overall Cucumber Production,0802600000,Eastern Samar,5.22,6.54,65.18,55.37,100.78,45.75
Overall Cucumber Production,0803700000,Leyte,80.83,70.25,67.13,68.62,71.38,7.35
Overall Cucumber Production,0804800000,Northern Samar,8.96,9.47,10.37,19.02,19.65,
Overall Cucumber Production,0806000000,Samar (Western Samar),15.55,22.78,19.77,41.2,42.16,8.32
Overall Cucumber Production,0806400000,Southern Leyte,120.27,105.6,112.2,106.32,92.11,9.93
Overall Cucumber Production,0807800000,Biliran,15.59,16.79,18.03,16.13,15.87,5.13
Overall Cucumber Production,0906600000,,41.9,41.9,43.7,44.09,46.24,13.8
Overall Cucumber Production,0907200000,Zamboanga del Norte,75.97,74.22,90.66,89.02,100.95,8.62
Overall Cucumber Production,0907300000,Zamboanga del Sur,152.97,151.79,670.66,639.04,180.17,21.3
Overall Cucumber Production,0907400000,Zamboanga City,535.18,536.99,,,418.7,144.06
Overall Cucumber Production,0908300000,Zamboanga Sibugay,34.11,35.51,35.91,37.05,37.18,7.07
Overall Cucumber Production,1001300000,Bukidnon,38.04,37.75,38.14,39.65,42.92,9.08
Overall Cucumber Production,1001800000,Camiguin,53.7,54.29,43.93,43.48,61.4,11.94
Overall Cucumber Production,1003500000,Lanao del Norte,529.38,541.0,547.1,545.5,551.5,93.94
Overall Cucumber Production,1004200000,Misamis Occidental,52.2,56.27,62.37,60.7,67.3,19.04
Overall Cucumber Production,1004300000,Misamis Oriental,284.94,322.48,334.72,384.05,383.65,54.99
Overall Cucumber Production,1102300000,Davao del Norte,93.41,91.54,92.45,92.85,120.35,6.98
Overall Cucumber Production,1102400000,Davao del Sur,62.22,61.66,309.87,318.04,160.05,16.94
Overall Cucumber Production,1102500000,Davao Oriental,103.85,105.48,107.39,103.79,102.31,12.41
Overall Cucumber Production,1108200000,Davao de Oro (Compostela Valley),277.83,263.96,409.12,406.5,413.61,29.61
Overall Cucumber Production,1108600000,Davao Occidental,7.95,8.12,9.32,8.6,9.61,1.72
Overall Cucumber Production,1130700000,Davao City,237.97,249.15,,,42.18,30.14
Overall Cucumber Production,1204700000,Cotabato (North Cotabato),192.75,205.44,233.64,292.96,315.99,96.0
Overall Cucumber Production,1206300000,South Cotabato,236.89,214.66,314.21,182.56,196.92,40.04
Overall Cucumber Production,1206500000,Sultan Kudarat,36.73,37.01,59.44,45.12,79.08,6.55
Overall Cucumber Production,1208000000,Sarangani,47.58,49.0,52.46,70.45,74.7,5.1
Overall Cucumber Production,1400100000,Abra,48.04,48.54,47.82,8.06,28.74,11.45
Overall Cucumber Production,1401100000,Benguet,2841.99,2962.26,3225.37,3654.28,3879.06,1915.61
Overall Cucumber Production,1402700000,Ifugao,19.85,20.68,76.5,258.22,253.03,45.96
Overall Cucumber Production,1403200000,Kalinga,0.8,0.89,0.64,0.75,,0.2
Overall Cucumber Production,1404400000,Mountain Province,123.27,92.57,94.94,82.7,81.01,9.7
Overall Cucumber Production,1408100000,Apayao,48.27,59.93,54.65,55.51,46.03,31.76
Overall Cucumber Production,1600200000,Agusan del Norte,182.62,184.83,193.44,185.67,193.75,13.24
Overall Cucumber Production,1600300000,Agusan del Sur,602.77,581.02,536.75,508.66,535.76,23.02
Overall Cucumber Production,1606700000,Surigao del Norte,32.14,28.2,21.77,17.45,67.75,14.02
Overall Cucumber Production,1606800000,Surigao del Sur,182.44,233.68,316.52,103.42,23.28,1.81
Overall Cucumber Production,1608500000,Dinagat Islands,17.31,17.52,12.06,17.65,16.18,6.72
Overall Cucumber Production,1630400000,Butuan City,,,,,,6.82
Overall Cucumber Production,1704000000,Marinduque,38.95,41.7,40.58,32.67,38.99,11.81
Overall Cucumber Production,1705100000,Occidental Mindoro,71.95,82.93,90.96,87.93,95.35,28.83
Overall Cucumber Production,1705200000,Oriental Mindoro,8.93,7.15,7.1,8.75,55.4,46.83
Overall Cucumber Production,1705300000,Palawan,58.75,48.74,49.19,47.9,39.53,22.25
Overall Cucumber Production,1705900000,Romblon,17.44,18.91,24.51,46.87,48.08,20.09
Overall Cucumber Production,1731500000,Puerto Princesa City,,,,,,8.76
Overall Cucumber Production,1804500000,Negros Occidental,115.82,111.31,120.82,130.67,209.38,82.0
Overall Cucumber Production,1804600000,Negros Oriental,200.42,191.82,183.26,313.49,272.17,122.84
Overall Cucumber Production,1806100000,Siquijor,9.2,5.29,9.19,7.56,8.37,1.5
Overall Cucumber Production,1830200000,Bacolod City,,,,,,
Overall Cucumber Production,1900700000,Basilan,3.56,3.73,7.98,9.68,30.97,54.12
Overall Cucumber Production,1903600000,Lanao del Sur,0.46,0.49,29.31,75.43,77.89,27.82
Overall Cucumber Production,1907000000,Tawi-Tawi,26.36,28.04,29.86,36.5,82.24,31.05
Overall Cucumber Production,1908700000,Maguindanao del Norte,,,,,433.64,132.6
Overall Cucumber Production,1908800000,Maguindanao del Sur,105.1,105.8,105.8,200.9,187.76,459.39
