Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025
Eggs,CAR,Abra,1400100000,311.07,492.57,506.72,383.65,348.78,303.87
Eggs,CAR,Apayao,1408100000,361.00,409.49,525.25,485.60,430.95,293.70
Eggs,CAR,Benguet,1401100000,1249.29,1681.49,2041.37,2152.07,1511.80,1232.92
Eggs,CAR,Ifugao,1402700000,2130.25,1703.90,1536.17,1568.45,1522.64,1479.15
Eggs,CAR,Kalinga,1403200000,615.83,606.65,557.84,544.54,577.94,588.00
Eggs,CAR,Mountain Province,1404400000,469.08,523.80,609.04,644.92,683.35,568.32
Eggs,Region I,Ilocos Norte,102800000,9794.40,10158.11,9483.97,8516.41,9750.65,10320.49
Eggs,Region I,Ilocos Sur,102900000,1700.96,1753.05,2032.44,1726.83,2060.92,2705.53
Eggs,Region I,La Union,103300000,4571.89,3951.97,5140.60,4301.93,4208.86,3554.13
Eggs,Region I,Pangasinan,105500000,6091.52,5570.67,5289.79,5691.83,7181.30,12600.63
Eggs,Region II,Batanes,200900000,77.52,88.44,72.87,76.60,49.31,59.06
Eggs,Region II,Cagayan,201500000,3957.85,3261.54,2836.04,2619.84,2818.75,2100.96
Eggs,Region II,Isabela,203100000,8944.03,10081.04,10390.07,9842.00,10122.09,12341.80
Eggs,Region II,Nueva Vizcaya,205000000,1162.58,1051.35,1265.48,1118.35,2108.07,1749.68
Eggs,Region II,Quirino,205700000,2377.88,2889.46,3089.61,3000.33,3355.18,3239.89
Eggs,Region III,Aurora,307700000,231.65,248.92,260.94,228.56,207.06,250.99
Eggs,Region III,Bataan,300800000,2624.81,2319.88,2336.22,4393.42,9000.25,10274.78
Eggs,Region III,Bulacan,301400000,39002.49,48201.94,40046.65,40052.72,43594.64,44495.71
Eggs,Region III,Nueva Ecija,304900000,10307.26,9574.58,9014.52,10115.28,9415.60,11610.97
Eggs,Region III,Pampanga,305400000,74290.89,78548.07,74796.01,63438.22,60043.66,55111.25
Eggs,Region III,Tarlac,306900000,16949.95,18150.72,43102.70,41960.00,45456.68,45694.49
Eggs,Region III,Zambales,307100000,1295.37,1756.24,2291.18,6223.09,3391.22,3474.62
Eggs,Region IV-A,Batangas,401000000,151897.00,174270.07,178983.83,179969.33,185551.25,217594.83
Eggs,Region IV-A,Cavite,402100000,5667.95,6836.46,11522.10,14030.17,13095.01,14291.27
Eggs,Region IV-A,Laguna,403400000,3396.48,4479.28,6644.69,7151.92,7493.33,8908.52
Eggs,Region IV-A,Quezon,405600000,9720.28,10686.42,13213.67,12206.92,10104.78,12539.27
Eggs,Region IV-A,Rizal,405800000,18272.91,17676.70,17219.14,22411.65,22671.65,24877.85
Eggs,MIMAROPA,Marinduque,1704000000,203.82,311.44,357.48,367.86,394.38,380.12
Eggs,MIMAROPA,Occidental Mindoro,1705100000,1236.86,1229.71,1484.98,1685.03,1806.98,2210.79
Eggs,MIMAROPA,Oriental Mindoro,1705200000,1904.45,3072.30,2478.27,3300.58,3917.34,4721.57
Eggs,MIMAROPA,Palawan,1705300000,3751.63,3476.53,4276.29,4195.52,3253.21,3281.31
Eggs,MIMAROPA,Romblon,1705900000,845.06,1051.64,1403.87,1393.63,1410.10,945.64
Eggs,Region V,Albay,500500000,3083.31,2659.21,2275.06,2808.60,2955.25,3115.41
Eggs,Region V,Camarines Norte,501600000,712.53,725.98,534.84,400.76,376.14,483.31
Eggs,Region V,Camarines Sur,501700000,9380.31,9483.97,10047.09,11334.96,14416.10,18526.26
Eggs,Region V,Catanduanes,502000000,277.20,321.20,250.49,244.96,271.54,339.10
Eggs,Region V,Masbate,504100000,1167.92,1237.17,953.01,845.18,644.27,786.11
Eggs,Region V,Sorsogon,506200000,1994.74,2453.73,2377.74,2887.23,2378.51,2190.88
Eggs,Region VI,Aklan,600400000,1957.75,2142.97,1713.18,2398.65,2750.62,2827.48
Eggs,Region VI,Antique,600600000,3091.53,3210.46,3229.19,3036.29,3064.21,3424.28
Eggs,Region VI,Capiz,601900000,5232.23,4906.40,6601.91,6784.97,8415.01,9407.75
Eggs,Region VI,Guimaras,607900000,1121.58,1019.10,987.85,940.97,926.78,1085.42
Eggs,Region VI,Iloilo,603000000,14016.15,13728.00,14177.96,16385.18,17351.80,16512.23
Eggs,NIR,Negros Occidental,1804500000,16369.98,16422.10,14928.93,14774.65,17391.97,0.00
Eggs,NIR,Negros Occidental,1804500000,0.00,0.00,0.00,0.00,0.00,19565.56
Eggs,NIR,Negros Oriental,1804600000,0.00,0.00,0.00,0.00,0.00,1915.09
Eggs,NIR,Siquijor,1806100000,0.00,0.00,0.00,0.00,0.00,845.77
Eggs,Region VII,Bohol,701200000,5596.96,5422.32,6624.46,7017.32,7916.80,8716.59
Eggs,Region VII,Cebu,702200000,46002.57,60521.47,71411.80,69139.63,78782.87,79614.71
Eggs,NIR,Negros Oriental,1804600000,3527.43,3322.80,3046.50,2677.77,1862.09,0.00
Eggs,NIR,Siquijor,1806100000,372.60,484.43,584.18,620.13,810.08,0.00
Eggs,Region VIII,Biliran,807800000,237.13,143.55,79.86,108.88,139.92,109.72
Eggs,Region VIII,Eastern Samar,802600000,74.52,71.24,131.69,150.68,214.53,256.34
Eggs,Region VIII,Leyte,803700000,930.43,902.71,2996.40,5090.31,11769.70,11839.83
Eggs,Region VIII,Northern Samar,804800000,1913.57,2102.79,2120.58,1445.59,2016.42,2632.78
Eggs,Region VIII,Samar,806000000,1710.53,1487.05,1543.28,1678.56,2435.81,2950.52
Eggs,Region VIII,Southern Leyte,806400000,1354.47,1352.33,838.27,788.59,1313.60,1239.44
Eggs,Region IX,Zamboanga del Norte,907200000,4500.28,5341.10,5575.45,5704.56,6619.42,6785.73
Eggs,Region IX,Zamboanga del Sur,907300000,4957.51,12837.52,12342.67,11456.81,13525.50,8382.98
Eggs,Region IX,Zamboanga Sibugay,908300000,1257.18,1049.88,979.71,1174.89,1162.28,1265.12
Eggs,Region IX,City of Zamboanga,0907400000,8217.67,0.00,0.00,0.00,0.00,6695.99
Eggs,Region X,Bukidnon,1001300000,38095.33,41024.61,43849.38,52607.98,56953.09,53770.64
Eggs,Region X,Camiguin,1001800000,286.25,401.49,303.68,335.55,317.10,323.22
Eggs,Region X,Lanao del Norte,1003500000,2680.55,1881.12,1782.12,1742.08,1519.54,1491.96
Eggs,Region X,Misamis Occidental,1004200000,3722.19,4270.34,4507.47,4199.69,4704.37,4126.03
Eggs,Region X,Misamis Oriental,1004300000,11721.24,11246.84,13834.38,17040.08,15828.84,21818.95
Eggs,Region XI,Davao de Oro,1108200000,1332.68,1421.97,1458.32,1408.32,1491.48,1828.30
Eggs,Region XI,Davao del Norte,1102300000,5448.10,5694.29,5955.29,6911.02,6786.07,8570.77
Eggs,Region XI,Davao del Sur,1102400000,2963.16,22095.39,23150.18,23608.80,24072.17,8165.71
Eggs,Region XI,Davao Occidental,1108600000,419.08,353.05,273.92,362.88,434.96,392.99
Eggs,Region XI,Davao Oriental,1102500000,1519.03,1671.94,1844.24,2032.16,2007.71,1930.57
Eggs,Region XI,City of Davao,1130700000,19817.41,0.00,0.00,0.00,0.00,13315.48
Eggs,Region XII,Cotabato,1204700000,3859.36,3701.34,3347.67,3290.58,3946.07,3911.85
Eggs,Region XII,Sarangani,1208000000,317.95,333.73,927.98,1417.21,1457.07,1619.86
Eggs,Region XII,South Cotabato,1206300000,23785.82,22913.47,24970.83,29349.83,32020.12,33809.53
Eggs,Region XII,Sultan Kudarat,1206500000,2071.75,1922.14,1562.87,1723.89,1642.14,1828.60
Eggs,Region XIII,Agusan del Norte,1600200000,5319.99,6035.85,7975.19,7973.46,8680.97,8595.71
Eggs,Region XIII,Agusan del Sur,1600300000,2251.70,1968.12,2463.90,1776.34,1394.21,2762.47
Eggs,Region XIII,Dinagat Islands,1608500000,137.97,125.18,72.28,92.70,164.21,118.89
Eggs,Region XIII,Surigao del Norte,1606700000,267.57,205.74,32.99,29.22,139.98,331.20
Eggs,Region XIII,Surigao del Sur,1606800000,1117.60,959.99,880.34,396.40,441.26,481.09
Eggs,BARMM,Basilan,1900700000,619.94,537.43,558.58,440.18,382.22,413.68
Eggs,BARMM,Lanao del Sur,1903600000,2371.19,2032.29,1632.69,1749.37,1818.51,1840.14
Eggs,BARMM,Maguindanao,1908800000,569.00,584.30,638.46,671.55,695.50,0
Eggs,BARMM,Maguindanao del Norte,1908700000,0.00,0.00,0.00,0.00,0.00,183.25
Eggs,BARMM,Maguindanao del Sur,1908800000,0.00,0.00,0.00,0.00,0.00,317.60
Eggs,Region IX,Sulu,906600000,548.03,567.64,573.18,572.44,610.68,391.49
Eggs,BARMM,Tawi-Tawi,1907000000,555.03,410.85,376.60,445.97,496.40,639.64
