Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Lettuce Production,0102800000,Ilocos Norte,,,,,0.15,0.01
Overall Lettuce Production,0102900000,Ilocos Sur,,,,,,
Overall Lettuce Production,0103300000,La Union,,,,,,
Overall Lettuce Production,0105500000,Pangasinan,,,0.01,0.08,0.06,0.12
Overall Lettuce Production,0200900000,Batanes,0.24,0.29,0.6,0.25,1.5,1.02
Overall Lettuce Production,0201500000,Cagayan,,,,0.1,0.3,4.65
Overall Lettuce Production,0203100000,Isabela,1.32,1.35,1.45,1.66,1.54,0.67
Overall Lettuce Production,0205000000,Nueva Vizcaya,0.53,0.53,2.4,43.61,33.37,8.94
Overall Lettuce Production,0205700000,Quirino,,,,,,
Overall Lettuce Production,0300800000,Bataan,0.41,,,3.72,4.21,0.89
Overall Lettuce Production,0301400000,Bulacan,0.59,0.63,0.68,0.77,0.7,4.4
Overall Lettuce Production,0304900000,Nueva Ecija,,,,0.36,,
Overall Lettuce Production,0305400000,Pampanga,1.82,1.99,2.15,4.28,4.58,1.48
Overall Lettuce Production,0306900000,Tarlac,4.75,4.8,4.92,4.6,,
Overall Lettuce Production,0307100000,Zambales,,,0.32,0.99,1.07,0.92
Overall Lettuce Production,0307700000,Aurora,,,,,,
Overall Lettuce Production,0401000000,Batangas,,4.53,0.49,9.08,11.98,1.64
Overall Lettuce Production,0402100000,Cavite,160.07,174.11,175.04,253.16,447.73,135.89
Overall Lettuce Production,0403400000,Laguna,211.13,213.44,206.43,207.94,221.18,59.6
Overall Lettuce Production,0405600000,Quezon,,,11.25,11.99,14.9,4.1
Overall Lettuce Production,0405800000,Rizal,,,0.74,23.45,45.5,12.86
Overall Lettuce Production,0500500000,Albay,,,,,4.48,
Overall Lettuce Production,0501600000,Camarines Norte,,,,,,
Overall Lettuce Production,0501700000,Camarines Sur,,1.32,6.12,15.93,2.53,6.75
Overall Lettuce Production,0502000000,Catanduanes,,,0.14,0.41,1.38,0.3
Overall Lettuce Production,0504100000,Masbate,,,0.08,0.14,0.11,
Overall Lettuce Production,0506200000,Sorsogon,,,7.93,4.0,1.76,1.18
Overall Lettuce Production,0600400000,Aklan,1.44,1.36,1.5,1.26,17.73,1.65
Overall Lettuce Production,0600600000,Antique,,2.74,9.07,14.35,12.0,4.07
Overall Lettuce Production,0601900000,Capiz,0.44,0.6,0.66,0.82,1.45,1.25
Overall Lettuce Production,0603000000,Iloilo,48.54,44.7,50.19,44.97,85.18,30.5
Overall Lettuce Production,0607900000,Guimaras,2.58,4.92,5.1,7.55,11.43,7.75
Overall Lettuce Production,0701200000,Bohol,13.28,18.13,22.51,36.18,88.0,11.01
Overall Lettuce Production,0702200000,Cebu,90.14,91.5,85.71,115.47,102.01,24.81
Overall Lettuce Production,0802600000,Eastern Samar,,,,,,
Overall Lettuce Production,0803700000,Leyte,8.4,8.43,7.61,9.71,10.07,0.74
Overall Lettuce Production,0804800000,Northern Samar,,,,1.35,0.3,
