Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Malabar Spinach Production,0102800000,Ilocos Norte,,,0.05,0.38,1.32,0.08
Overall Malabar Spinach Production,0102900000,Ilocos Sur,,,,0.08,0.08,
Overall Malabar Spinach Production,0103300000,La Union,2.3,2.44,2.69,2.9,2.51,0.25
Overall Malabar Spinach Production,0105500000,Pangasinan,3.77,3.78,2.96,3.08,3.69,0.3
Overall Malabar Spinach Production,0200900000,Batanes,0.18,0.14,0.17,0.07,0.28,0.05
Overall Malabar Spinach Production,0201500000,Cagayan,106.84,109.44,103.44,90.13,115.42,51.37
Overall Malabar Spinach Production,0203100000,Isabela,54.4,41.35,33.21,30.87,31.38,7.94
Overall Malabar Spinach Production,0205000000,Nueva Vizcaya,17.83,18.47,21.43,9.98,11.63,6.27
Overall Malabar Spinach Production,0205700000,Quirino,10.43,12.07,12.15,11.95,12.58,5.16
Overall Malabar Spinach Production,0300800000,Bataan,,,0.88,1.27,6.86,
Overall Malabar Spinach Production,0301400000,Bulacan,90.35,84.12,111.46,94.32,102.43,18.03
Overall Malabar Spinach Production,0304900000,Nueva Ecija,,,,1.22,8.94,7.1
Overall Malabar Spinach Production,0305400000,Pampanga,19.42,18.41,19.39,19.46,16.81,9.38
Overall Malabar Spinach Production,0306900000,Tarlac,0.86,0.92,1.0,0.91,0.99,0.43
Overall Malabar Spinach Production,0307100000,Zambales,,,0.36,0.63,4.07,0.86
Overall Malabar Spinach Production,0307700000,Aurora,,,1.16,1.42,3.86,
Overall Malabar Spinach Production,0401000000,Batangas,,,,0.27,6.5,
Overall Malabar Spinach Production,0402100000,Cavite,1.45,2.28,0.57,0.81,3.01,0.92
Overall Malabar Spinach Production,0403400000,Laguna,5.11,5.23,3.46,9.79,8.86,2.91
Overall Malabar Spinach Production,0405600000,Quezon,,,,0.56,2.64,0.16
Overall Malabar Spinach Production,0405800000,Rizal,2.86,2.77,3.54,12.14,8.25,3.05
Overall Malabar Spinach Production,0500500000,Albay,,,,,0.18,0.2
Overall Malabar Spinach Production,0501600000,Camarines Norte,,,,,,
Overall Malabar Spinach Production,0501700000,Camarines Sur,,,,0.29,0.86,0.12
Overall Malabar Spinach Production,0502000000,Catanduanes,0.1,0.05,0.05,0.02,0.08,
Overall Malabar Spinach Production,0504100000,Masbate,8.25,8.37,8.42,10.56,12.63,3.66
Overall Malabar Spinach Production,0506200000,Sorsogon,,,0.19,1.68,0.33,0.49
Overall Malabar Spinach Production,0600400000,Aklan,1252.9,1308.03,1286.82,1260.11,969.86,234.5
Overall Malabar Spinach Production,0600600000,Antique,407.68,382.96,394.35,398.34,400.82,64.46
Overall Malabar Spinach Production,0601900000,Capiz,493.3,481.25,499.91,471.58,450.3,84.0
Overall Malabar Spinach Production,0603000000,Iloilo,4231.49,4389.73,4373.34,3439.59,3034.73,1062.12
Overall Malabar Spinach Production,0607900000,Guimaras,318.3,344.25,352.39,359.21,427.58,90.75
Overall Malabar Spinach Production,0701200000,Bohol,111.18,100.27,89.61,95.78,134.3,28.03
Overall Malabar Spinach Production,0702200000,Cebu,2674.74,2550.0,2732.08,2436.9,2090.87,1023.96
Overall Malabar Spinach Production,0802600000,Eastern Samar,0.21,0.24,0.33,0.56,0.46,0.08
Overall Malabar Spinach Production,0803700000,Leyte,1.2,1.13,26.71,4.99,4.76,1.2
Overall Malabar Spinach Production,0804800000,Northern Samar,6.18,6.16,6.37,6.66,4.59,0.23
Overall Malabar Spinach Production,0806000000,Samar (Western Samar),67.48,74.93,87.73,82.35,82.22,25.98
Overall Malabar Spinach Production,0806400000,Southern Leyte,3.39,2.76,3.41,8.23,19.29,3.8
Overall Malabar Spinach Production,0807800000,Biliran,2.28,2.23,2.23,2.47,3.43,1.41
Overall Malabar Spinach Production,0906600000,,,,,4.09,4.03,1.53
Overall Malabar Spinach Production,0907200000,Zamboanga del Norte,1075.37,1072.32,543.02,478.75,509.08,22.13
Overall Malabar Spinach Production,0907300000,Zamboanga del Sur,109.24,111.96,159.55,152.87,124.96,25.6
Overall Malabar Spinach Production,0907400000,Zamboanga City,96.8,99.26,,,41.02,13.55
Overall Malabar Spinach Production,0908300000,Zamboanga Sibugay,33.51,40.01,45.78,43.09,38.09,5.62
Overall Malabar Spinach Production,1001300000,Bukidnon,1709.64,1704.0,1716.98,1623.78,822.29,48.27
Overall Malabar Spinach Production,1001800000,Camiguin,105.53,107.3,72.95,68.46,80.95,14.41
Overall Malabar Spinach Production,1003500000,Lanao del Norte,921.56,930.32,832.85,824.25,831.3,212.33
Overall Malabar Spinach Production,1004200000,Misamis Occidental,657.5,661.35,672.06,685.4,700.31,142.68
Overall Malabar Spinach Production,1004300000,Misamis Oriental,1683.47,2156.73,2204.19,2157.33,2163.4,187.2
Overall Malabar Spinach Production,1102300000,Davao del Norte,545.37,537.95,532.85,533.17,607.85,59.85
Overall Malabar Spinach Production,1102400000,Davao del Sur,957.24,953.01,1873.9,1833.74,1246.61,248.34
Overall Malabar Spinach Production,1102500000,Davao Oriental,341.97,336.13,329.17,304.8,259.66,76.35
Overall Malabar Spinach Production,1108200000,Davao de Oro (Compostela Valley),297.12,286.02,275.54,270.95,285.19,61.29
Overall Malabar Spinach Production,1108600000,Davao Occidental,6.23,6.24,6.12,6.57,7.01,2.27
Overall Malabar Spinach Production,1130700000,Davao City,864.85,868.42,,,436.44,175.98
Overall Malabar Spinach Production,1204700000,Cotabato (North Cotabato),2024.33,1617.41,910.37,680.82,652.72,117.18
Overall Malabar Spinach Production,1206300000,South Cotabato,109.46,100.64,106.66,65.83,98.25,22.28
Overall Malabar Spinach Production,1206500000,Sultan Kudarat,176.82,177.8,178.52,160.85,176.59,26.32
Overall Malabar Spinach Production,1208000000,Sarangani,325.0,329.7,220.72,219.0,231.0,21.15
Overall Malabar Spinach Production,1400100000,Abra,,,0.75,0.51,2.73,0.14
Overall Malabar Spinach Production,1401100000,Benguet,,,0.04,9.25,2.19,0.23
Overall Malabar Spinach Production,1402700000,Ifugao,,,,0.6,0.41,
Overall Malabar Spinach Production,1403200000,Kalinga,2.78,3.31,2.72,1.44,2.68,0.67
Overall Malabar Spinach Production,1404400000,Mountain Province,,,,,0.37,0.17
Overall Malabar Spinach Production,1408100000,Apayao,,,0.26,1.09,1.29,0.4
Overall Malabar Spinach Production,1600200000,Agusan del Norte,67.95,69.7,76.89,73.76,79.36,8.24
Overall Malabar Spinach Production,1600300000,Agusan del Sur,136.17,136.21,149.04,142.01,158.56,21.48
Overall Malabar Spinach Production,1606700000,Surigao del Norte,6.5,5.5,10.66,14.79,11.55,3.59
Overall Malabar Spinach Production,1606800000,Surigao del Sur,49.47,50.67,33.92,50.76,31.65,3.3
Overall Malabar Spinach Production,1608500000,Dinagat Islands,1.42,1.25,12.55,2.31,3.68,0.54
Overall Malabar Spinach Production,1630400000,Butuan City,,,,,,4.25
Overall Malabar Spinach Production,1704000000,Marinduque,,,,,,
Overall Malabar Spinach Production,1705100000,Occidental Mindoro,,,,6.9,3.76,
Overall Malabar Spinach Production,1705200000,Oriental Mindoro,0.15,0.19,0.12,0.74,0.71,0.63
Overall Malabar Spinach Production,1705300000,Palawan,32.48,24.24,26.51,27.97,29.51,8.51
Overall Malabar Spinach Production,1705900000,Romblon,3.01,2.98,2.3,4.63,4.73,0.55
Overall Malabar Spinach Production,1731500000,Puerto Princesa City,,,,,,0.38
Overall Malabar Spinach Production,1804500000,Negros Occidental,1055.77,994.06,1073.04,1070.94,1077.52,422.36
Overall Malabar Spinach Production,1804600000,Negros Oriental,2073.1,2083.0,2162.54,1585.95,2050.52,575.59
Overall Malabar Spinach Production,1806100000,Siquijor,34.54,34.81,34.59,31.94,19.82,3.45
Overall Malabar Spinach Production,1830200000,Bacolod City,,,,,,0.02
Overall Malabar Spinach Production,1900700000,Basilan,73.89,78.8,70.53,6.49,0.09,
Overall Malabar Spinach Production,1903600000,Lanao del Sur,56.03,56.13,58.64,68.95,68.85,19.2
Overall Malabar Spinach Production,1907000000,Tawi-Tawi,5.74,5.54,5.19,3.3,2.73,1.31
Overall Malabar Spinach Production,1908700000,Maguindanao del Norte,,,,,1636.54,76.82
Overall Malabar Spinach Production,1908800000,Maguindanao del Sur,2459.55,2461.37,2467.1,2179.49,1049.4,125.0
