Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Mushroom Production,0102800000,Ilocos Norte,0.89,1.02,1.14,1.09,3.81,0.64
Overall Mushroom Production,0102900000,Ilocos Sur,9.85,11.65,8.85,,9.43,0.2
Overall Mushroom Production,0103300000,La Union,69.92,73.23,78.74,82.68,88.18,48.21
Overall Mushroom Production,0105500000,Pangasinan,23.13,23.44,10.55,10.1,10.58,2.74
Overall Mushroom Production,0200900000,Batanes,,,,,,
Overall Mushroom Production,0201500000,Cagayan,3.1,2.25,2.52,2.65,3.67,1.18
Overall Mushroom Production,0203100000,Isabela,26.17,24.08,22.94,15.97,21.97,5.7
Overall Mushroom Production,0205000000,Nueva Vizcaya,74.33,77.16,71.55,65.59,69.47,38.85
Overall Mushroom Production,0205700000,Quirino,15.69,17.31,13.06,12.23,13.85,4.3
Overall Mushroom Production,0300800000,Bataan,,,,,,
Overall Mushroom Production,0301400000,Bulacan,,,,0.75,0.74,0.24
Overall Mushroom Production,0304900000,Nueva Ecija,,,,42.63,39.99,6.26
Overall Mushroom Production,0305400000,Pampanga,2.44,2.4,2.37,6.26,6.8,1.8
Overall Mushroom Production,0306900000,Tarlac,47.83,42.1,40.53,42.46,47.05,17.67
Overall Mushroom Production,0307100000,Zambales,,,,,,
Overall Mushroom Production,0307700000,Aurora,,,,,,
Overall Mushroom Production,0401000000,Batangas,1.7,1.04,1.65,,,1.47
Overall Mushroom Production,0402100000,Cavite,20.03,26.08,26.62,170.17,171.21,19.76
Overall Mushroom Production,0403400000,Laguna,12.62,14.82,15.45,16.1,,6.23
Overall Mushroom Production,0405600000,Quezon,,,,0.2,4.75,
Overall Mushroom Production,0405800000,Rizal,,,,,,
Overall Mushroom Production,0500500000,Albay,,,,,0.52,0.25
Overall Mushroom Production,0501600000,Camarines Norte,,,,,,
Overall Mushroom Production,0501700000,Camarines Sur,,,,4.53,,0.14
Overall Mushroom Production,0502000000,Catanduanes,,,,,0.36,0.07
Overall Mushroom Production,0504100000,Masbate,,,,,,
Overall Mushroom Production,0506200000,Sorsogon,,,,0.02,,
Overall Mushroom Production,0600400000,Aklan,0.18,0.21,0.1,0.05,0.06,0.06
Overall Mushroom Production,0600600000,Antique,,,,,,
Overall Mushroom Production,0601900000,Capiz,,,,,,
Overall Mushroom Production,0603000000,Iloilo,1.49,1.64,2.44,3.05,4.97,0.58
Overall Mushroom Production,0607900000,Guimaras,2.43,3.84,4.22,3.95,2.44,1.24
Overall Mushroom Production,0701200000,Bohol,,,0.55,6.02,1.56,0.15
Overall Mushroom Production,0702200000,Cebu,,,,,0.66,0.58
Overall Mushroom Production,0802600000,Eastern Samar,,,,,10.08,
Overall Mushroom Production,0803700000,Leyte,,,,,,
Overall Mushroom Production,0804800000,Northern Samar,2.92,2.95,1.52,,,
Overall Mushroom Production,0806000000,Samar (Western Samar),2.91,3.97,1.0,,,
Overall Mushroom Production,0806400000,Southern Leyte,,,,0.1,,
Overall Mushroom Production,0807800000,Biliran,,,,,,
Overall Mushroom Production,0906600000,,,,,,,
Overall Mushroom Production,0907200000,Zamboanga del Norte,,,,,,0.45
Overall Mushroom Production,0907300000,Zamboanga del Sur,,,0.98,,,
Overall Mushroom Production,0907400000,Zamboanga City,2.33,2.36,,,2.61,1.01
Overall Mushroom Production,0908300000,Zamboanga Sibugay,,,,,,0.09
Overall Mushroom Production,1001300000,Bukidnon,85.15,87.0,59.36,59.4,60.27,13.4
Overall Mushroom Production,1001800000,Camiguin,0.12,0.08,0.08,0.02,,
Overall Mushroom Production,1003500000,Lanao del Norte,13.2,13.05,12.66,12.45,12.58,1.34
Overall Mushroom Production,1004200000,Misamis Occidental,0.43,0.41,0.41,0.34,0.22,0.06
Overall Mushroom Production,1004300000,Misamis Oriental,5.65,5.57,5.7,4.83,5.46,0.71
Overall Mushroom Production,1102300000,Davao del Norte,25.25,40.28,42.01,51.2,51.85,2.43
Overall Mushroom Production,1102400000,Davao del Sur,15.32,15.1,29.88,31.02,16.51,2.84
Overall Mushroom Production,1102500000,Davao Oriental,0.76,0.54,0.38,0.35,,
Overall Mushroom Production,1108200000,Davao de Oro (Compostela Valley),3.95,3.94,3.84,3.72,3.27,0.17
Overall Mushroom Production,1108600000,Davao Occidental,,,,,,
Overall Mushroom Production,1130700000,Davao City,15.69,16.33,,,12.23,5.21
Overall Mushroom Production,1204700000,Cotabato (North Cotabato),17.23,16.9,13.5,10.25,6.98,1.77
Overall Mushroom Production,1206300000,South Cotabato,8.38,8.65,9.29,13.29,11.83,1.68
Overall Mushroom Production,1206500000,Sultan Kudarat,9.75,10.59,10.77,10.58,10.74,1.89
Overall Mushroom Production,1208000000,Sarangani,0.8,0.81,0.61,0.62,0.21,0.06
Overall Mushroom Production,1400100000,Abra,,,0.04,,0.99,
Overall Mushroom Production,1401100000,Benguet,70.1,71.06,64.99,63.9,44.5,25.0
Overall Mushroom Production,1402700000,Ifugao,,,,,0.07,
Overall Mushroom Production,1403200000,Kalinga,,,,,,
Overall Mushroom Production,1404400000,Mountain Province,0.9,0.95,1.05,0.98,1.18,
Overall Mushroom Production,1408100000,Apayao,,,,,0.5,
Overall Mushroom Production,1600200000,Agusan del Norte,134.5,134.65,124.19,110.78,111.49,18.01
Overall Mushroom Production,1600300000,Agusan del Sur,3.72,4.0,3.49,2.63,,
Overall Mushroom Production,1606700000,Surigao del Norte,,,,,,
Overall Mushroom Production,1606800000,Surigao del Sur,0.35,0.35,0.15,,,
Overall Mushroom Production,1608500000,Dinagat Islands,,,,,,
Overall Mushroom Production,1630400000,Butuan City,,,,,,9.28
Overall Mushroom Production,1704000000,Marinduque,,,,,,
Overall Mushroom Production,1705100000,Occidental Mindoro,,,,,,
Overall Mushroom Production,1705200000,Oriental Mindoro,2.69,5.09,4.35,4.02,4.85,0.16
Overall Mushroom Production,1705300000,Palawan,2.09,3.33,2.0,2.07,,
Overall Mushroom Production,1705900000,Romblon,0.02,0.02,0.02,0.02,0.02,
Overall Mushroom Production,1731500000,Puerto Princesa City,,,,,,0.08
Overall Mushroom Production,1804500000,Negros Occidental,,,,0.02,0.13,
Overall Mushroom Production,1804600000,Negros Oriental,13.31,14.55,6.48,12.04,11.83,0.62
Overall Mushroom Production,1806100000,Siquijor,,,,,,
Overall Mushroom Production,1830200000,Bacolod City,,,,,,
Overall Mushroom Production,1900700000,Basilan,,,,,,
Overall Mushroom Production,1903600000,Lanao del Sur,9.08,9.08,9.06,1.03,0.04,
Overall Mushroom Production,1907000000,Tawi-Tawi,,,,,,
Overall Mushroom Production,1908700000,Maguindanao del Norte,,,,,,
Overall Mushroom Production,1908800000,Maguindanao del Sur,,,,,,
