Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Okra Production,0102800000,Ilocos Norte,799.4,815.68,797.31,805.53,1093.71,667.2
Overall Okra Production,0102900000,Ilocos Sur,298.9,305.12,330.31,350.82,382.95,115.53
Overall Okra Production,0103300000,La Union,350.72,367.42,372.64,373.16,340.31,149.42
Overall Okra Production,0105500000,Pangasinan,593.0,589.01,692.79,670.52,1343.78,380.44
Overall Okra Production,0200900000,Batanes,3.37,4.19,4.5,4.75,5.58,1.32
Overall Okra Production,0201500000,Cagayan,1993.87,1883.69,1869.57,1827.22,1883.48,303.93
Overall Okra Production,0203100000,Isabela,2699.33,2711.76,2669.9,2724.9,2695.88,1193.6
Overall Okra Production,0205000000,Nueva Vizcaya,659.03,721.52,703.8,679.03,724.98,129.12
Overall Okra Production,0205700000,Quirino,49.52,56.01,55.51,55.75,66.0,7.48
Overall Okra Production,0300800000,Bataan,50.88,51.08,59.28,112.97,113.86,26.97
Overall Okra Production,0301400000,Bulacan,2250.66,2331.36,2291.04,1812.97,1950.48,700.96
Overall Okra Production,0304900000,Nueva Ecija,6848.84,7122.17,7258.71,6667.12,4822.24,3087.89
Overall Okra Production,0305400000,Pampanga,222.22,241.43,277.69,290.27,308.45,16.65
Overall Okra Production,0306900000,Tarlac,1820.94,1777.2,1783.01,1747.93,1753.55,571.75
Overall Okra Production,0307100000,Zambales,311.18,267.19,247.73,227.56,86.24,13.16
Overall Okra Production,0307700000,Aurora,169.9,231.86,235.39,215.51,256.56,76.04
Overall Okra Production,0401000000,Batangas,432.51,421.7,549.77,607.86,597.1,44.56
Overall Okra Production,0402100000,Cavite,215.69,217.7,216.04,688.44,670.11,17.6
Overall Okra Production,0403400000,Laguna,670.35,504.49,452.4,439.32,451.28,64.08
Overall Okra Production,0405600000,Quezon,81.99,82.26,80.28,268.88,398.51,21.41
Overall Okra Production,0405800000,Rizal,68.24,68.42,137.13,136.33,196.52,41.82
Overall Okra Production,0500500000,Albay,50.57,49.8,53.68,61.77,118.38,15.38
Overall Okra Production,0501600000,Camarines Norte,218.15,241.49,141.71,135.75,123.63,7.19
Overall Okra Production,0501700000,Camarines Sur,36.89,37.5,37.78,90.25,263.79,20.69
Overall Okra Production,0502000000,Catanduanes,11.66,7.55,9.53,10.98,13.54,0.48
Overall Okra Production,0504100000,Masbate,1185.2,1193.84,1260.7,1056.11,812.05,13.84
Overall Okra Production,0506200000,Sorsogon,353.24,308.56,257.59,98.72,59.11,13.12
Overall Okra Production,0600400000,Aklan,63.21,67.46,69.55,77.05,188.57,84.7
Overall Okra Production,0600600000,Antique,149.62,141.48,154.21,154.76,152.64,74.9
Overall Okra Production,0601900000,Capiz,306.95,294.35,279.32,221.26,218.83,62.56
Overall Okra Production,0603000000,Iloilo,1170.75,1158.3,1088.2,1062.46,1020.73,401.82
Overall Okra Production,0607900000,Guimaras,153.72,187.21,200.48,271.32,313.54,81.44
Overall Okra Production,0701200000,Bohol,248.11,238.64,298.83,309.26,353.31,32.37
Overall Okra Production,0702200000,Cebu,580.55,584.0,539.62,502.4,492.15,47.01
Overall Okra Production,0802600000,Eastern Samar,11.81,13.47,33.53,39.79,197.81,8.97
Overall Okra Production,0803700000,Leyte,645.13,605.24,601.2,588.07,582.66,4.5
Overall Okra Production,0804800000,Northern Samar,30.0,31.96,33.79,34.85,34.44,6.31
Overall Okra Production,0806000000,Samar (Western Samar),11.66,12.11,45.57,45.05,48.72,0.63
Overall Okra Production,0806400000,Southern Leyte,19.33,14.53,17.11,26.44,40.35,3.8
Overall Okra Production,0807800000,Biliran,13.92,12.97,14.72,16.17,17.96,3.8
Overall Okra Production,0906600000,,,,,2.09,2.18,0.13
Overall Okra Production,0907200000,Zamboanga del Norte,110.34,110.47,153.41,179.71,177.33,6.76
Overall Okra Production,0907300000,Zamboanga del Sur,455.62,490.75,693.59,697.24,741.48,110.2
Overall Okra Production,0907400000,Zamboanga City,272.72,279.08,,,117.36,20.16
Overall Okra Production,0908300000,Zamboanga Sibugay,78.47,72.11,74.93,77.96,86.82,16.31
Overall Okra Production,1001300000,Bukidnon,164.97,170.1,178.76,181.8,183.54,26.65
Overall Okra Production,1001800000,Camiguin,39.85,43.15,39.42,45.3,51.17,10.08
Overall Okra Production,1003500000,Lanao del Norte,1104.0,1110.0,1118.25,1115.0,1113.0,112.0
Overall Okra Production,1004200000,Misamis Occidental,295.85,325.74,347.61,347.61,361.9,49.27
Overall Okra Production,1004300000,Misamis Oriental,393.26,405.52,424.74,369.42,376.38,36.21
Overall Okra Production,1102300000,Davao del Norte,136.73,131.21,134.11,137.01,143.77,17.59
Overall Okra Production,1102400000,Davao del Sur,202.21,192.57,398.7,393.61,162.54,11.4
Overall Okra Production,1102500000,Davao Oriental,99.43,96.38,95.33,96.35,94.32,15.78
Overall Okra Production,1108200000,Davao de Oro (Compostela Valley),76.03,74.88,76.86,80.66,83.87,5.21
Overall Okra Production,1108600000,Davao Occidental,31.71,32.3,34.03,33.71,35.94,3.62
Overall Okra Production,1130700000,Davao City,205.68,209.37,,,223.68,20.23
Overall Okra Production,1204700000,Cotabato (North Cotabato),214.05,212.36,242.33,355.08,232.29,33.51
Overall Okra Production,1206300000,South Cotabato,92.62,111.83,127.68,115.58,154.45,12.28
Overall Okra Production,1206500000,Sultan Kudarat,177.5,184.46,173.23,193.14,196.56,61.91
Overall Okra Production,1208000000,Sarangani,67.6,69.68,67.96,71.8,70.24,4.43
Overall Okra Production,1400100000,Abra,24.11,24.01,28.45,38.38,86.51,27.21
Overall Okra Production,1401100000,Benguet,,,,14.96,51.51,
Overall Okra Production,1402700000,Ifugao,,,10.46,13.71,21.7,2.89
Overall Okra Production,1403200000,Kalinga,12.6,14.61,13.91,14.88,14.76,6.58
Overall Okra Production,1404400000,Mountain Province,,,,,2.06,0.59
Overall Okra Production,1408100000,Apayao,11.64,9.97,8.3,7.83,6.79,1.44
Overall Okra Production,1600200000,Agusan del Norte,149.14,150.08,156.21,150.31,161.5,9.56
Overall Okra Production,1600300000,Agusan del Sur,325.21,348.88,336.48,316.39,325.09,27.97
Overall Okra Production,1606700000,Surigao del Norte,38.98,26.75,33.19,77.45,62.72,17.48
Overall Okra Production,1606800000,Surigao del Sur,153.4,233.14,193.34,103.09,57.55,5.53
Overall Okra Production,1608500000,Dinagat Islands,18.5,19.29,19.83,28.36,33.79,7.5
Overall Okra Production,1630400000,Butuan City,,,,,,6.36
Overall Okra Production,1704000000,Marinduque,29.36,27.09,28.29,34.92,31.87,8.14
Overall Okra Production,1705100000,Occidental Mindoro,102.35,112.75,111.27,77.51,82.11,47.31
Overall Okra Production,1705200000,Oriental Mindoro,90.02,116.75,147.46,154.14,249.66,0.33
Overall Okra Production,1705300000,Palawan,155.49,141.43,173.14,174.72,193.68,31.82
Overall Okra Production,1705900000,Romblon,91.11,99.28,119.98,134.72,108.14,23.06
Overall Okra Production,1731500000,Puerto Princesa City,,,,,,23.0
Overall Okra Production,1804500000,Negros Occidental,483.25,461.52,446.12,418.81,517.46,131.0
Overall Okra Production,1804600000,Negros Oriental,590.06,588.97,629.02,517.98,483.39,99.05
