Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Pineapple,CAR,Abra,1400100000,68.24,65.3,63.7,56.21,51.15,50.89,0
Pineapple,CAR,Apayao,1408100000,432.28,393.13,401.94,461.3,458,458.58,0
Pineapple,CAR,Benguet,1401100000,202,242.78,266.1,268.12,244.01,164.47,111.39
Pineapple,CAR,Ifugao,1402700000,48.61,54.51,57.99,61.73,31.82,33.93,0
Pineapple,CAR,Kalinga,1403200000,5.03,3.27,3.62,4.35,4.58,5.99,0
Pineapple,CAR,Mountain Province,1404400000,26.96,30.19,32.15,37.68,32.68,32.99,0
Pineapple,Region I,Ilocos Norte,0102800000,55.19,36.77,34.07,31.73,26.01,27.1,0
Pineapple,Region I,Ilocos Sur,0102900000,30.62,35.22,38.59,36.64,41.49,40.27,2.84
Pineapple,Region I,La Union,0103300000,101.61,112.41,127.46,140.4,119.26,106.58,0.36
Pineapple,Region I,Pangasinan,0105500000,23.88,22.25,20.03,16.83,16.07,15.13,7.2
Pineapple,Region II,Batanes,0200900000,4.67,1.66,1.25,1.61,1.5,2.93,0
Pineapple,Region II,Cagayan,0201500000,16283.17,18675.19,21217.21,19717.43,18791.4,18127.81,0
Pineapple,Region II,Isabela,0203100000,9740.92,8036.96,8080.91,7939.26,8299.35,9193.73,0
Pineapple,Region II,Nueva Vizcaya,0205000000,13522.55,13944.47,14892.21,18740.64,17436.39,18346.92,978.56
Pineapple,Region II,Quirino,0205700000,39.02,37.13,37.3,40.35,44.14,46.93,3.57
Pineapple,Region III,Aurora,0307700000,1553.87,1805.43,3025.25,2567.1,2105.64,1659.56,9.28
Pineapple,Region III,Bataan,0300800000,394.13,538.08,480.35,579.73,523.18,668.51,0
Pineapple,Region III,Bulacan,0301400000,477.4,482.1,483,542.95,439.75,397.33,0
Pineapple,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Pineapple,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Pineapple,Region III,Tarlac,0306900000,0,0,0,0,0,0,0
Pineapple,Region III,Zambales,0307100000,30.25,25.84,26.34,31.55,20.35,4.26,0
Pineapple,Region IV-A,Batangas,0401000000,75.88,60.25,43.08,37.34,53.51,87.05,15.42
Pineapple,Region IV-A,Cavite,0402100000,51544.83,55107.94,56291.91,60952.71,63937.29,64846.53,4086.6
Pineapple,Region IV-A,Laguna,0403400000,15055.49,14453.62,12547.28,11779.81,8702.62,8488.67,1683.28
Pineapple,Region IV-A,Quezon,0405600000,1515.36,1662.43,1875.41,1984.15,1879.41,4015.56,285.98
Pineapple,Region IV-A,Rizal,0405800000,457.07,483.53,622.6,721.64,654.18,609.17,36.48
Pineapple,MIMAROPA,Marinduque,1704000000,0,31,42.81,58.23,56.4,57.48,0
Pineapple,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0.87,11.93,0
Pineapple,MIMAROPA,Oriental Mindoro,1705200000,60.65,79.49,78.36,99.12,97.24,96.81,1.87
Pineapple,MIMAROPA,Palawan,1705300000,499.45,508.51,487.26,568.59,571.2,550.23,119.82
Pineapple,MIMAROPA,Romblon,1705900000,65.37,68.25,71.02,59.57,77.69,73.07,4.76
Pineapple,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,22.5
Pineapple,Region V,Albay,0500500000,414.89,397.62,372.78,304.11,272.14,221.15,2.51
Pineapple,Region V,Camarines Norte,0501600000,159173,178686.97,173545.97,152814.23,144615.23,135833.63,97670.94
Pineapple,Region V,Camarines Sur,0501700000,3356.64,3909.46,3939.24,4118.25,450.28,204.55,129.73
Pineapple,Region V,Catanduanes,0502000000,8.03,2.28,4.79,4.29,4.75,4.24,0.08
Pineapple,Region V,Masbate,0504100000,102.63,108.32,111.77,155.46,145.87,116.44,4.73
Pineapple,Region V,Sorsogon,0506200000,1107.27,1098.18,963.16,997.97,706.12,606.7,0.6
Pineapple,Region VI,Aklan,0600400000,150.97,138.08,134.17,134.69,125.96,130.04,0.52
Pineapple,Region VI,Antique,0600600000,102.69,112.99,110.03,99.71,109.92,126.37,3.19
Pineapple,Region VI,Capiz,0601900000,251.8,228.6,233.7,238.96,242,245.31,8.25
Pineapple,Region VI,Guimaras,0607900000,36.51,76.35,101.41,87.51,45.14,88.49,0.7
Pineapple,Region VI,Iloilo,0603000000,12647,14022.04,14103.8,14068.19,14394.14,15341.22,1736.59
Pineapple,NIR,Negros Occidental,1804500000,4754.12,4881,4752.54,4957.19,0,0,0
Pineapple,NIR,Negros Occidental,1804500000,0,0,0,0,4964.14,4785.59,644
Pineapple,NIR,Negros Oriental,1804600000,0,0,0,0,12363.4,7930.41,2077.73
Pineapple,NIR,Siquijor,1806100000,0,0,0,0,2.94,2.98,0.18
Pineapple,NIR,City of Bacolod,1830200000,0,0,0,0,0,0,0
Pineapple,Region VII,Bohol,0701200000,905.69,1029.8,846.21,792.28,761.78,751.57,33.43
Pineapple,Region VII,Cebu,0702200000,56.68,56.6,43.6,32.16,19.36,16.48,0.97
Pineapple,NIR,Negros Oriental,1804600000,8206.7,10162.95,12237.19,15406.91,0,0,0
Pineapple,NIR,Siquijor,1806100000,4.47,4.66,2.8,2.51,0,0,0
Pineapple,Region VIII,Biliran,0807800000,271,275.5,254.38,260.8,217.36,173.06,15.71
Pineapple,Region VIII,Eastern Samar,0802600000,379.68,385.3,411.94,1575.69,1410.24,821.56,1.69
Pineapple,Region VIII,Leyte,0803700000,2997.97,2540.89,2915.78,3376.68,3347.39,3286.07,124.03
Pineapple,Region VIII,Northern Samar,0804800000,55.94,61.98,66.04,69,74.4,79.83,2.14
Pineapple,Region VIII,Samar,0806000000,4109.28,3975.19,6433.12,6717.83,6840.23,6538.4,15.38
Pineapple,Region VIII,Southern Leyte,0806400000,231.67,234.93,126.37,149.29,160.45,168.53,4.22
Pineapple,Region IX,Sulu,0906600000,0,0,0,0,0,0,11.62
Pineapple,Region IX,Zamboanga del Norte,0907200000,614.35,637.79,603.57,544.88,584.7,595.42,27.43
Pineapple,Region IX,Zamboanga del Sur,0907300000,301.6,318.84,346.89,451.51,442.11,290.59,71.06
Pineapple,Region IX,Zamboanga Sibugay,0908300000,65.34,67.73,71.95,70,68.74,61.95,2.41
Pineapple,Region IX,City of Zamboanga,0907400000,118.45,121.23,123.94,0,0,85.42,46.96
Pineapple,Region X,Bukidnon,1001300000,1471924.97,1603009.96,1650646.43,1694984.58,1696368.94,1658677.03,365190.83
Pineapple,Region X,Camiguin,1001800000,2.58,3.04,3.93,6.24,10.05,12.03,0.66
Pineapple,Region X,Lanao del Norte,1003500000,813.5,802,783,760,742,729.5,170
Pineapple,Region X,Misamis Occidental,1004200000,22.8,25.44,30.06,37.2,37.66,39.02,2.09
Pineapple,Region X,Misamis Oriental,1004300000,68878.71,64004.25,74564.59,74624.04,71152.19,71512.22,10695.41
Pineapple,Region XI,Davao de Oro,1108200000,93.24,90.03,84.58,77.5,63.93,64.46,9.39
Pineapple,Region XI,Davao del Norte,1102300000,179.85,181.26,181.35,175.55,170.87,168.68,18.53
Pineapple,Region XI,Davao del Sur,1102400000,23.24,23.91,24.47,26996.27,27124.49,7630.64,4.37
Pineapple,Region XI,Davao Occidental,1108600000,7.27,7.19,7.06,6.79,6.67,6.49,1.89
Pineapple,Region XI,Davao Oriental,1102500000,167.11,161.89,155.67,151.2,145.7,147.2,28.32
Pineapple,Region XI,City of Davao,1130700000,27147.47,27410.18,26959.9,0,0,19554.23,7615.16
