Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Pomelo,CAR,Abra,1400100000,81.94,80.3,78.19,27.88,25.52,44.76,0
Pomelo,CAR,Apayao,1408100000,32.56,36.03,36.09,39.27,37.48,38.61,4.79
Pomelo,CAR,Benguet,1401100000,73,75,76.25,77,144.75,134.84,17.59
Pomelo,CAR,Ifugao,1402700000,110.63,137.56,146.44,125.05,50.32,33.14,6.6
Pomelo,CAR,Kalinga,1403200000,19.53,25.17,30.26,26.79,26.27,29.04,3.5
Pomelo,CAR,Mountain Province,1404400000,82.01,80.19,71.15,72.6,67.75,65.16,0
Pomelo,Region I,Ilocos Norte,0102800000,98.92,100.15,99.1,99.85,102.05,100.41,14.75
Pomelo,Region I,Ilocos Sur,0102900000,91.47,103.31,134.49,111.03,111.54,105.16,45.74
Pomelo,Region I,La Union,0103300000,79.6,71.65,78.7,84.3,95.15,103.82,28.02
Pomelo,Region I,Pangasinan,0105500000,54,55.6,54.82,85.34,88.34,90.45,23.45
Pomelo,Region II,Batanes,0200900000,2.35,1.7,0.87,0.92,0.68,0.81,0.23
Pomelo,Region II,Cagayan,0201500000,573.62,579.11,596.19,588.83,611.23,497.26,178.22
Pomelo,Region II,Isabela,0203100000,2152.13,2060.37,2044.92,2034.62,1992.79,1840.07,240.03
Pomelo,Region II,Nueva Vizcaya,0205000000,1493.67,1483.91,1531.81,1578.08,1541.09,1529.21,453.11
Pomelo,Region II,Quirino,0205700000,462.7,438.03,452.06,452.25,445.59,445.01,154.89
Pomelo,Region III,Aurora,0307700000,54.55,45.97,47.76,52.63,52.71,52.25,3.48
Pomelo,Region III,Bataan,0300800000,1.4,1.51,1.43,1.76,1.91,1.71,0.13
Pomelo,Region III,Bulacan,0301400000,108.82,118.23,115.09,109.84,106.8,111.87,18.91
Pomelo,Region III,Nueva Ecija,0304900000,37.41,41.28,41.99,37.42,43.91,37.1,11.48
Pomelo,Region III,Pampanga,0305400000,2.1,2.2,2.14,3.05,2.97,2.75,1.18
Pomelo,Region III,Tarlac,0306900000,8.91,10.05,10.4,11.77,12.66,12.6,1.76
Pomelo,Region III,Zambales,0307100000,61.41,55.38,50.25,108.87,59.46,35.7,6.9
Pomelo,Region IV-A,Batangas,0401000000,55.82,56.63,37.54,38.44,50.33,53.8,2.15
Pomelo,Region IV-A,Cavite,0402100000,8.73,7.37,6.7,14.58,12.46,13.35,9
Pomelo,Region IV-A,Laguna,0403400000,20.95,21.91,24.61,20.95,46.34,47.03,3.75
Pomelo,Region IV-A,Quezon,0405600000,368.57,376.41,386.14,395.32,370.26,383.58,16
Pomelo,Region IV-A,Rizal,0405800000,8.81,9.18,5.14,5.24,6.98,10.01,2.73
Pomelo,MIMAROPA,Marinduque,1704000000,33.52,33.15,25.64,30.5,29.8,55.58,6.1
Pomelo,MIMAROPA,Occidental Mindoro,1705100000,21.57,17.91,20.8,16.52,33.67,32.38,27.15
Pomelo,MIMAROPA,Oriental Mindoro,1705200000,21.38,20.07,21.63,23.94,26.51,34.73,1.51
Pomelo,MIMAROPA,Palawan,1705300000,60.29,49.92,35.22,53.55,52.26,51.57,16.27
Pomelo,MIMAROPA,Romblon,1705900000,16.74,19.1,17.85,18.54,41.13,45.32,4.31
Pomelo,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,13.52
Pomelo,Region V,Albay,0500500000,118.72,107.61,127.07,114.14,165.52,101.07,25.27
Pomelo,Region V,Camarines Norte,0501600000,15.97,18.62,20.87,61.81,97.29,132.19,0.64
Pomelo,Region V,Camarines Sur,0501700000,17.91,16.65,30.59,21.88,44.1,51.13,10.92
Pomelo,Region V,Catanduanes,0502000000,6.13,0.49,0.84,0.84,1.22,11.9,0
Pomelo,Region V,Masbate,0504100000,1.36,1.36,1.36,0.15,1.28,20.21,19.25
Pomelo,Region V,Sorsogon,0506200000,48.33,49.77,44.93,40.07,43.3,56.38,27.11
Pomelo,Region VI,Aklan,0600400000,225.66,274.74,286.27,268.96,272.21,254.81,20.19
Pomelo,Region VI,Antique,0600600000,95.2,83.36,83.32,107.36,117.52,138.47,26.5
Pomelo,Region VI,Capiz,0601900000,35.36,38.38,42.08,43.51,46.22,46.15,9.02
Pomelo,Region VI,Guimaras,0607900000,8.44,11.45,11.31,11.84,14.29,16.78,10.16
Pomelo,Region VI,Iloilo,0603000000,269,251,245.2,235.07,214.64,234.02,18.64
Pomelo,NIR,Negros Occidental,1804500000,63.18,64.18,56.44,51.55,0,0,0
Pomelo,NIR,Negros Occidental,1804500000,0,0,0,0,48,53.96,17.84
Pomelo,NIR,Negros Oriental,1804600000,0,0,0,0,139.07,97.98,41.59
Pomelo,NIR,Siquijor,1806100000,0,0,0,0,19.55,20.1,2.41
Pomelo,NIR,City of Bacolod,1830200000,0,0,0,0,0,0,0
Pomelo,Region VII,Bohol,0701200000,19.15,16.88,8.18,145.36,219.35,274.92,66.19
