Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Radish Production,0102800000,Ilocos Norte,,,,,,
Overall Radish Production,0102900000,Ilocos Sur,9.33,9.75,6.38,4.13,,
Overall Radish Production,0103300000,La Union,0.42,0.46,0.51,,,
Overall Radish Production,0105500000,Pangasinan,37.09,37.35,35.2,33.11,21.17,17.56
Overall Radish Production,0200900000,Batanes,0.03,0.05,,0.03,0.13,0.09
Overall Radish Production,0201500000,Cagayan,34.19,33.4,47.17,41.55,40.5,35.37
Overall Radish Production,0203100000,Isabela,7.57,6.86,4.62,0.23,4.2,3.78
Overall Radish Production,0205000000,Nueva Vizcaya,74.94,74.25,77.1,65.88,64.7,55.24
Overall Radish Production,0205700000,Quirino,7.79,7.57,5.69,2.11,0.47,
Overall Radish Production,0300800000,Bataan,3.3,1.0,,0.25,,
Overall Radish Production,0301400000,Bulacan,144.64,176.87,167.55,151.7,68.16,70.59
Overall Radish Production,0304900000,Nueva Ecija,158.09,145.24,138.91,122.38,82.55,26.3
Overall Radish Production,0305400000,Pampanga,122.0,119.91,121.81,122.79,121.37,67.15
Overall Radish Production,0306900000,Tarlac,65.1,60.4,63.23,62.65,37.6,23.67
Overall Radish Production,0307100000,Zambales,57.71,59.2,58.39,45.27,,
Overall Radish Production,0307700000,Aurora,,,,,,
Overall Radish Production,0401000000,Batangas,27.18,33.92,37.2,45.8,51.5,50.35
Overall Radish Production,0402100000,Cavite,105.06,100.24,90.94,92.95,70.43,28.9
Overall Radish Production,0403400000,Laguna,1013.64,897.9,730.75,735.06,643.73,298.68
Overall Radish Production,0405600000,Quezon,215.04,200.25,198.95,191.64,191.53,32.93
Overall Radish Production,0405800000,Rizal,129.26,117.24,92.0,110.12,113.65,44.55
Overall Radish Production,0500500000,Albay,75.72,70.39,50.92,8.81,31.81,2.81
Overall Radish Production,0501600000,Camarines Norte,,,,,,
Overall Radish Production,0501700000,Camarines Sur,38.44,31.16,33.1,0.21,1.33,
Overall Radish Production,0502000000,Catanduanes,2.31,2.68,2.76,1.76,0.75,0.24
Overall Radish Production,0504100000,Masbate,,,,,,
Overall Radish Production,0506200000,Sorsogon,34.95,23.11,6.84,6.92,2.23,0.03
Overall Radish Production,0600400000,Aklan,46.26,36.77,45.77,43.99,51.02,8.51
Overall Radish Production,0600600000,Antique,118.42,115.31,114.27,118.25,127.64,89.09
Overall Radish Production,0601900000,Capiz,143.8,161.27,178.65,177.8,176.94,48.16
Overall Radish Production,0603000000,Iloilo,377.89,358.38,387.72,344.86,795.42,508.3
Overall Radish Production,0607900000,Guimaras,15.99,18.92,19.93,21.15,23.18,16.63
Overall Radish Production,0701200000,Bohol,,,3.48,0.1,1.11,
Overall Radish Production,0702200000,Cebu,218.0,225.0,221.13,205.05,138.89,43.6
Overall Radish Production,0802600000,Eastern Samar,,,,,,
Overall Radish Production,0803700000,Leyte,6.31,6.08,4.61,5.53,5.25,0.63
Overall Radish Production,0804800000,Northern Samar,,,,,,
Overall Radish Production,0806000000,Samar (Western Samar),,,,0.03,,
Overall Radish Production,0806400000,Southern Leyte,,,,,0.33,
Overall Radish Production,0807800000,Biliran,,,0.15,,,
Overall Radish Production,0906600000,,10.8,10.93,11.17,11.02,9.74,
Overall Radish Production,0907200000,Zamboanga del Norte,23.78,24.53,23.36,23.0,23.72,0.71
Overall Radish Production,0907300000,Zamboanga del Sur,175.23,167.34,502.28,486.52,114.22,21.0
Overall Radish Production,0907400000,Zamboanga City,391.32,393.72,,,330.21,88.31
Overall Radish Production,0908300000,Zamboanga Sibugay,46.51,48.15,47.96,45.61,45.8,10.86
Overall Radish Production,1001300000,Bukidnon,95.58,91.0,90.74,152.2,168.0,70.19
Overall Radish Production,1001800000,Camiguin,0.06,,,,,
Overall Radish Production,1003500000,Lanao del Norte,8.06,7.48,7.27,7.35,7.19,0.37
Overall Radish Production,1004200000,Misamis Occidental,12.93,12.36,2.5,2.4,2.41,
Overall Radish Production,1004300000,Misamis Oriental,38.88,76.1,71.38,56.6,55.68,0.91
Overall Radish Production,1102300000,Davao del Norte,93.8,97.66,92.69,93.99,87.73,16.4
Overall Radish Production,1102400000,Davao del Sur,241.09,230.13,358.0,352.63,175.95,25.74
Overall Radish Production,1102500000,Davao Oriental,55.91,54.43,51.62,49.41,47.58,3.91
