Commodity Type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Rainfed Palay,Region I (Ilocos Region),0102800000,Ilocos Norte,51127.0,44063.5,48786.32,49053.0,49394.66,1099.0
Rainfed Palay,Region I (Ilocos Region),0102900000,Ilocos Sur,83173.0,82525.0,83328.76,82021.0,77081.5,285.0
Rainfed Palay,Region I (Ilocos Region),0103300000,La Union,55143.0,60577.02,61686.42,60505.38,61212.05,0.0
Rainfed Palay,Region I (Ilocos Region),0105500000,Pangasinan,333159.0,373132.0,375137.02,372182.0,373383.0,2331.0
Rainfed Palay,Region II (Cagayan Valley),0200900000,Batanes,20.31,61.42,80.27,51.5,110.58,0.0
Rainfed Palay,Region II (Cagayan Valley),0201500000,Cagayan,154241.0,159495.28,182460.5,174978.0,173108.2,19169.0
Rainfed Palay,Region II (Cagayan Valley),0203100000,Isabela,58923.64,62373.64,71907.41,79279.19,77144.99,8874.22
Rainfed Palay,Region II (Cagayan Valley),0205000000,Nueva Vizcaya,9270.4,7957.5,8675.88,5183.99,5199.86,986.0
Rainfed Palay,Region II (Cagayan Valley),0205700000,Quirino,6836.6,8477.04,11078.29,8635.0,8604.58,1876.88
Rainfed Palay,Region III (Central Luzon),0300800000,Bataan,1140.0,951.0,1011.23,981.92,0.0,0.0
Rainfed Palay,Region III (Central Luzon),0301400000,Bulacan,61021.4,39052.87,33798.0,34907.0,32423.0,0.0
Rainfed Palay,Region III (Central Luzon),0304900000,Nueva Ecija,62078.0,27667.9,19489.15,11392.65,3802.12,0.0
Rainfed Palay,Region III (Central Luzon),0305400000,Pampanga,0.0,0.0,0.0,0.0,0.0,0.0
Rainfed Palay,Region III (Central Luzon),0306900000,Tarlac,19514.0,13232.0,16190.57,16141.0,15659.15,0.0
Rainfed Palay,Region III (Central Luzon),0307100000,Zambales,37085.9,34783.57,36261.95,40292.35,32895.15,0.0
Rainfed Palay,Region III (Central Luzon),0307700000,Aurora,5108.0,4574.0,3538.0,2031.06,1226.04,115.5
Rainfed Palay,Region IV-A (CALABARZON),0401000000,Batangas,8629.2,7502.33,5608.15,4839.9,5970.5,842.92
Rainfed Palay,Region IV-A (CALABARZON),0402100000,Cavite,739.0,469.2,303.51,256.06,348.03,0.0
Rainfed Palay,Region IV-A (CALABARZON),0403400000,Laguna,3391.71,3940.37,4201.68,3493.96,6032.09,1873.58
Rainfed Palay,Region IV-A (CALABARZON),0405600000,Quezon,75726.0,71914.5,72363.0,46657.24,48342.5,16445.0
Rainfed Palay,Region IV-A (CALABARZON),0405800000,Rizal,1643.2,1750.24,1997.64,764.99,1228.0,0.0
Rainfed Palay,Region V (Bicol Region),0500500000,Albay,33806.0,32773.8,36522.9,29997.4,33692.2,7732.0
Rainfed Palay,Region V (Bicol Region),0501600000,Camarines Norte,37085.75,36135.38,36561.35,27018.56,29116.76,8268.71
Rainfed Palay,Region V (Bicol Region),0501700000,Camarines Sur,146761.0,150570.0,139548.0,134607.0,135593.0,41257.0
Rainfed Palay,Region V (Bicol Region),0502000000,Catanduanes,10286.93,12004.49,9565.6,12251.32,13933.69,4787.59
Rainfed Palay,Region V (Bicol Region),0504100000,Masbate,108762.0,116087.0,118867.8,105102.61,125767.0,35974.0
Rainfed Palay,Region V (Bicol Region),0506200000,Sorsogon,37052.4,42140.26,38542.59,33667.58,23326.14,3762.34
Rainfed Palay,Region VI (Western Visayas),0600400000,Aklan,47464.86,48288.04,34178.48,31362.47,29541.4,12964.79
Rainfed Palay,Region VI (Western Visayas),0600600000,Antique,121755.0,130380.76,88097.88,65320.35,58047.61,16674.91
Rainfed Palay,Region VI (Western Visayas),0601900000,Capiz,266705.4,250851.0,231529.76,219832.29,226752.55,101763.94
Rainfed Palay,Region VI (Western Visayas),0603000000,Iloilo,602108.02,601744.87,610521.31,495824.11,444151.57,91860.41
Rainfed Palay,Region VI (Western Visayas),0607900000,Guimaras,45542.75,48369.84,37343.0,37815.5,36648.9,5126.0
Rainfed Palay,Region VII (Central Visayas),0701200000,Bohol,77735.0,59648.0,76292.74,88530.34,72055.02,32122.24
Rainfed Palay,Region VII (Central Visayas),0702200000,Cebu,977.0,1265.54,1362.18,1137.36,1569.99,410.8
Rainfed Palay,Region VIII (Eastern Visayas),0802600000,Eastern Samar,37437.5,43344.43,41299.0,44609.84,46863.8,14795.0
Rainfed Palay,Region VIII (Eastern Visayas),0803700000,Leyte,90618.16,96198.36,95383.14,89335.88,96618.01,21051.0
Rainfed Palay,Region VIII (Eastern Visayas),0804800000,Northern Samar,74485.0,72963.83,72744.51,68626.0,68452.0,35525.0
Rainfed Palay,Region VIII (Eastern Visayas),0806000000,Samar (Western Samar),143944.54,134637.56,133205.21,124848.67,106815.58,17557.5
Rainfed Palay,Region VIII (Eastern Visayas),0806400000,Southern Leyte,4669.0,4213.08,4478.88,3536.0,2769.0,565.0
Rainfed Palay,Region VIII (Eastern Visayas),0807800000,Biliran,0.0,0.0,4.02,0.0,0.0,0.0
Rainfed Palay,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)8,0906600000,Sulu,1836.0,1052.96,490.0,29.0,36.0,0.0
Rainfed Palay,Region IX (Zamboanga Peninsula),0907200000,Zamboanga del Norte,51661.96,52084.67,51970.11,46317.12,62234.14,20829.76
Rainfed Palay,Region IX (Zamboanga Peninsula),0907300000,Zamboanga del Sur,92989.36,86114.57,106076.85,106057.33,109365.8,30408.01
Rainfed Palay,REGION IX (ZAMBOANGA PENINSULA),0907400000,Zamboanga City,0.0,0.0,0.0,0.0,2970.01,995.13
Rainfed Palay,Region IX (Zamboanga Peninsula),0908300000,Zamboanga Sibugay,93027.55,94369.7,86376.33,83063.16,91427.1,18712.47
Rainfed Palay,Region X (Northern Mindanao),1001300000,Bukidnon,58551.86,64242.81,67440.78,72974.21,72024.58,13787.9
Rainfed Palay,Region X (Northern Mindanao),1001800000,Camiguin,0.0,0.0,0.0,0.75,0.0,0.0
Rainfed Palay,Region X (Northern Mindanao),1003500000,Lanao del Norte,22274.08,26028.85,28978.01,34170.08,30263.63,4198.89
Rainfed Palay,Region X (Northern Mindanao),1004200000,Misamis Occidental,2586.4,2407.35,2248.0,1624.4,1543.1,205.0
Rainfed Palay,Region X (Northern Mindanao),1004300000,Misamis Oriental,1032.7,1144.53,989.55,870.6,973.73,313.4
Rainfed Palay,Region XI (Davao Region),1102300000,Davao del Norte,11183.64,11990.73,12022.76,15006.7,16812.03,1809.21
Rainfed Palay,Region XI (Davao Region),1102400000,Davao del Sur,3533.0,3466.27,3455.35,3748.68,1086.73,0.0
Rainfed Palay,Region XI (Davao Region),1102500000,Davao Oriental,10769.32,10878.92,11400.77,11549.2,11469.37,3677.95
Rainfed Palay,Region XI (Davao Region),1108200000,Davao de Oro (Compostela Valley),20422.0,20455.62,19289.55,19351.0,17935.44,3248.0
Rainfed Palay,Region XI (Davao Region),1108600000,Davao Occidental,618.26,516.72,502.11,423.36,389.18,61.2
Rainfed Palay,,1130700000,Davao City,0.0,0.0,0.0,0.0,3291.92,967.12
Rainfed Palay,Region XII (SOCCSKSARGEN),1204700000,Cotabato (North Cotabato),97588.0,93691.18,100050.0,97353.0,90580.0,36707.0
Rainfed Palay,Region XII (SOCCSKSARGEN),1206300000,South Cotabato,47007.0,44525.52,47842.32,51686.0,53070.83,14501.0
Rainfed Palay,Region XII (SOCCSKSARGEN),1206500000,Sultan Kudarat,59241.0,56390.61,53824.43,51075.0,53553.0,11892.0
Rainfed Palay,Region XII (SOCCSKSARGEN),1208000000,Sarangani,6731.01,6399.14,6439.97,6518.0,6976.41,625.68
Rainfed Palay,Cordillera Administrative Region (CAR),1400100000,Abra,30335.39,21584.0,20733.03,20027.0,21426.3,0.0
Rainfed Palay,Cordillera Administrative Region (CAR),1401100000,Benguet,2806.0,2665.0,2401.0,2154.3,2163.0,0.0
Rainfed Palay,Cordillera Administrative Region (CAR),1402700000,Ifugao,1923.44,2486.03,2438.13,1702.7,2406.55,100.0
Rainfed Palay,Cordillera Administrative Region (CAR),1403200000,Kalinga,4671.7,4378.5,3547.97,3628.0,4832.86,0.0
Rainfed Palay,Cordillera Administrative Region (CAR),1404400000,Mountain Province,1825.92,1870.02,1944.64,1931.92,1894.19,0.0
Rainfed Palay,Cordillera Administrative Region (CAR),1408100000,Apayao,18392.64,16521.75,13984.81,17779.64,21372.87,427.29
Rainfed Palay,Region XIII (Caraga),1600200000,Agusan del Norte,7775.0,10405.74,13272.28,13447.6,13528.0,902.0
Rainfed Palay,Region XIII (Caraga),1600300000,Agusan del Sur,120656.35,151365.41,139115.87,145614.2,147990.88,873.0
Rainfed Palay,Region XIII (Caraga),1606700000,Surigao del Norte,19373.19,17349.25,21150.0,21606.51,21167.0,3892.0
Rainfed Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1606800000,Surigao del Sur,20728.05,26386.9,27429.0,32708.0,29659.0,2791.0
Rainfed Palay,Region XIII (Caraga),1608500000,Dinagat Islands,2184.77,2288.81,2406.28,2803.46,2920.6,641.82
Rainfed Palay,,1630400000,Butuan City,,,,,,1199.6
Rainfed Palay,MIMAROPA Region,1704000000,Marinduque,7867.0,7526.27,7270.0,7296.0,8856.07,2936.82
Rainfed Palay,MIMAROPA Region,1705100000,Occidental Mindoro,108926.7,110122.01,67588.61,68683.35,97435.33,1881.5
Rainfed Palay,MIMAROPA Region,1705200000,Oriental Mindoro,54861.77,55630.88,53371.46,50483.46,49749.09,11417.17
Rainfed Palay,MIMAROPA Region,1705300000,Palawan,156758.0,166172.33,176296.75,174185.61,174448.89,58284.5
Rainfed Palay,MIMAROPA Region,1705900000,Romblon,16915.0,18084.25,16378.88,16341.75,14393.0,5128.0
Rainfed Palay,,1731500000,Puerto Princesa City,,,,,,708.0
Rainfed Palay,NEGROS ISLAND REGION (NIR) 2/,1804500000,Negros Occidental,141131.0,130781.0,145854.6,108329.6,107376.37,15362.0
Rainfed Palay,NEGROS ISLAND REGION (NIR) 2/,1804600000,Negros Oriental,11336.0,11523.8,14633.08,14350.8,18784.2,2719.05
Rainfed Palay,NEGROS ISLAND REGION (NIR) 2/,1806100000,Siquijor,320.0,452.93,244.53,105.14,248.3,12.44
Rainfed Palay,,1830200000,Bacolod City,,,,,,73.0
Rainfed Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1900700000,Basilan,58.48,66.04,119.0,144.05,265.0,58.0
