Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Salago,CAR,Abra,1400100000,0,0,0,0,0,0,0
Salago,CAR,Apayao,1408100000,0,0,0,0,0,0,0
Salago,CAR,Benguet,1401100000,0,0,0,0,0,0,0
Salago,CAR,Ifugao,1402700000,0,0,0,0,0,0,0
Salago,CAR,Kalinga,1403200000,0,0,0,0,0,0,0
Salago,CAR,Mountain Province,1404400000,0,0,0,0,0,0,0
Salago,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0,0
Salago,Region I,Ilocos Sur,0102900000,0,0,0,0,0,0,0
Salago,Region I,La Union,0103300000,0,0,0,0,0,0,0
Salago,Region I,Pangasinan,0105500000,0,0,0,0,0,0,0
Salago,Region II,Batanes,0200900000,0,0,0,0,0,0,0
Salago,Region II,Cagayan,0201500000,0,0,0,0,0,0,0
Salago,Region II,Isabela,0203100000,0,0,0,0,0,0,0
Salago,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,0,0
Salago,Region II,Quirino,0205700000,0,0,0,0,0,0,0
Salago,Region III,Aurora,0307700000,0,0,0,0,0,0,0
Salago,Region III,Bataan,0300800000,0,0,0,0,0,0,0
Salago,Region III,Bulacan,0301400000,0,0,0,0,0,0,0
Salago,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Salago,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Salago,Region III,Tarlac,0306900000,0,0,0,0,0,0,0
Salago,Region III,Zambales,0307100000,0,0,0,0,0,0,0
Salago,Region IV-A,Batangas,0401000000,0,0,0,0,0,0,0
Salago,Region IV-A,Cavite,0402100000,0,0,0,0,0,0,0
Salago,Region IV-A,Laguna,0403400000,0,0,0,0,0,0,0
Salago,Region IV-A,Quezon,0405600000,0,0,0,0,0,0,0
Salago,Region IV-A,Rizal,0405800000,0,0,0,0,0,0,0
Salago,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0,0
Salago,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Salago,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0,0
Salago,MIMAROPA,Palawan,1705300000,0,0,0,0,0,0,0
Salago,MIMAROPA,Romblon,1705900000,0,0,0,0,0,0,0
Salago,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Salago,Region V,Albay,0500500000,0,0,0,0,0,0,0
Salago,Region V,Camarines Norte,0501600000,0,0,0,0,0,0,0
Salago,Region V,Camarines Sur,0501700000,0,0,0,0,0,0,0
Salago,Region V,Catanduanes,0502000000,0,0,0,0,0,0,0
Salago,Region V,Masbate,0504100000,1.23,1.25,1.17,1.06,0.2,0,0
Salago,Region V,Sorsogon,0506200000,0,0,0,0,0,0,0
Salago,Region VI,Aklan,0600400000,0,0,0,0,0,0,0
Salago,Region VI,Antique,0600600000,0,0,0,0,0,0,0
Salago,Region VI,Capiz,0601900000,0,0,0,0,0,0,0
Salago,Region VI,Guimaras,0607900000,0,0,0,0,0,0,0
Salago,Region VI,Iloilo,0603000000,0,0,0,0,0,0,0
Salago,NIR,Negros Occidental,1804500000,0,0,0,0,0,0,0
Salago,NIR,Negros Occidental,1804500000,0,0,0,0,0,0,0
Salago,NIR,Negros Oriental,1804600000,0,0,0,0,268.33,263.68,35.33
Salago,NIR,Siquijor,1806100000,0,0,0,0,2.2,6.85,3.36
Salago,NIR,City of Bacolod,1830200000,0,0,0,0,2.2,0,0
Salago,Region VII,Bohol,0701200000,0,0,0,0,0,0,0
Salago,Region VII,Cebu,0702200000,88.08,93.31,31.01,35.57,15.95,14.36,2.24
Salago,NIR,Negros Oriental,1804600000,335.84,414.14,427.85,415.20,0,0,0
Salago,NIR,Siquijor,1806100000,15.21,9.47,7.50,8.11,0,0,0
Salago,Region VIII,Biliran,0807800000,0,0,0,0,0,0,0
Salago,Region VIII,Eastern Samar,0802600000,0,0,0,0,0,0,0
Salago,Region VIII,Leyte,0803700000,0,0,0,0,0,0,0
Salago,Region VIII,Northern Samar,0804800000,0,0,0,0,0,0,0
Salago,Region VIII,Samar,0806000000,0,0,0,0,0,0,0
