Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Spinach Production,0102800000,Ilocos Norte,,,,,0.01,
Overall Spinach Production,0102900000,Ilocos Sur,,,2.26,0.02,0.06,
Overall Spinach Production,0103300000,La Union,2.4,2.54,2.58,2.29,2.27,0.57
Overall Spinach Production,0105500000,Pangasinan,1.87,2.33,1.1,1.09,0.88,0.07
Overall Spinach Production,0200900000,Batanes,1.29,1.39,0.98,1.27,1.12,0.72
Overall Spinach Production,0201500000,Cagayan,20.07,20.95,22.99,19.71,23.26,3.05
Overall Spinach Production,0203100000,Isabela,47.33,44.41,41.45,35.74,35.69,9.48
Overall Spinach Production,0205000000,Nueva Vizcaya,46.3,51.44,55.22,45.8,51.17,17.33
Overall Spinach Production,0205700000,Quirino,6.67,7.74,8.46,7.72,8.38,1.27
Overall Spinach Production,0300800000,Bataan,,,,,,
Overall Spinach Production,0301400000,Bulacan,,,,10.06,10.97,0.43
Overall Spinach Production,0304900000,Nueva Ecija,,,,,,
Overall Spinach Production,0305400000,Pampanga,11.67,12.1,12.88,13.66,13.44,7.17
Overall Spinach Production,0306900000,Tarlac,20.59,18.93,18.26,19.3,14.52,4.33
Overall Spinach Production,0307100000,Zambales,,,4.48,10.6,10.32,1.44
Overall Spinach Production,0307700000,Aurora,,,0.03,1.64,0.41,0.86
Overall Spinach Production,0401000000,Batangas,,,,0.19,,
Overall Spinach Production,0402100000,Cavite,,,39.59,42.11,43.82,2.85
Overall Spinach Production,0403400000,Laguna,,,,1.99,2.0,
Overall Spinach Production,0405600000,Quezon,,,,0.26,0.22,
Overall Spinach Production,0405800000,Rizal,,,,0.22,0.33,
Overall Spinach Production,0500500000,Albay,,,,,2.01,
Overall Spinach Production,0501600000,Camarines Norte,,,,,,
Overall Spinach Production,0501700000,Camarines Sur,,,,,0.02,
Overall Spinach Production,0502000000,Catanduanes,,,,,,
Overall Spinach Production,0504100000,Masbate,,,0.28,,,
Overall Spinach Production,0506200000,Sorsogon,,,,,,
Overall Spinach Production,0600400000,Aklan,0.03,0.05,0.04,0.04,,
Overall Spinach Production,0600600000,Antique,60.95,60.9,59.85,17.9,0.1,
Overall Spinach Production,0601900000,Capiz,141.7,140.75,104.78,,,
Overall Spinach Production,0603000000,Iloilo,36.95,37.2,38.15,14.64,,
Overall Spinach Production,0607900000,Guimaras,,,,,0.12,
Overall Spinach Production,0701200000,Bohol,,,0.12,,,
Overall Spinach Production,0702200000,Cebu,30.9,32.3,31.61,26.01,29.49,6.25
Overall Spinach Production,0802600000,Eastern Samar,,,,,,
Overall Spinach Production,0803700000,Leyte,,,0.18,2.87,1.86,0.34
Overall Spinach Production,0804800000,Northern Samar,,,,,,
Overall Spinach Production,0806000000,Samar (Western Samar),,,,,,
Overall Spinach Production,0806400000,Southern Leyte,,,,0.02,,
Overall Spinach Production,0807800000,Biliran,,,,,,
Overall Spinach Production,0906600000,,,,,,,
Overall Spinach Production,0907200000,Zamboanga del Norte,,,,,,
Overall Spinach Production,0907300000,Zamboanga del Sur,0.03,0.03,,0.03,2.32,
Overall Spinach Production,0907400000,Zamboanga City,,,,,,
Overall Spinach Production,0908300000,Zamboanga Sibugay,,,,0.01,0.01,
Overall Spinach Production,1001300000,Bukidnon,1.55,1.48,10.32,13.04,12.93,3.04
Overall Spinach Production,1001800000,Camiguin,,,,,,
Overall Spinach Production,1003500000,Lanao del Norte,5.6,5.3,5.2,5.07,5.16,4.41
Overall Spinach Production,1004200000,Misamis Occidental,,,,1.6,1.61,0.34
Overall Spinach Production,1004300000,Misamis Oriental,15.37,15.82,14.33,14.5,15.91,3.0
Overall Spinach Production,1102300000,Davao del Norte,,,,,,
Overall Spinach Production,1102400000,Davao del Sur,3.34,3.31,26.68,27.08,5.15,0.25
Overall Spinach Production,1102500000,Davao Oriental,0.94,0.82,0.94,0.91,0.83,0.17
Overall Spinach Production,1108200000,Davao de Oro (Compostela Valley),,,,,,
Overall Spinach Production,1108600000,Davao Occidental,0.12,0.13,0.12,0.04,0.04,0.02
Overall Spinach Production,1130700000,Davao City,23.54,23.52,,,20.04,2.17
Overall Spinach Production,1204700000,Cotabato (North Cotabato),12.86,12.55,10.36,10.93,8.67,0.74
Overall Spinach Production,1206300000,South Cotabato,12.32,13.28,14.86,7.48,6.76,
Overall Spinach Production,1206500000,Sultan Kudarat,8.11,8.14,8.02,7.46,7.26,2.28
Overall Spinach Production,1208000000,Sarangani,2.11,2.11,2.33,2.27,0.34,0.31
Overall Spinach Production,1400100000,Abra,0.24,0.22,0.38,0.3,1.36,
Overall Spinach Production,1401100000,Benguet,98.1,100.64,81.6,80.75,115.15,30.69
Overall Spinach Production,1402700000,Ifugao,,,,,,
Overall Spinach Production,1403200000,Kalinga,4.47,5.16,4.28,3.64,3.3,
Overall Spinach Production,1404400000,Mountain Province,0.08,0.09,0.08,0.06,1.67,
Overall Spinach Production,1408100000,Apayao,,,,,,
Overall Spinach Production,1600200000,Agusan del Norte,,,,0.1,0.13,0.03
Overall Spinach Production,1600300000,Agusan del Sur,,,,,12.28,0.48
Overall Spinach Production,1606700000,Surigao del Norte,,,0.2,0.28,1.48,1.38
Overall Spinach Production,1606800000,Surigao del Sur,,,,0.17,,
Overall Spinach Production,1608500000,Dinagat Islands,,,,,0.06,
Overall Spinach Production,1630400000,Butuan City,,,,,,0.02
Overall Spinach Production,1704000000,Marinduque,,,,,,
Overall Spinach Production,1705100000,Occidental Mindoro,,,,,,
Overall Spinach Production,1705200000,Oriental Mindoro,,,,,,
Overall Spinach Production,1705300000,Palawan,,,,,,
Overall Spinach Production,1705900000,Romblon,,,0.28,0.25,4.05,3.52
Overall Spinach Production,1731500000,Puerto Princesa City,,,,,,0.1
Overall Spinach Production,1804500000,Negros Occidental,26.16,28.15,42.46,14.93,,
Overall Spinach Production,1804600000,Negros Oriental,34.75,35.4,30.55,20.2,23.3,0.49
Overall Spinach Production,1806100000,Siquijor,,,,,,
Overall Spinach Production,1830200000,Bacolod City,,,,,,
Overall Spinach Production,1900700000,Basilan,,,,,,
Overall Spinach Production,1903600000,Lanao del Sur,,,,0.58,0.19,
Overall Spinach Production,1907000000,Tawi-Tawi,,,,,,
Overall Spinach Production,1908700000,Maguindanao del Norte,,,,,47.13,10.0
Overall Spinach Production,1908800000,Maguindanao del Sur,7.55,7.66,7.69,7.94,,
