Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Sponge Gourd Production,0102800000,Ilocos Norte,719.05,728.04,727.71,715.58,1081.78,515.15
Overall Sponge Gourd Production,0102900000,Ilocos Sur,186.15,177.11,208.89,189.22,198.74,112.16
Overall Sponge Gourd Production,0103300000,La Union,142.16,151.34,144.78,143.78,116.82,43.77
Overall Sponge Gourd Production,0105500000,Pangasinan,488.73,484.55,479.69,494.19,756.07,402.29
Overall Sponge Gourd Production,0200900000,Batanes,7.28,7.88,8.67,9.76,13.22,1.32
Overall Sponge Gourd Production,0201500000,Cagayan,1189.07,1152.09,1188.13,1050.93,1122.9,280.1
Overall Sponge Gourd Production,0203100000,Isabela,516.46,491.82,484.61,512.97,507.78,169.7
Overall Sponge Gourd Production,0205000000,Nueva Vizcaya,160.45,169.46,173.06,169.6,168.78,13.44
Overall Sponge Gourd Production,0205700000,Quirino,52.13,57.42,55.22,50.64,54.14,4.54
Overall Sponge Gourd Production,0300800000,Bataan,5.49,6.32,6.29,5.72,6.72,2.8
Overall Sponge Gourd Production,0301400000,Bulacan,469.7,421.22,435.65,385.49,409.01,66.82
Overall Sponge Gourd Production,0304900000,Nueva Ecija,833.05,819.88,848.32,841.69,734.78,30.06
Overall Sponge Gourd Production,0305400000,Pampanga,301.17,315.45,309.56,319.61,337.47,121.07
Overall Sponge Gourd Production,0306900000,Tarlac,90.75,101.96,89.71,94.48,96.24,25.15
Overall Sponge Gourd Production,0307100000,Zambales,195.04,208.54,178.41,141.47,90.58,6.16
Overall Sponge Gourd Production,0307700000,Aurora,74.8,59.34,56.14,44.85,175.15,20.04
Overall Sponge Gourd Production,0401000000,Batangas,289.95,278.66,308.39,454.85,427.66,209.6
Overall Sponge Gourd Production,0402100000,Cavite,82.82,73.19,86.75,91.19,321.38,215.19
Overall Sponge Gourd Production,0403400000,Laguna,87.09,77.4,72.89,82.17,74.32,29.37
Overall Sponge Gourd Production,0405600000,Quezon,917.41,962.54,979.84,936.26,980.84,514.27
Overall Sponge Gourd Production,0405800000,Rizal,86.31,83.71,85.98,83.62,81.26,16.55
Overall Sponge Gourd Production,0500500000,Albay,182.77,217.01,159.41,93.02,54.41,1.99
Overall Sponge Gourd Production,0501600000,Camarines Norte,93.06,87.09,74.71,57.62,52.13,25.08
Overall Sponge Gourd Production,0501700000,Camarines Sur,454.75,468.9,297.63,240.58,113.08,16.65
Overall Sponge Gourd Production,0502000000,Catanduanes,14.71,14.08,8.36,7.63,166.15,7.76
Overall Sponge Gourd Production,0504100000,Masbate,11.68,11.65,6.22,7.29,10.85,7.27
Overall Sponge Gourd Production,0506200000,Sorsogon,25.91,23.1,17.01,13.16,8.37,6.04
Overall Sponge Gourd Production,0600400000,Aklan,44.56,50.68,48.15,49.84,47.66,18.47
Overall Sponge Gourd Production,0600600000,Antique,47.43,44.86,52.89,65.34,62.27,29.49
