Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Stringbeans Production,0102800000,Ilocos Norte,2954.97,3002.83,3050.97,3016.39,2858.67,1553.18
Overall Stringbeans Production,0102900000,Ilocos Sur,2607.02,2628.87,2544.17,2680.46,2661.9,822.88
Overall Stringbeans Production,0103300000,La Union,2319.88,2375.02,2407.0,2307.72,2139.29,932.73
Overall Stringbeans Production,0105500000,Pangasinan,4661.22,4512.24,4395.59,4409.08,5333.13,1529.85
Overall Stringbeans Production,0200900000,Batanes,9.6,12.33,12.96,7.42,12.14,2.77
Overall Stringbeans Production,0201500000,Cagayan,4406.92,4075.06,3853.56,3563.51,3606.33,950.1
Overall Stringbeans Production,0203100000,Isabela,4336.99,4342.87,4346.7,4146.88,3963.58,1702.61
Overall Stringbeans Production,0205000000,Nueva Vizcaya,4195.84,4355.16,4865.36,4500.13,4525.79,1708.65
Overall Stringbeans Production,0205700000,Quirino,461.61,501.8,482.4,489.38,502.99,121.45
Overall Stringbeans Production,0300800000,Bataan,223.94,231.63,235.98,263.2,265.62,134.08
Overall Stringbeans Production,0301400000,Bulacan,14942.38,14696.84,15239.61,13346.07,14295.42,3819.39
Overall Stringbeans Production,0304900000,Nueva Ecija,10318.25,10202.01,10078.14,11040.13,9649.9,1174.8
Overall Stringbeans Production,0305400000,Pampanga,1713.05,1885.73,1972.13,1987.57,1987.65,806.97
Overall Stringbeans Production,0306900000,Tarlac,512.94,520.24,479.31,501.65,504.4,216.56
Overall Stringbeans Production,0307100000,Zambales,914.79,872.26,847.49,725.09,172.43,64.75
Overall Stringbeans Production,0307700000,Aurora,1075.24,860.7,1033.94,857.87,404.5,126.49
Overall Stringbeans Production,0401000000,Batangas,1210.53,1047.54,654.09,716.85,678.59,43.35
Overall Stringbeans Production,0402100000,Cavite,413.52,429.16,382.4,423.03,407.75,66.7
Overall Stringbeans Production,0403400000,Laguna,896.95,851.6,793.68,671.59,831.71,83.76
Overall Stringbeans Production,0405600000,Quezon,2615.85,2604.5,2570.64,2473.49,2316.77,191.66
Overall Stringbeans Production,0405800000,Rizal,440.03,465.11,534.79,487.45,520.47,240.0
Overall Stringbeans Production,0500500000,Albay,4086.09,4422.96,5068.61,3970.04,2987.81,858.55
Overall Stringbeans Production,0501600000,Camarines Norte,473.72,380.27,239.84,240.05,278.09,7.56
Overall Stringbeans Production,0501700000,Camarines Sur,3318.79,2921.16,2865.48,1306.3,681.81,121.1
Overall Stringbeans Production,0502000000,Catanduanes,83.4,78.52,81.37,73.29,179.95,5.03
Overall Stringbeans Production,0504100000,Masbate,893.64,882.02,871.24,883.31,770.51,8.5
Overall Stringbeans Production,0506200000,Sorsogon,898.99,720.91,482.57,332.48,215.32,37.48
Overall Stringbeans Production,0600400000,Aklan,536.85,548.66,488.4,549.42,457.08,83.5
Overall Stringbeans Production,0600600000,Antique,964.32,805.67,882.45,934.37,683.9,140.29
Overall Stringbeans Production,0601900000,Capiz,598.72,559.25,528.9,503.41,451.76,146.84
Overall Stringbeans Production,0603000000,Iloilo,2981.59,2933.99,2736.57,2588.8,1853.1,514.88
Overall Stringbeans Production,0607900000,Guimaras,469.46,496.1,516.0,554.24,870.79,123.03
Overall Stringbeans Production,0701200000,Bohol,433.57,421.52,309.46,400.52,512.13,68.87
Overall Stringbeans Production,0702200000,Cebu,1321.75,1359.0,1403.83,1332.31,1232.33,245.0
Overall Stringbeans Production,0802600000,Eastern Samar,10.49,12.08,98.52,80.53,116.17,2.0
Overall Stringbeans Production,0803700000,Leyte,1138.31,1049.82,1121.05,1087.64,1069.37,132.36
Overall Stringbeans Production,0804800000,Northern Samar,138.5,145.5,152.94,155.5,161.07,27.0
Overall Stringbeans Production,0806000000,Samar (Western Samar),100.96,101.34,144.54,150.74,156.06,12.67
Overall Stringbeans Production,0806400000,Southern Leyte,78.34,69.24,78.94,94.82,88.03,8.07
Overall Stringbeans Production,0807800000,Biliran,140.0,136.31,158.25,124.05,116.24,23.52
Overall Stringbeans Production,0906600000,,249.8,249.92,252.0,249.2,232.6,24.18
Overall Stringbeans Production,0907200000,Zamboanga del Norte,1050.93,1091.77,455.29,416.91,461.16,73.69
Overall Stringbeans Production,0907300000,Zamboanga del Sur,258.98,282.35,1846.12,1792.88,243.86,35.3
Overall Stringbeans Production,0907400000,Zamboanga City,1406.16,1425.26,,,4599.13,290.14
Overall Stringbeans Production,0908300000,Zamboanga Sibugay,78.8,78.02,80.73,84.8,92.04,8.58
Overall Stringbeans Production,1001300000,Bukidnon,299.68,279.92,284.06,304.83,322.1,50.51
Overall Stringbeans Production,1001800000,Camiguin,39.45,46.09,43.28,52.27,32.45,6.19
Overall Stringbeans Production,1003500000,Lanao del Norte,423.0,426.0,427.52,427.0,431.0,64.67
Overall Stringbeans Production,1004200000,Misamis Occidental,725.7,735.84,742.67,736.36,747.58,124.75
Overall Stringbeans Production,1004300000,Misamis Oriental,1894.59,2367.6,2106.4,1987.74,2007.16,161.8
Overall Stringbeans Production,1102300000,Davao del Norte,2234.18,2178.52,2194.28,2226.81,2227.21,342.87
Overall Stringbeans Production,1102400000,Davao del Sur,1190.42,1148.93,6708.35,6592.2,2126.36,205.15
Overall Stringbeans Production,1102500000,Davao Oriental,1199.79,1198.94,1123.51,1095.19,1084.87,316.97
Overall Stringbeans Production,1108200000,Davao de Oro (Compostela Valley),1976.3,1969.76,1956.55,1909.93,1870.08,170.05
Overall Stringbeans Production,1108600000,Davao Occidental,146.5,148.15,143.61,139.02,148.83,25.01
Overall Stringbeans Production,1130700000,Davao City,5719.91,5569.25,,,3454.89,947.55
Overall Stringbeans Production,1204700000,Cotabato (North Cotabato),653.12,647.53,533.86,479.9,387.23,50.37
Overall Stringbeans Production,1206300000,South Cotabato,101.78,125.71,142.11,109.29,161.36,73.37
Overall Stringbeans Production,1206500000,Sultan Kudarat,140.04,135.44,138.07,125.31,120.02,40.8
Overall Stringbeans Production,1208000000,Sarangani,79.0,81.18,143.5,192.6,205.0,15.5
Overall Stringbeans Production,1400100000,Abra,70.19,70.8,142.43,178.67,202.04,55.93
Overall Stringbeans Production,1401100000,Benguet,,,5.56,38.3,90.9,13.38
Overall Stringbeans Production,1402700000,Ifugao,124.71,132.13,148.29,151.56,107.18,20.38
Overall Stringbeans Production,1403200000,Kalinga,218.59,244.86,251.47,232.55,233.1,169.0
Overall Stringbeans Production,1404400000,Mountain Province,14.0,15.09,16.24,26.72,28.64,10.91
Overall Stringbeans Production,1408100000,Apayao,66.83,64.77,54.9,55.8,45.1,11.62
Overall Stringbeans Production,1600200000,Agusan del Norte,348.2,368.62,386.35,358.34,401.0,21.13
Overall Stringbeans Production,1600300000,Agusan del Sur,783.97,763.62,746.26,659.68,694.06,64.12
Overall Stringbeans Production,1606700000,Surigao del Norte,69.63,52.3,58.0,104.51,93.89,11.43
Overall Stringbeans Production,1606800000,Surigao del Sur,155.03,250.41,168.58,132.47,161.18,18.86
Overall Stringbeans Production,1608500000,Dinagat Islands,13.74,9.09,12.74,28.44,31.08,4.58
Overall Stringbeans Production,1630400000,Butuan City,,,,,,10.89
Overall Stringbeans Production,1704000000,Marinduque,448.56,460.81,404.71,258.61,295.54,91.09
Overall Stringbeans Production,1705100000,Occidental Mindoro,709.66,707.09,625.28,316.02,340.41,106.42
Overall Stringbeans Production,1705200000,Oriental Mindoro,459.06,475.95,452.33,409.58,388.01,96.2
Overall Stringbeans Production,1705300000,Palawan,351.3,308.58,306.59,292.55,304.25,123.26
Overall Stringbeans Production,1705900000,Romblon,201.28,202.81,177.55,165.56,177.94,80.73
Overall Stringbeans Production,1731500000,Puerto Princesa City,,,,,,28.5
Overall Stringbeans Production,1804500000,Negros Occidental,3745.0,3756.19,3808.35,3835.24,3799.39,415.44
Overall Stringbeans Production,1804600000,Negros Oriental,972.16,1038.12,1148.19,877.63,965.42,82.57
Overall Stringbeans Production,1806100000,Siquijor,42.02,39.8,38.96,39.49,41.81,7.05
Overall Stringbeans Production,1830200000,Bacolod City,,,,,,0.11
Overall Stringbeans Production,1900700000,Basilan,68.87,72.6,71.59,54.55,52.19,16.22
Overall Stringbeans Production,1903600000,Lanao del Sur,4.88,4.9,14.81,44.69,51.68,5.77
Overall Stringbeans Production,1907000000,Tawi-Tawi,38.26,40.32,39.25,43.24,51.7,1.7
Overall Stringbeans Production,1908700000,Maguindanao del Norte,,,,,420.86,77.63
Overall Stringbeans Production,1908800000,Maguindanao del Sur,108.35,110.65,116.45,122.19,827.56,116.75
