Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Sweet Potato Production,0102800000,Ilocos Norte,2172.58,2130.76,2156.71,2163.58,2014.73,1111.37
Overall Sweet Potato Production,0102900000,Ilocos Sur,1322.67,1354.11,1406.07,1357.87,1375.43,441.26
Overall Sweet Potato Production,0103300000,La Union,5456.5,5285.51,4894.89,4609.39,4642.86,1166.4
Overall Sweet Potato Production,0105500000,Pangasinan,6560.97,6403.7,6152.73,6021.78,6338.33,3955.15
Overall Sweet Potato Production,0200900000,Batanes,675.39,743.43,802.45,801.82,812.03,321.01
Overall Sweet Potato Production,0201500000,Cagayan,3268.53,3326.1,3290.34,3112.22,3359.05,823.54
Overall Sweet Potato Production,0203100000,Isabela,328.62,335.84,327.36,285.63,268.0,208.6
Overall Sweet Potato Production,0205000000,Nueva Vizcaya,3712.15,3801.95,4358.9,6394.52,6011.84,2154.77
Overall Sweet Potato Production,0205700000,Quirino,216.37,210.59,205.19,210.78,213.71,69.48
Overall Sweet Potato Production,0300800000,Bataan,3156.91,4545.73,195.75,218.68,199.33,15.58
Overall Sweet Potato Production,0301400000,Bulacan,734.99,617.35,518.32,478.5,517.4,64.33
Overall Sweet Potato Production,0304900000,Nueva Ecija,1616.11,1448.48,1432.87,1236.43,1137.23,137.66
Overall Sweet Potato Production,0305400000,Pampanga,3116.91,3185.17,3224.91,3306.25,3185.32,1584.91
Overall Sweet Potato Production,0306900000,Tarlac,35798.67,38754.71,35777.06,34469.27,35228.04,4099.47
Overall Sweet Potato Production,0307100000,Zambales,2667.99,2238.62,2158.43,4252.06,3485.61,658.17
Overall Sweet Potato Production,0307700000,Aurora,3033.53,2502.61,2493.04,2701.1,3034.9,0.46
Overall Sweet Potato Production,0401000000,Batangas,225.38,206.57,207.9,254.2,290.82,94.18
Overall Sweet Potato Production,0402100000,Cavite,976.4,1031.05,795.96,726.69,790.23,346.95
Overall Sweet Potato Production,0403400000,Laguna,1437.06,1274.41,821.48,1387.57,1240.08,263.41
Overall Sweet Potato Production,0405600000,Quezon,26154.35,25863.34,25502.53,23574.04,22825.22,7163.95
Overall Sweet Potato Production,0405800000,Rizal,950.01,946.83,962.35,911.45,919.09,519.74
Overall Sweet Potato Production,0500500000,Albay,50045.36,50998.74,41918.86,33640.02,19098.22,250.8
Overall Sweet Potato Production,0501600000,Camarines Norte,840.56,844.7,451.54,415.82,239.73,4.55
Overall Sweet Potato Production,0501700000,Camarines Sur,31999.58,30630.4,25543.54,16186.38,10180.56,1190.09
Overall Sweet Potato Production,0502000000,Catanduanes,4864.03,5042.94,4863.41,4910.64,4073.16,337.19
Overall Sweet Potato Production,0504100000,Masbate,2016.26,2199.71,2284.37,2782.61,2652.82,1487.68
Overall Sweet Potato Production,0506200000,Sorsogon,3570.56,3280.58,3038.18,2140.78,1565.66,114.39
Overall Sweet Potato Production,0600400000,Aklan,2706.21,3348.48,2972.06,3008.9,3133.99,310.35
Overall Sweet Potato Production,0600600000,Antique,4580.12,4607.22,4490.34,3648.45,3280.44,377.22
Overall Sweet Potato Production,0601900000,Capiz,3855.17,3844.29,3798.0,3724.2,3872.11,322.62
Overall Sweet Potato Production,0603000000,Iloilo,15474.21,16078.72,15040.88,13346.76,13380.71,6823.51
Overall Sweet Potato Production,0607900000,Guimaras,2327.0,2379.49,2037.63,2216.55,2419.81,1702.51
Overall Sweet Potato Production,0701200000,Bohol,4622.07,3968.22,3677.13,2523.44,2142.48,280.45
Overall Sweet Potato Production,0702200000,Cebu,13359.66,13727.0,13662.6,13243.53,13568.14,2375.67
Overall Sweet Potato Production,0802600000,Eastern Samar,3790.31,5187.64,6942.69,20631.87,12569.57,1134.0
Overall Sweet Potato Production,0803700000,Leyte,42162.2,43429.41,45476.36,44143.38,44085.35,5763.0
Overall Sweet Potato Production,0804800000,Northern Samar,28749.0,30903.08,30449.36,30265.0,29113.44,2886.0
Overall Sweet Potato Production,0806000000,Samar (Western Samar),10054.08,11262.09,10838.92,11922.95,11008.36,3245.9
Overall Sweet Potato Production,0806400000,Southern Leyte,13854.55,12754.35,13238.0,12674.0,10208.38,956.22
Overall Sweet Potato Production,0807800000,Biliran,2120.0,2252.46,2023.48,1465.8,1561.69,339.6
