Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Tobacco (Virginia),CAR,Abra,1400100000,1577.38,1526.53,1547.15,1442.63,1014.77,1746.00,937.50
Tobacco (Virginia),CAR,Apayao,1408100000,0,0,0,0,0,0,0
Tobacco (Virginia),CAR,Benguet,1401100000,0,0,0,0,0,0,0
Tobacco (Virginia),CAR,Ifugao,1402700000,0,0,0,0,0,0,0
Tobacco (Virginia),CAR,Kalinga,1403200000,0,0,0,0,0,0,0
Tobacco (Virginia),CAR,Mountain Province,1404400000,0,0,0,0,0,0,0
Tobacco (Virginia),Region I,Ilocos Norte,0102800000,2537.53,2654.86,3210.61,2901.32,3081.50,3210.73,388.42
Tobacco (Virginia),Region I,Ilocos Sur,0102900000,20974.79,20040.02,16191.38,17934.42,18785.15,26042.16,16814.00
Tobacco (Virginia),Region I,La Union,0103300000,2875.53,2547.79,2473.81,2818.20,2786.27,2690.20,1206.02
Tobacco (Virginia),Region I,Pangasinan,0105500000,0,0,0,0,0,0,0
Tobacco (Virginia),Region II,Batanes,0200900000,0,0,0,0,0,0,0
Tobacco (Virginia),Region II,Cagayan,0201500000,0,0,0,0,0,0,0
Tobacco (Virginia),Region II,Isabela,0203100000,0,0,0,0,0,0,528.46
Tobacco (Virginia),Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,0,0
Tobacco (Virginia),Region II,Quirino,0205700000,0,0,0,0,0,0,0
Tobacco (Virginia),Region III,Aurora,0307700000,0,0,0,0,0,0,0
Tobacco (Virginia),Region III,Bataan,0300800000,0,0,0,0,0,0,0
Tobacco (Virginia),Region III,Bulacan,0301400000,0,0,0,0,0,0,0
Tobacco (Virginia),Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Tobacco (Virginia),Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Tobacco (Virginia),Region III,Tarlac,0306900000,0,0,0,0,0,0,0
Tobacco (Virginia),Region III,Zambales,0307100000,0,0,0,0,0,0,0
Tobacco (Virginia),Region IV-A,Batangas,0401000000,0,0,0,0,0,0,0
Tobacco (Virginia),Region IV-A,Cavite,0402100000,0,0,0,0,0,0,0
Tobacco (Virginia),Region IV-A,Laguna,0403400000,0,0,0,0,0,0,0
Tobacco (Virginia),Region IV-A,Quezon,0405600000,0,0,0,0,0,0,0
Tobacco (Virginia),Region IV-A,Rizal,0405800000,0,0,0,0,0,0,0
Tobacco (Virginia),MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0,0
Tobacco (Virginia),MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Tobacco (Virginia),MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0,0
