Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Tomato Production,0102800000,Ilocos Norte,26910.21,24007.59,23429.68,21727.66,13137.22,6579.75
Overall Tomato Production,0102900000,Ilocos Sur,26448.19,17041.16,19051.83,18056.14,19069.23,15038.25
Overall Tomato Production,0103300000,La Union,2368.19,2315.34,2379.7,2280.1,2466.22,1362.94
Overall Tomato Production,0105500000,Pangasinan,19400.44,19441.52,18692.79,18208.26,18966.82,15219.46
Overall Tomato Production,0200900000,Batanes,10.36,10.85,13.49,15.66,15.97,6.12
Overall Tomato Production,0201500000,Cagayan,775.37,571.73,538.25,513.22,530.9,443.73
Overall Tomato Production,0203100000,Isabela,1006.85,797.5,739.25,577.24,554.25,542.29
Overall Tomato Production,0205000000,Nueva Vizcaya,9417.02,9336.58,9539.17,9621.78,14281.23,7455.78
Overall Tomato Production,0205700000,Quirino,80.01,80.65,84.49,94.55,100.25,60.41
Overall Tomato Production,0300800000,Bataan,437.81,452.47,374.38,404.77,426.9,388.23
Overall Tomato Production,0301400000,Bulacan,4504.78,4879.53,4758.32,4240.55,4643.5,3165.86
Overall Tomato Production,0304900000,Nueva Ecija,18351.21,19891.26,21173.46,22235.62,22547.24,21148.05
Overall Tomato Production,0305400000,Pampanga,3773.13,4013.56,4222.06,4157.88,3813.75,2494.45
Overall Tomato Production,0306900000,Tarlac,4370.92,4704.2,4358.95,4365.78,4374.37,1893.24
Overall Tomato Production,0307100000,Zambales,621.63,657.07,607.06,508.88,410.48,191.08
Overall Tomato Production,0307700000,Aurora,57.76,72.15,48.83,35.68,8.7,2.03
Overall Tomato Production,0401000000,Batangas,2410.53,2341.56,2493.07,2195.75,2014.11,1135.21
Overall Tomato Production,0402100000,Cavite,204.89,232.39,210.36,313.69,498.46,210.65
Overall Tomato Production,0403400000,Laguna,6056.6,5747.76,6790.61,6761.15,6477.07,261.08
Overall Tomato Production,0405600000,Quezon,5770.77,5841.29,5884.4,6464.35,6469.28,5367.07
Overall Tomato Production,0405800000,Rizal,152.34,193.16,227.66,211.86,251.37,197.98
Overall Tomato Production,0500500000,Albay,1042.56,1047.91,1082.99,1049.49,816.02,42.97
Overall Tomato Production,0501600000,Camarines Norte,18.08,9.37,11.11,7.31,5.43,1.04
Overall Tomato Production,0501700000,Camarines Sur,2766.97,2571.02,2466.35,1579.42,380.39,60.11
Overall Tomato Production,0502000000,Catanduanes,3.9,4.47,4.27,5.44,5.53,0.83
Overall Tomato Production,0504100000,Masbate,88.15,88.78,83.18,60.53,55.21,15.02
Overall Tomato Production,0506200000,Sorsogon,18.69,13.48,23.38,20.87,11.47,0.35
Overall Tomato Production,0600400000,Aklan,125.55,116.23,117.02,121.54,119.33,31.14
Overall Tomato Production,0600600000,Antique,503.4,494.93,493.43,512.56,525.83,284.39
Overall Tomato Production,0601900000,Capiz,236.75,223.48,210.91,225.12,215.37,64.61
Overall Tomato Production,0603000000,Iloilo,10902.31,10671.36,11804.21,10983.85,12432.3,7589.77
Overall Tomato Production,0607900000,Guimaras,26.69,34.64,40.77,44.14,50.06,36.02
Overall Tomato Production,0701200000,Bohol,1273.5,1121.85,1011.08,997.99,940.02,59.78
Overall Tomato Production,0702200000,Cebu,2072.81,2064.0,2260.98,2109.21,2071.52,355.88
Overall Tomato Production,0802600000,Eastern Samar,23.56,23.64,24.0,21.35,18.34,
Overall Tomato Production,0803700000,Leyte,204.42,187.11,203.84,202.2,196.7,34.0
Overall Tomato Production,0804800000,Northern Samar,28.85,29.23,27.79,24.84,17.35,
Overall Tomato Production,0806000000,Samar (Western Samar),94.04,97.26,93.86,82.68,87.21,0.68
Overall Tomato Production,0806400000,Southern Leyte,203.93,170.45,182.82,183.22,166.45,1.5
Overall Tomato Production,0807800000,Biliran,52.5,41.71,37.08,25.3,24.58,1.09
Overall Tomato Production,0906600000,,22.88,23.19,23.95,23.9,23.77,1.72
Overall Tomato Production,0907200000,Zamboanga del Norte,308.36,267.09,226.89,218.73,222.02,17.05
Overall Tomato Production,0907300000,Zamboanga del Sur,968.93,1055.5,5850.96,3022.61,1341.74,272.3
Overall Tomato Production,0907400000,Zamboanga City,4723.45,4742.92,,,545.8,184.13
Overall Tomato Production,0908300000,Zamboanga Sibugay,188.22,175.1,185.35,178.83,187.89,42.44
Overall Tomato Production,1001300000,Bukidnon,40988.13,42203.93,41496.99,40630.12,38177.46,4287.71
Overall Tomato Production,1001800000,Camiguin,62.55,65.72,63.12,55.98,58.67,1.19
Overall Tomato Production,1003500000,Lanao del Norte,609.25,618.0,613.0,611.0,612.0,192.2
Overall Tomato Production,1004200000,Misamis Occidental,650.5,630.66,607.83,599.74,613.04,133.77
Overall Tomato Production,1004300000,Misamis Oriental,5922.91,6895.23,6524.47,6244.85,6056.86,222.2
Overall Tomato Production,1102300000,Davao del Norte,76.3,73.8,75.24,72.48,69.24,6.99
Overall Tomato Production,1102400000,Davao del Sur,2398.59,2398.14,3950.71,3834.1,2943.96,846.65
Overall Tomato Production,1102500000,Davao Oriental,253.27,244.82,260.07,261.29,264.08,29.75
Overall Tomato Production,1108200000,Davao de Oro (Compostela Valley),940.29,912.66,964.86,914.95,934.5,125.32
Overall Tomato Production,1108600000,Davao Occidental,116.53,108.34,106.56,104.16,112.53,38.07
Overall Tomato Production,1130700000,Davao City,884.29,947.83,,,1226.65,381.85
Overall Tomato Production,1204700000,Cotabato (North Cotabato),3795.36,3920.87,3097.7,2088.39,2239.86,771.26
Overall Tomato Production,1206300000,South Cotabato,355.91,432.73,529.58,694.55,893.06,322.69
Overall Tomato Production,1206500000,Sultan Kudarat,397.58,394.45,396.91,475.47,515.42,197.93
Overall Tomato Production,1208000000,Sarangani,227.25,229.88,203.92,239.09,301.0,64.0
Overall Tomato Production,1400100000,Abra,449.76,444.92,434.56,399.29,382.9,117.71
Overall Tomato Production,1401100000,Benguet,1640.69,1369.65,1593.65,2107.12,1800.92,666.84
Overall Tomato Production,1402700000,Ifugao,183.44,347.84,596.24,1112.92,5412.39,2809.66
Overall Tomato Production,1403200000,Kalinga,51.01,55.26,57.4,53.8,50.3,33.78
Overall Tomato Production,1404400000,Mountain Province,534.73,526.47,386.89,429.34,445.84,236.8
Overall Tomato Production,1408100000,Apayao,11.67,12.74,11.86,13.12,12.02,11.44
Overall Tomato Production,1600200000,Agusan del Norte,72.85,73.12,72.73,72.15,71.2,4.23
Overall Tomato Production,1600300000,Agusan del Sur,371.14,368.92,349.82,297.75,308.02,33.17
Overall Tomato Production,1606700000,Surigao del Norte,12.68,5.87,2.26,2.36,2.98,0.5
Overall Tomato Production,1606800000,Surigao del Sur,72.95,107.53,41.36,3.37,1.35,0.34
Overall Tomato Production,1608500000,Dinagat Islands,8.52,6.14,12.42,9.76,5.31,0.33
Overall Tomato Production,1630400000,Butuan City,,,,,,2.18
Overall Tomato Production,1704000000,Marinduque,60.54,65.28,70.3,75.77,64.68,35.53
Overall Tomato Production,1705100000,Occidental Mindoro,1317.27,1175.9,1067.23,641.29,943.99,137.03
Overall Tomato Production,1705200000,Oriental Mindoro,1324.45,1554.67,1218.34,1119.64,962.71,5.43
Overall Tomato Production,1705300000,Palawan,599.16,525.97,323.92,321.8,335.88,131.83
Overall Tomato Production,1705900000,Romblon,235.83,207.76,295.82,236.68,266.27,129.81
Overall Tomato Production,1731500000,Puerto Princesa City,,,,,,63.86
Overall Tomato Production,1804500000,Negros Occidental,290.19,273.77,281.8,290.87,324.29,219.64
Overall Tomato Production,1804600000,Negros Oriental,1123.13,1127.9,1362.35,1242.08,808.19,190.69
Overall Tomato Production,1806100000,Siquijor,20.99,21.16,22.69,19.08,17.51,5.53
Overall Tomato Production,1830200000,Bacolod City,,,,,,
Overall Tomato Production,1900700000,Basilan,25.97,27.64,27.45,8.6,10.23,0.84
Overall Tomato Production,1903600000,Lanao del Sur,36.27,35.81,28.07,38.13,127.48,30.1
Overall Tomato Production,1907000000,Tawi-Tawi,4.75,4.35,3.91,4.28,7.19,0.5
Overall Tomato Production,1908700000,Maguindanao del Norte,,,,,511.23,154.05
Overall Tomato Production,1908800000,Maguindanao del Sur,296.4,289.2,281.25,324.65,398.75,1150.93
