Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall White Potato Production,0102800000,Ilocos Norte,,,,,,
Overall White Potato Production,0102900000,Ilocos Sur,,,,,,
Overall White Potato Production,0103300000,La Union,,,,,,
Overall White Potato Production,0105500000,Pangasinan,,,,,,
Overall White Potato Production,0200900000,Batanes,,,,,0.55,
Overall White Potato Production,0201500000,Cagayan,,,,0.01,,
Overall White Potato Production,0203100000,Isabela,0.46,0.42,0.37,0.37,,
Overall White Potato Production,0205000000,Nueva Vizcaya,424.38,444.64,443.0,620.53,700.56,502.6
Overall White Potato Production,0205700000,Quirino,3.41,3.14,2.95,2.33,2.58,
Overall White Potato Production,0300800000,Bataan,,,,,,
Overall White Potato Production,0301400000,Bulacan,,,,,,
Overall White Potato Production,0304900000,Nueva Ecija,,,,,,
Overall White Potato Production,0305400000,Pampanga,,,,,,
Overall White Potato Production,0306900000,Tarlac,,,,,,
Overall White Potato Production,0307100000,Zambales,,,,,,
Overall White Potato Production,0307700000,Aurora,,,,,,
Overall White Potato Production,0401000000,Batangas,,,,,,
Overall White Potato Production,0402100000,Cavite,,,,0.01,,
Overall White Potato Production,0403400000,Laguna,,,,,,
Overall White Potato Production,0405600000,Quezon,,,,0.08,,
Overall White Potato Production,0405800000,Rizal,,,,,,
Overall White Potato Production,0500500000,Albay,,,,,,
Overall White Potato Production,0501600000,Camarines Norte,,,0.24,,,
Overall White Potato Production,0501700000,Camarines Sur,,,,,,0.35
Overall White Potato Production,0502000000,Catanduanes,,,,,0.12,
Overall White Potato Production,0504100000,Masbate,,,,,,
Overall White Potato Production,0506200000,Sorsogon,,,,,,
Overall White Potato Production,0600400000,Aklan,,,,,,
Overall White Potato Production,0600600000,Antique,,,,,0.13,
Overall White Potato Production,0601900000,Capiz,,,,,,
Overall White Potato Production,0603000000,Iloilo,,,,,,
Overall White Potato Production,0607900000,Guimaras,,,,,,
Overall White Potato Production,0701200000,Bohol,,,,,,
Overall White Potato Production,0702200000,Cebu,,,0.46,0.1,,
Overall White Potato Production,0802600000,Eastern Samar,,,,,,
Overall White Potato Production,0803700000,Leyte,,,,,,
Overall White Potato Production,0804800000,Northern Samar,,,,,,
Overall White Potato Production,0806000000,Samar (Western Samar),,,,,,
Overall White Potato Production,0806400000,Southern Leyte,,,,0.1,,
Overall White Potato Production,0807800000,Biliran,,,,,,
Overall White Potato Production,0906600000,,,,,,,
Overall White Potato Production,0907200000,Zamboanga del Norte,,,6.03,5.74,,
Overall White Potato Production,0907300000,Zamboanga del Sur,,,,,,
Overall White Potato Production,0907400000,Zamboanga City,,,,,,
Overall White Potato Production,0908300000,Zamboanga Sibugay,,,,,,
Overall White Potato Production,1001300000,Bukidnon,5869.93,5967.76,5816.49,5717.82,5597.08,862.49
Overall White Potato Production,1001800000,Camiguin,,,,,,
Overall White Potato Production,1003500000,Lanao del Norte,,,,,,10.04
Overall White Potato Production,1004200000,Misamis Occidental,,,,,,
Overall White Potato Production,1004300000,Misamis Oriental,,,,,1.52,1.5
Overall White Potato Production,1102300000,Davao del Norte,,,,,0.51,0.49
Overall White Potato Production,1102400000,Davao del Sur,11990.41,11676.2,10957.93,10791.81,10446.92,2109.16
Overall White Potato Production,1102500000,Davao Oriental,,,,,,
Overall White Potato Production,1108200000,Davao de Oro (Compostela Valley),,,,,,
Overall White Potato Production,1108600000,Davao Occidental,,,,,,
Overall White Potato Production,1130700000,Davao City,14.74,14.84,,,9.24,4.56
Overall White Potato Production,1204700000,Cotabato (North Cotabato),166.68,131.49,51.45,17.95,14.03,3.63
Overall White Potato Production,1206300000,South Cotabato,250.93,238.5,201.8,254.32,273.06,71.36
Overall White Potato Production,1206500000,Sultan Kudarat,149.11,137.69,59.52,10.89,,
Overall White Potato Production,1208000000,Sarangani,48.55,49.61,48.55,38.0,15.0,5.19
Overall White Potato Production,1400100000,Abra,,,,0.11,2.72,
Overall White Potato Production,1401100000,Benguet,74721.3,79278.66,73806.88,76487.33,81331.68,16795.53
