Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,1.0135769701919153,0.9961208656594529
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,1.8535127055306426,4.382211538461538
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,7.6354051054384025,7.185
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,1.6808988764044945,0.8514285714285714
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,2.877734877734878,8.36
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,2.240451388888889,2.07
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,6.260904903820103,9.687408384637937
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,11.077624637029162,9.508104575163399
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,5.196523834107727,5.533940006740816
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,5.711134615384616,10.062395749675666
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,1.680672268907563,1.0457142857142858
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,4.912996326744796,1.9906291834002678
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,3.448083867772987,2.778207607994842
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,3.130692789525738,5.064763855113273
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,2.6054723326199936,1.140221402214022
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,1.387090577274037,3.6363636363636362
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,6.854279612288485,3.3798379837983803
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,6.955003126954346,11.674036363636365
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,6.370404398672422,6.92545988258317
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,12.817020473233763,7.761362629573846
