Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Bariw,CAR,Abra,1400100000,,,,,,,
Bariw,CAR,Apayao,1408100000,,,,,,,
Bariw,CAR,Benguet,1401100000,,,,,,,
Bariw,CAR,Ifugao,1402700000,,,,,,,
Bariw,CAR,Kalinga,1403200000,,,,,,,
Bariw,CAR,Mountain Province,1404400000,,,,,,,
Bariw,Region I,Ilocos Norte,0102800000,,,,,,,
Bariw,Region I,Ilocos Sur,0102900000,,,,,,,
Bariw,Region I,La Union,0103300000,,,,,,,
Bariw,Region I,Pangasinan,0105500000,,,,,,,
Bariw,Region II,Batanes,0200900000,,,,,,,
Bariw,Region II,Cagayan,0201500000,,,,,,,
Bariw,Region II,Isabela,0203100000,,,,,,,
Bariw,Region II,Nueva Vizcaya,0205000000,,,,,,,
Bariw,Region II,Quirino,0205700000,,,,,,,
Bariw,Region III,Aurora,0307700000,,,,,,,
Bariw,Region III,Bataan,0300800000,,,,,,,
Bariw,Region III,Bulacan,0301400000,,,,,,,
Bariw,Region III,Nueva Ecija,0304900000,,,,,,,
Bariw,Region III,Pampanga,0305400000,,,,,,,
Bariw,Region III,Tarlac,0306900000,,,,,,,
Bariw,Region III,Zambales,0307100000,,,,,,,
Bariw,Region IV-A,Batangas,0401000000,,,,,,,
Bariw,Region IV-A,Cavite,0402100000,,,,,,,
Bariw,Region IV-A,Laguna,0403400000,,,,,,,
Bariw,Region IV-A,Quezon,0405600000,,,,,,,
Bariw,Region IV-A,Rizal,0405800000,,,,,,,
Bariw,MIMAROPA,Marinduque,1704000000,,,,,,,
Bariw,MIMAROPA,Occidental Mindoro,1705100000,,,,,,,
Bariw,MIMAROPA,Oriental Mindoro,1705200000,,,,,,,
Bariw,MIMAROPA,Palawan,1705300000,,,,,,,
Bariw,MIMAROPA,Romblon,1705900000,,,,,,,
Bariw,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,
Bariw,Region V,Albay,0500500000,,,,,,,
Bariw,Region V,Camarines Norte,0501600000,,,,,,,
Bariw,Region V,Camarines Sur,0501700000,,,,,,,
Bariw,Region V,Catanduanes,0502000000,,,,,,,
Bariw,Region V,Masbate,0504100000,,,,,,,
Bariw,Region V,Sorsogon,0506200000,,,,,,,
Bariw,Region VI,Aklan,0600400000,,,,,,5.15055556,1.26555556
Bariw,Region VI,Antique,0600600000,,,,,,1.49848485,0.47575758
Bariw,Region VI,Capiz,0601900000,,,,,,,
Bariw,Region VI,Guimaras,0607900000,,,,,,8.12828947,8.46052632
Bariw,Region VI,Iloilo,0603000000,,,,,,,
Bariw,NIR,Negros Occidental,1804500000,,,,,,,
Bariw,NIR,Negros Occidental,1804500000,,,,,,,
Bariw,NIR,Negros Oriental,1804600000,,,,,,,
Bariw,NIR,Siquijor,1806100000,,,,,,,
Bariw,NIR,City of Bacolod,1830200000,,,,,,,
Bariw,Region VII,Bohol,0701200000,,,,,,0.94680851,
Bariw,Region VII,Cebu,0702200000,,,,,,,
Bariw,NIR,Negros Oriental,1804600000,,,,,,,
Bariw,NIR,Siquijor,1806100000,,,,,,,
Bariw,Region VIII,Biliran,0807800000,,,,,,0.36000000,0.41666667
Bariw,Region VIII,Eastern Samar,0802600000,,,,,,0.33815789,0.31578947
Bariw,Region VIII,Leyte,0803700000,,,,,,0.16195373,0.11864407
Bariw,Region VIII,Northern Samar,0804800000,,,,,,0.00000000,
Bariw,Region VIII,Samar,0806000000,,,,,,,
Bariw,Region VIII,Southern Leyte,0806400000,,,,,,,
Bariw,Region IX,Sulu,0906600000,,,,,,,
Bariw,Region IX,Zamboanga del Norte,0907200000,,,,,,,
Bariw,Region IX,Zamboanga del Sur,0907300000,,,,,,,
Bariw,Region IX,Zamboanga Sibugay,0908300000,,,,,,,
Bariw,Region IX,City of Zamboanga,0907400000,,,,,,,
Bariw,Region X,Bukidnon,1001300000,,,,,,,
Bariw,Region X,Camiguin,1001800000,,,,,,,
Bariw,Region X,Lanao del Norte,1003500000,,,,,,,
Bariw,Region X,Misamis Occidental,1004200000,,,,,,,
Bariw,Region X,Misamis Oriental,1004300000,,,,,,,
Bariw,Region XI,Davao de Oro,1108200000,,,,,,,
Bariw,Region XI,Davao del Norte,1102300000,,,,,,,
Bariw,Region XI,Davao del Sur,1102400000,,,,,,,
Bariw,Region XI,Davao Occidental,1108600000,,,,,,,
Bariw,Region XI,Davao Oriental,1102500000,,,,,,,
Bariw,Region XI,City of Davao,1130700000,,,,,,,
Bariw,Region XII,Cotabato,1204700000,,,,,,,
Bariw,Region XII,Sarangani,1208000000,,,,,,,
Bariw,Region XII,Sultan Kudarat,1206500000,,,,,,,
Bariw,Region XII,South Cotabato,1206300000,,,,,,,
Bariw,Region XIII,Agusan del Norte,1600200000,,,,,,,0.02000000
Bariw,Region XIII,Agusan del Sur,1600300000,,,,,,,
Bariw,Region XIII,Dinagat Islands,1608500000,,,,,,,
Bariw,Region XIII,Surigao del Norte,1606700000,,,,,,,
Bariw,Region XIII,Surigao del Sur,1606800000,,,,,,,
Bariw,Region XIII,City of Butuan,1630400000,,,,,,,
Bariw,BARMM,Basilan,1900700000,,,,,,,
Bariw,BARMM,Lanao del Sur,1903600000,,,,,,,
Bariw,BARMM,Maguindanao,1908800000,,,,,,,
Bariw,BARMM,Maguindanao del Norte,1908700000,,,,,,,
Bariw,BARMM,Maguindanao del Sur,1908800000,,,,,,,
Bariw,BARMM,Sulu,0906600000,,,,,,,
Bariw,BARMM,Tawi-tawi,1907000000,,,,,,,
