Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Bell Pepper,CAR,Abra,1400100000,,,,,,,
Bell Pepper,CAR,Apayao,1408100000,,,,,,,
Bell Pepper,CAR,Benguet,1401100000,,,,,,12.60,16.34
Bell Pepper,CAR,Ifugao,1402700000,,,,,,3.59,8.15
Bell Pepper,CAR,Kalinga,1403200000,,,,,,,
Bell Pepper,CAR,Mountain Province,1404400000,,,,,,3.68,0.63
Bell Pepper,Region I,Ilocos Norte,0102800000,,,,,,3.33,7.43
Bell Pepper,Region I,Ilocos Sur,0102900000,,,,,,5.48,9.83
Bell Pepper,Region I,La Union,0103300000,,,,,,0.75,0.81
Bell Pepper,Region I,Pangasinan,0105500000,,,,,,6.30,6.21
Bell Pepper,Region II,Batanes,0200900000,,,,,,1.14,0.34
Bell Pepper,Region II,Cagayan,0201500000,,,,,,1.24,2.90
Bell Pepper,Region II,Isabela,0203100000,,,,,,0.87,1.01
Bell Pepper,Region II,Nueva Vizcaya,0205000000,,,,,,3.34,4.46
Bell Pepper,Region II,Quirino,0205700000,,,,,,0.71,0.16
Bell Pepper,Region III,Aurora,0307700000,,,,,,0.03,2.00
Bell Pepper,Region III,Bataan,0300800000,,,,,,,
Bell Pepper,Region III,Bulacan,0301400000,,,,,,13.79,4.58
Bell Pepper,Region III,Nueva Ecija,0304900000,,,,,,1.29,0.79
Bell Pepper,Region III,Pampanga,0305400000,,,,,,,
Bell Pepper,Region III,Tarlac,0306900000,,,,,,,
Bell Pepper,Region III,Zambales,0307100000,,,,,,5.00,3.01
Bell Pepper,Region IV-A,Batangas,0401000000,,,,,,3.45,5.60
Bell Pepper,Region IV-A,Cavite,0402100000,,,,,,8.17,4.05
Bell Pepper,Region IV-A,Laguna,0403400000,,,,,,0.16,6.23
Bell Pepper,Region IV-A,Quezon,0405600000,,,,,,1.61,0.75
Bell Pepper,Region IV-A,Rizal,0405800000,,,,,,,2.78
Bell Pepper,MIMAROPA,Marinduque,1704000000,,,,,,0.41,0.17
Bell Pepper,MIMAROPA,Occidental Mindoro,1705100000,,,,,,,
Bell Pepper,MIMAROPA,Oriental Mindoro,1705200000,,,,,,0.97,0.01
Bell Pepper,MIMAROPA,Palawan,1705300000,,,,,,2.12,1.73
Bell Pepper,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,1.99
Bell Pepper,MIMAROPA,Romblon,1705900000,,,,,,4.35,0.98
Bell Pepper,Region V,Albay,0500500000,,,,,,,
Bell Pepper,Region V,Camarines Norte,0501600000,,,,,,2.62,2.00
Bell Pepper,Region V,Camarines Sur,0501700000,,,,,,0.72,2.00
Bell Pepper,Region V,Catanduanes,0502000000,,,,,,5.00,1.00
Bell Pepper,Region V,Masbate,0504100000,,,,,,,
Bell Pepper,Region V,Sorsogon,0506200000,,,,,,2.86,0.73
