Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Cabbage,Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,8.3,9.95
Cabbage,Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,1.55,0
Cabbage,Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,22.61,22.61
Cabbage,Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,16.62,7.75
Cabbage,Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,0.75,1.04
Cabbage,Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,14.07,7.88
Cabbage,Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,7.18,12.84
Cabbage,Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,9.95,12.39
Cabbage,Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,1.92,0
Cabbage,Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,0,0
Cabbage,Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,4.18,3.25
Cabbage,Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,13.26,13.08
Cabbage,Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,3.13,2.4
Cabbage,Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,4.98,8.17
Cabbage,Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,4.46,10
Cabbage,Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,0,0
Cabbage,Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,0,0
Cabbage,Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,0,0
Cabbage,Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,0,0
Cabbage,Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,0,0
Cabbage,Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,0,0
Cabbage,Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,0,0
Cabbage,Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,0,0
Cabbage,Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,13.1,0
Cabbage,Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,4.62,5.23
Cabbage,Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,5.86,6.34
Cabbage,Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,10,0
Cabbage,MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,0,0
Cabbage,MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,2.57,0.6
Cabbage,MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,0,0
Cabbage,MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,0,0
Cabbage,MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Cabbage,MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,0,0
Cabbage,Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,0,0
Cabbage,Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,0,0
Cabbage,Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,4.5,0
Cabbage,Region V (Bicol Region),Catanduanes,0502000000,0,0,0,0,0,0,0
Cabbage,Region V (Bicol Region),Masbate,0504100000,0,0,0,0,0,0,0
Cabbage,Region V (Bicol Region),Sorsogon,0506200000,0,0,0,0,0,0,0
Cabbage,Region VI (Western Visayas),Aklan,0600400000,0,0,0,0,0,15.36,3.98
Cabbage,Region VI (Western Visayas),Antique,0600600000,0,0,0,0,0,7.54,7.33
Cabbage,Region VI (Western Visayas),Capiz,0601900000,0,0,0,0,0,0,0
Cabbage,Region VI (Western Visayas),Guimaras,0607900000,0,0,0,0,0,1.5,0
Cabbage,Region VI (Western Visayas),Iloilo,0603000000,0,0,0,0,0,7.7,8.69
Cabbage,Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,0,0
Cabbage,Region VI (Western Visayas),Negros Occidental a/,1804500000,0,0,0,0,0,6.76,5.07
Cabbage,Negros Island Region (NIR),City of Bacolod,1830200000,0,0,0,0,0,0,0
Cabbage,Negros Island Region (NIR),Negros Oriental b/,1804600000,0,0,0,0,0,6.86,11.37
Cabbage,Negros Island Region (NIR),Siquijor b/,1806100000,0,0,0,0,0,0,0
Cabbage,Region VII (Central Visayas),Bohol,0701200000,0,0,0,0,0,4.22,5
Cabbage,Region VII (Central Visayas),Cebu,0702200000,0,0,0,0,0,14.89,15.46
Cabbage,Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,0,0
Cabbage,Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,0,0
Cabbage,Region VIII (Eastern Visayas),Biliran,0807800000,0,0,0,0,0,2.2,0
Cabbage,Region VIII (Eastern Visayas),Eastern Samar,0802600000,0,0,0,0,0,0,0
Cabbage,Region VIII (Eastern Visayas),Leyte,0803700000,0,0,0,0,0,2.82,2.94
Cabbage,Region VIII (Eastern Visayas),Northern Samar,0804800000,0,0,0,0,0,0,0
Cabbage,Region VIII (Eastern Visayas),Samar,0806000000,0,0,0,0,0,0,0
Cabbage,Region VIII (Eastern Visayas),Southern Leyte,0806400000,0,0,0,0,0,0.56,0.39
Cabbage,Region IX (Zamboanga Peninsula),Sulu c/,1906600000,0,0,0,0,0,0,0
Cabbage,Region IX (Zamboanga Peninsula),Zamboanga del Norte,0907200000,0,0,0,0,0,5.15,0.72
Cabbage,Region IX (Zamboanga Peninsula),Zamboanga del Sur,0907300000,0,0,0,0,0,3.78,2.65
Cabbage,Region IX (Zamboanga Peninsula),City of Zamboanga,0907400000,0,0,0,0,0,4.36,2.48
Cabbage,Region IX (Zamboanga Peninsula),Zamboanga Sibugay,0908300000,0,0,0,0,0,3.03,2.06
Cabbage,Region X (Northern Mindanao),Bukidnon,1001300000,0,0,0,0,0,11.97,12.17
Cabbage,Region X (Northern Mindanao),Camiguin,1001800000,0,0,0,0,0,3.56,3.56
Cabbage,Region X (Northern Mindanao),Lanao del Norte,1003500000,0,0,0,0,0,2.44,5.4
Cabbage,Region X (Northern Mindanao),Misamis Occidental,1004200000,0,0,0,0,0,4.44,3.21
Cabbage,Region X (Northern Mindanao),Misamis Oriental,1004300000,0,0,0,0,0,12.59,17.88
Cabbage,Region XI (Davao Region),Davao de Oro,1108200000,0,0,0,0,0,9.64,10.97
Cabbage,Region XI (Davao Region),Davao del Norte,1102300000,0,0,0,0,0,0,0
Cabbage,Region XI (Davao Region),Davao del Sur,1102400000,0,0,0,0,0,13.98,10.56
Cabbage,Region XI (Davao Region),City of Davao,1130700000,0,0,0,0,0,9.35,12.78
Cabbage,Region XI (Davao Region),Davao Occidental,1108600000,0,0,0,0,0,8.73,11.12
Cabbage,Region XI (Davao Region),Davao Oriental,1102500000,0,0,0,0,0,0,0
