Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
"Chinese cabbage (Wongbok, Pechay Baguio)",Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,1.6336710833982853,5.174545454545455
"Chinese cabbage (Wongbok, Pechay Baguio)",Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,0,0
"Chinese cabbage (Wongbok, Pechay Baguio)",Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,19.56072075471698,17.2394125
"Chinese cabbage (Wongbok, Pechay Baguio)",Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,11.684583746986243,12.003595505617977
"Chinese cabbage (Wongbok, Pechay Baguio)",Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,20.384615384615383,0
"Chinese cabbage (Wongbok, Pechay Baguio)",Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,11.313047018115206,7.270555555555556
"Chinese cabbage (Wongbok, Pechay Baguio)",Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,0,0
"Chinese cabbage (Wongbok, Pechay Baguio)",Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,1.3357142857142856,4.806451612903226
"Chinese cabbage (Wongbok, Pechay Baguio)",Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,0,0
"Chinese cabbage (Wongbok, Pechay Baguio)",Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,1.23,0
"Chinese cabbage (Wongbok, Pechay Baguio)",Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,1.38,1.3333333333333335
"Chinese cabbage (Wongbok, Pechay Baguio)",Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,1.9206349206349205,2
"Chinese cabbage (Wongbok, Pechay Baguio)",Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,0,0
"Chinese cabbage (Wongbok, Pechay Baguio)",Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,3.9639000635189494,4.3872
"Chinese cabbage (Wongbok, Pechay Baguio)",Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,0,0
"Chinese cabbage (Wongbok, Pechay Baguio)",Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,0,0
"Chinese cabbage (Wongbok, Pechay Baguio)",Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,0,0
"Chinese cabbage (Wongbok, Pechay Baguio)",Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,3,0
"Chinese cabbage (Wongbok, Pechay Baguio)",Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,0,0
"Chinese cabbage (Wongbok, Pechay Baguio)",Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,2.8286252354048966,14.2
"Chinese cabbage (Wongbok, Pechay Baguio)",Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,0,0
"Chinese cabbage (Wongbok, Pechay Baguio)",Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,0,0
