Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,3.8118230218468883,8.060522696011004
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,2.5759951749095293,3.222222222222222
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,6.208837107056496,12.084615384615384
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,1.7177966101694915,8.065909090909091
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,3.8869161431302928,14.725
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,3.4159999999999995,4.121951219512195
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,7.070469826005461,14.838805279973096
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,11.18468513476382,20.269269269269266
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,6.676232659715174,8.636135157777156
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,21.7072852628555,29.645581395348838
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,2.5986486486486484,1.8800000000000001
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,7.002995483907849,1.1589818181818183
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,7.909629686643127,4.817575757575757
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,8.620723499719576,9.956826464816373
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,3.2947860481841063,5
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,1.0099587482811783,0.12433962264150943
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,3.6864245842205214,0.5205742594277627
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,9.487186349949816,24.42180373694277
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,2.5575462564066127,6.190335968379446
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,15.635804344523775,28.731577192397467
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,9.450290122308122,18.25007264355484
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,6.503637643745599,10.492878436568398
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,6.875917859365278,6.82023988005997
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,6.130785309047476,4.9088
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,6.922892156862745,4.522800925925925
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,11.19805417357656,16.56084
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,13.454258200421307,14.360000000000001
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,2.930074182171957,0.6601332064700285
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,2.040689454827152,8.34974890652843
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,2.1839044893117765,0.5913913043478262
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,3.467239854030742,2.8656449044585988
Ampalaya fruit [Bitter gourd],MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,2.5004145936981756
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,4.027067111605488,5.041333333333333
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,5.4327882599580715,10.381125
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,2.542439024390244,1.2202020202020203
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,2.31462369887032,0.6382910375843238
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Catanduanes,0502000000,0,0,0,0,0,0.5668508287292817,0.035422343324250684
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Masbate,0504100000,0,0,0,0,0,4.179675854726133,1.395481418918919
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Sorsogon,0506200000,0,0,0,0,0,2.990880503144654,7.080246913580247
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Aklan,0600400000,0,0,0,0,0,3.822210140002719,3.0775
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Antique,0600600000,0,0,0,0,0,5.352566874652498,7.578367346938775
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Capiz,0601900000,0,0,0,0,0,5.5535917092561045,3.9723076923076923
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Guimaras,0607900000,0,0,0,0,0,8.263033486539724,7.8029776674937965
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Iloilo,0603000000,0,0,0,0,0,10.327399977053318,9.5152
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,0,0
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,4.607668810289389,3.9792
Ampalaya fruit [Bitter gourd],Negros Island Region (NIR),City of Bacolod,1830200000,0,0,0,0,0,0,0
Ampalaya fruit [Bitter gourd],Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,1.2926930468204054,1.0391732283464568
Ampalaya fruit [Bitter gourd],Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,8.106822262118492,3.79
Ampalaya fruit [Bitter gourd],Region VII (Central Visayas),Bohol,0701200000,0,0,0,0,0,5.7095352059453335,4.267666666666667
Ampalaya fruit [Bitter gourd],Region VII (Central Visayas),Cebu,0702200000,0,0,0,0,0,4.196405829913683,7.767347386912605
Ampalaya fruit [Bitter gourd],Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,0,0
Ampalaya fruit [Bitter gourd],Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,0,0
Ampalaya fruit [Bitter gourd],Region VIII (Eastern Visayas),Biliran,0807800000,0,0,0,0,0,3.9744268077601412,3.7964824120603016
Ampalaya fruit [Bitter gourd],Region VIII (Eastern Visayas),Eastern Samar,0802600000,0,0,0,0,0,10.154396984924624,1.3944723618090453
Ampalaya fruit [Bitter gourd],Region VIII (Eastern Visayas),Leyte,0803700000,0,0,0,0,0,6.65842105263158,13.391089108910892
Ampalaya fruit [Bitter gourd],Region VIII (Eastern Visayas),Northern Samar,0804800000,0,0,0,0,0,4.4817204301075275,1.1051282051282052
Ampalaya fruit [Bitter gourd],Region VIII (Eastern Visayas),Samar,0806000000,0,0,0,0,0,2.170180937455478,0.6945540647198106
Ampalaya fruit [Bitter gourd],Region VIII (Eastern Visayas),Southern Leyte,0806400000,0,0,0,0,0,1.7022594752186588,0.8523862375138734
Ampalaya fruit [Bitter gourd],Region IX (Zamboanga Peninsula),Sulu c/,0906600000,0,0,0,0,0,0,0.243010752688172
Ampalaya fruit [Bitter gourd],Region IX (Zamboanga Peninsula),Zamboanga del Norte,0907200000,0,0,0,0,0,3.6326737229636445,3.2439999999999998
Ampalaya fruit [Bitter gourd],Region IX (Zamboanga Peninsula),Zamboanga del Sur,0907300000,0,0,0,0,0,4.446102564102564,4.037142857142857
Ampalaya fruit [Bitter gourd],Region IX (Zamboanga Peninsula),City of Zamboanga,0907400000,0,0,0,0,0,9.224302849334482,9.608087564609303
Ampalaya fruit [Bitter gourd],Region IX (Zamboanga Peninsula),Zamboanga Sibugay,0908300000,0,0,0,0,0,3.9543844109831707,2.513824419778002
Ampalaya fruit [Bitter gourd],Region X (Northern Mindanao),Bukidnon,1001300000,0,0,0,0,0,4.6134471642637,8.09750812567714
Ampalaya fruit [Bitter gourd],Region X (Northern Mindanao),Camiguin,1001800000,0,0,0,0,0,6.130799605133267,4.822349570200572
Ampalaya fruit [Bitter gourd],Region X (Northern Mindanao),Lanao del Norte,1003500000,0,0,0,0,0,3.547869674185464,5.2817004048583
Ampalaya fruit [Bitter gourd],Region X (Northern Mindanao),Misamis Occidental,1004200000,0,0,0,0,0,2.6237500000000002,1.3236151603498543
Ampalaya fruit [Bitter gourd],Region X (Northern Mindanao),Misamis Oriental,1004300000,0,0,0,0,0,6.586656804733727,2.6350602409638557
Ampalaya fruit [Bitter gourd],Region XI (Davao Region),Davao de Oro,1108200000,0,0,0,0,0,4.258130357871819,0.5522226237802674
Ampalaya fruit [Bitter gourd],Region XI (Davao Region),Davao del Norte,1102300000,0,0,0,0,0,1.9775784753363228,2.8552083333333336
Ampalaya fruit [Bitter gourd],Region XI (Davao Region),Davao del Sur,1102400000,0,0,0,0,0,6.550425912293616,7.686765857478465
Ampalaya fruit [Bitter gourd],Region XI (Davao Region),City of Davao,1130700000,0,0,0,0,0,8.767584097859327,6.316428814135237
Ampalaya fruit [Bitter gourd],Region XI (Davao Region),Davao Occidental,1108600000,0,0,0,0,0,3.7054647160068845,5.685185185185185
Ampalaya fruit [Bitter gourd],Region XI (Davao Region),Davao Oriental,1102500000,0,0,0,0,0,0.728375,0.7023327549643339
