Commodity Type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1400100000,Abra,4.13,3.80,3.69,3.35,3.56
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1408100000,Apayao,3.74,3.38,3.62,3.82,3.73
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1401100000,Benguet,3.53,3.51,3.24,2.76,2.88
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1402700000,Ifugao,3.27,2.71,2.80,2.54,3.40
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1403200000,Kalinga,4.47,4.17,4.14,3.69,5.00
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1404400000,Mountain Province,3.27,3.26,3.12,3.10,3.20
Irrigated Palay,REGION I (ILOCOS REGION),0102800000,Ilocos Norte,5.24,5.28,5.28,5.37,5.47
Irrigated Palay,REGION I (ILOCOS REGION),0102900000,Ilocos Sur,5.02,5.18,5.23,5.09,4.68
Irrigated Palay,REGION I (ILOCOS REGION),0103300000,La Union,4.24,4.56,4.62,4.60,4.62
Irrigated Palay,REGION I (ILOCOS REGION),0105500000,Pangasinan,4.78,4.87,4.87,4.85,4.79
Irrigated Palay,REGION II (CAGAYAN VALLEY),0200900000,Batanes,0.00,0.00,0.00,0.00,0.00
Irrigated Palay,REGION II (CAGAYAN VALLEY),0201500000,Cagayan,4.79,4.72,4.85,4.69,4.94
Irrigated Palay,REGION II (CAGAYAN VALLEY),0203100000,Isabela,5.05,5.14,5.19,5.10,5.23
Irrigated Palay,REGION II (CAGAYAN VALLEY),0205000000,Nueva Vizcaya,4.79,4.44,4.50,4.48,4.99
Irrigated Palay,REGION II (CAGAYAN VALLEY),0205700000,Quirino,4.89,4.64,4.73,4.36,4.80
Irrigated Palay,REGION III (CENTRAL LUZON),0307700000,Aurora,4.45,4.43,4.43,4.17,4.14
Irrigated Palay,REGION III (CENTRAL LUZON),0300800000,Bataan,4.36,4.28,4.22,4.24,4.10
Irrigated Palay,REGION III (CENTRAL LUZON),0301400000,Bulacan,4.53,4.51,4.56,4.43,4.51
Irrigated Palay,REGION III (CENTRAL LUZON),0304900000,Nueva Ecija,5.99,6.11,6.30,6.07,6.07
Irrigated Palay,REGION III (CENTRAL LUZON),0305400000,Pampanga,5.04,4.83,4.92,4.82,4.66
Irrigated Palay,REGION III (CENTRAL LUZON),0306900000,Tarlac,4.35,4.29,4.36,4.41,4.45
Irrigated Palay,REGION III (CENTRAL LUZON),0307100000,Zambales,4.46,4.26,4.20,4.55,4.59
Irrigated Palay,REGION IV-A (CALABARZON),0401000000,Batangas,3.36,3.29,3.43,3.05,3.37
Irrigated Palay,REGION IV-A (CALABARZON),0402100000,Cavite,3.78,3.82,3.90,3.49,3.82
Irrigated Palay,REGION IV-A (CALABARZON),0403400000,Laguna,4.28,4.44,4.84,3.99,4.40
Irrigated Palay,REGION IV-A (CALABARZON),0405600000,Quezon,3.88,3.69,4.00,3.49,3.38
Irrigated Palay,REGION IV-A (CALABARZON),0405800000,Rizal,4.22,4.18,3.86,3.74,3.68
Irrigated Palay,MIMAROPA REGION,1704000000,Marinduque,3.66,3.67,3.59,3.63,3.73
Irrigated Palay,MIMAROPA REGION,1705100000,Occidental Mindoro,4.43,4.38,4.53,4.19,4.56
Irrigated Palay,MIMAROPA REGION,1705200000,Oriental Mindoro,3.98,3.81,3.72,3.55,3.60
Irrigated Palay,MIMAROPA REGION,1705300000,Palawan,4.19,4.22,4.26,4.25,4.31
Irrigated Palay,MIMAROPA REGION,1705900000,Romblon,3.86,3.89,3.69,3.57,3.81
Irrigated Palay,MIMAROPA REGION,1731500000,Puerto Princesa City,0.00,0.00,0.00,0.00,0.00
Irrigated Palay,REGION V (BICOL REGION),0500500000,Albay,4.40,4.41,4.48,3.96,4.16
Irrigated Palay,REGION V (BICOL REGION),0501600000,Camarines Norte,5.13,4.78,4.74,4.38,4.52
Irrigated Palay,REGION V (BICOL REGION),0501700000,Camarines Sur,4.09,3.96,3.88,3.75,3.74
Irrigated Palay,REGION V (BICOL REGION),0502000000,Catanduanes,3.13,3.26,2.59,3.39,3.79
Irrigated Palay,REGION V (BICOL REGION),0504100000,Masbate,3.21,3.27,3.10,2.98,3.27
Irrigated Palay,REGION V (BICOL REGION),0506200000,Sorsogon,4.51,4.42,4.42,4.26,3.48
Irrigated Palay,REGION VI (WESTERN VISAYAS),0600400000,Aklan,3.41,3.23,2.84,3.10,2.80
Irrigated Palay,REGION VI (WESTERN VISAYAS),0600600000,Antique,4.06,4.06,4.17,3.77,3.67
Irrigated Palay,REGION VI (WESTERN VISAYAS),0601900000,Capiz,3.67,3.60,3.48,3.55,3.70
Irrigated Palay,REGION VI (WESTERN VISAYAS),0607900000,Guimaras,3.67,3.59,3.60,3.46,3.52
Irrigated Palay,REGION VI (WESTERN VISAYAS),0603000000,Iloilo,3.66,3.58,3.56,3.45,3.41
Irrigated Palay,REGION VI (WESTERN VISAYAS),1804500000,Negros Occidental,4.02,3.87,3.98,0.00,0.00
Irrigated Palay,NEGROS ISLAND REGION,1804500000,Negros Occidental,0.00,0.00,0.00,3.85,3.39
Irrigated Palay,NEGROS ISLAND REGION,1804600000,Negros Oriental,0.00,0.00,0.00,2.99,3.53
Irrigated Palay,NEGROS ISLAND REGION,1806100000,Siquijor,0.00,0.00,0.00,3.61,4.21
Irrigated Palay,NEGROS ISLAND REGION,1830200000,Bacolod City,0.00,0.00,0.00,0.00,0.00
Irrigated Palay,REGION VII (CENTRAL VISAYAS),0701200000,Bohol,3.36,3.04,3.28,3.50,3.57
Irrigated Palay,REGION VII (CENTRAL VISAYAS),0702200000,Cebu,3.28,2.96,2.95,2.79,3.16
Irrigated Palay,REGION VII (CENTRAL VISAYAS),1804600000,Negros Oriental,2.93,2.71,3.01,0.00,0.00
Irrigated Palay,REGION VII (CENTRAL VISAYAS),1806100000,Siquijor,4.36,4.45,3.59,0.00,0.00
Irrigated Palay,REGION VIII (EASTERN VISAYAS),0807800000,Biliran,4.33,4.32,4.25,4.24,4.09
Irrigated Palay,REGION VIII (EASTERN VISAYAS),0802600000,Eastern Samar,3.39,3.04,3.31,3.11,2.76
Irrigated Palay,REGION VIII (EASTERN VISAYAS),0803700000,Leyte,4.34,4.27,4.38,4.42,4.28
Irrigated Palay,REGION VIII (EASTERN VISAYAS),0804800000,Northern Samar,3.07,2.93,2.91,2.91,2.90
Irrigated Palay,REGION VIII (EASTERN VISAYAS),0806000000,Samar,3.55,3.37,3.37,3.54,3.39
Irrigated Palay,REGION VIII (EASTERN VISAYAS),0806400000,Southern Leyte,4.23,3.97,3.96,4.08,3.88
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),1906600000,Sulu,0.00,0.00,0.00,0.00,0.00
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),0907200000,Zamboanga del Norte,4.10,3.85,3.73,3.98,4.19
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),0907300000,Zamboanga del Sur,4.75,4.55,4.66,4.55,4.83
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),0908300000,Zamboanga Sibugay,4.43,4.43,4.36,4.30,4.38
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),0907400000,Zamboanga City,0.00,0.00,0.00,0.00,4.57
Irrigated Palay,REGION X (NORTHERN MINDANAO),1001300000,Bukidnon,5.13,4.95,5.06,4.98,5.04
Irrigated Palay,REGION X (NORTHERN MINDANAO),1001800000,Camiguin,3.61,3.63,3.78,3.81,4.00
Irrigated Palay,REGION X (NORTHERN MINDANAO),1003500000,Lanao del Norte,4.89,4.80,4.72,4.34,4.67
Irrigated Palay,REGION X (NORTHERN MINDANAO),1004200000,Misamis Occidental,4.37,4.29,4.19,4.11,4.32
Irrigated Palay,REGION X (NORTHERN MINDANAO),1004300000,Misamis Oriental,3.87,4.02,4.22,4.19,4.25
Irrigated Palay,REGION XI (DAVAO REGION),1108200000,Davao de Oro (Compostela Valley),4.56,4.38,4.56,4.36,4.63
Irrigated Palay,REGION XI (DAVAO REGION),1102300000,Davao del Norte,4.43,4.32,4.47,4.27,4.42
Irrigated Palay,REGION XI (DAVAO REGION),1102400000,Davao del Sur,4.90,4.91,4.94,5.27,5.50
Irrigated Palay,REGION XI (DAVAO REGION),1108600000,Davao Occidental,4.73,4.44,4.38,4.45,4.32
Irrigated Palay,REGION XI (DAVAO REGION),1102500000,Davao Oriental,4.95,4.98,4.97,4.97,4.98
Irrigated Palay,REGION XI (DAVAO REGION),1130700000,City of Davao,0.00,0.00,0.00,0.00,5.49
Irrigated Palay,REGION XII (SOCCSKSARGEN),1204700000,Cotabato (North Cotabato),4.17,4.25,4.15,4.13,4.06
Irrigated Palay,REGION XII (SOCCSKSARGEN),1208000000,Sarangani,3.46,3.28,3.33,3.38,3.44
Irrigated Palay,REGION XII (SOCCSKSARGEN),1206300000,South Cotabato,3.84,3.72,3.71,3.73,3.62
Irrigated Palay,REGION XII (SOCCSKSARGEN),1206500000,Sultan Kudarat,3.79,3.68,3.90,3.73,3.67
Irrigated Palay,REGION XIII (CARAGA),1600200000,Agusan del Norte,3.27,3.38,3.49,3.52,3.57
Irrigated Palay,REGION XIII (CARAGA),1600300000,Agusan del Sur,3.54,3.62,3.59,3.75,3.65
Irrigated Palay,REGION XIII (CARAGA),1608500000,Dinagat Islands,2.30,2.32,2.05,2.55,2.67
Irrigated Palay,REGION XIII (CARAGA),1606700000,Surigao del Norte,3.43,3.28,3.65,3.69,3.63
Irrigated Palay,REGION XIII (CARAGA),1606800000,Surigao del Sur,3.11,3.19,3.14,3.70,3.38
