Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Lettuce,CAR,Abra,1400100000,,,,,,5.60,
Lettuce,CAR,Apayao,1408100000,,,,,,,
Lettuce,CAR,Benguet,1401100000,,,,,,13.93,16.95
Lettuce,CAR,Ifugao,1402700000,,,,,,,
Lettuce,CAR,Kalinga,1403200000,,,,,,0.20,0.00
Lettuce,CAR,Mountain Province,1404400000,,,,,,4.00,5.26
Lettuce,Region I,Ilocos Norte,0102800000,,,,,,1.67,
Lettuce,Region I,Ilocos Sur,0102900000,,,,,,,
Lettuce,Region I,La Union,0103300000,,,,,,,
Lettuce,Region I,Pangasinan,0105500000,,,,,,0.30,1.00
Lettuce,Region II,Batanes,0200900000,,,,,,2.63,2.55
Lettuce,Region II,Cagayan,0201500000,,,,,,0.40,9.89
Lettuce,Region II,Isabela,0203100000,,,,,,2.57,5.58
Lettuce,Region II,Nueva Vizcaya,0205000000,,,,,,1.14,7.98
Lettuce,Region II,Quirino,0205700000,,,,,,,
Lettuce,Region III,Aurora,0307700000,,,,,,,
Lettuce,Region III,Bataan,0300800000,,,,,,1.28,3.56
Lettuce,Region III,Bulacan,0301400000,,,,,,3.89,36.67
Lettuce,Region III,Nueva Ecija,0304900000,,,,,,0.00,
Lettuce,Region III,Pampanga,0305400000,,,,,,0.45,0.30
Lettuce,Region III,Tarlac,0306900000,,,,,,0.00,
Lettuce,Region III,Zambales,0307100000,,,,,,2.23,4.84
Lettuce,Region IV-A,Batangas,0401000000,,,,,,7.73,6.83
Lettuce,Region IV-A,Cavite,0402100000,,,,,,12.95,16.78
Lettuce,Region IV-A,Laguna,0403400000,,,,,,16.14,11.92
Lettuce,Region IV-A,Quezon,0405600000,,,,,,3.07,4.10
Lettuce,Region IV-A,Rizal,0405800000,,,,,,9.01,10.72
Lettuce,MIMAROPA,Marinduque,1704000000,,,,,,6.61,5.00
Lettuce,MIMAROPA,Occidental Mindoro,1705100000,,,,,,,
Lettuce,MIMAROPA,Oriental Mindoro,1705200000,,,,,,1.90,0.00
Lettuce,MIMAROPA,Palawan,1705300000,,,,,,,
Lettuce,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,2.04
Lettuce,MIMAROPA,Romblon,1705900000,,,,,,,1.50
Lettuce,Region V,Albay,0500500000,,,,,,1.11,0.00
Lettuce,Region V,Camarines Norte,0501600000,,,,,,,
Lettuce,Region V,Camarines Sur,0501700000,,,,,,6.33,10.38
Lettuce,Region V,Catanduanes,0502000000,,,,,,2.00,3.00
Lettuce,Region V,Masbate,0504100000,,,,,,1.10,
Lettuce,Region V,Sorsogon,0506200000,,,,,,19.56,19.67
Lettuce,Region VI,Aklan,0600400000,,,,,,3.50,4.58
Lettuce,Region VI,Antique,0600600000,,,,,,16.44,6.78
Lettuce,Region VI,Capiz,0601900000,,,,,,2.84,2.50
Lettuce,Region VI,Guimaras,0607900000,,,,,,11.78,36.90
Lettuce,Region VI,Iloilo,0603000000,,,,,,4.53,2.77
Lettuce,NIR,Negros Occidental,1804500000,,,,,,,
Lettuce,NIR,Negros Occidental,1804500000,,,,,,2.17,3.64
Lettuce,NIR,City of Bacolod,1830200000,,,,,,,6.13
Lettuce,NIR,Negros Oriental,1804600000,,,,,,6.68,15.01
Lettuce,NIR,Siquijor,1806100000,,,,,,10.50,
Lettuce,Region VII,Bohol,0701200000,,,,,,3.79,3.06
Lettuce,Region VII,Cebu,0702200000,,,,,,3.69,7.30
Lettuce,NIR,Negros Oriental,1804600000,,,,,,,
Lettuce,NIR,Siquijor,1806100000,,,,,,,
Lettuce,Region VIII,Biliran,0807800000,,,,,,3.23,3.58
Lettuce,Region VIII,Eastern Samar,0802600000,,,,,,,
Lettuce,Region VIII,Leyte,0803700000,,,,,,1.57,0.51
Lettuce,Region VIII,Northern Samar,0804800000,,,,,,0.58,
Lettuce,Region VIII,Samar,0806000000,,,,,,0.00,7.00
Lettuce,Region VIII,Southern Leyte,0806400000,,,,,,0.25,0.09
Lettuce,Region IX,Sulu,0906600000,,,,,,,
