Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,7.209166666666667,9.07
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,0.7238805970149254,0.7868852459016393
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,11.733485193621869,0
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,3.0911680911680914,4.013888888888889
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,2.531732418524871,12.185185185185185
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,0.6560509554140127,1.2291666666666667
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,5.650204060546573,10.170731707317074
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,7.7978008552229685,8.022916666666667
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,7.2084304172844735,8.264380530973451
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,4.571302217988842,1.646926406926407
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,1.468421052631579,1.65
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,3.9403347280334726,3039.2999999999997
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,7.9306916129791425,9.506212169480726
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,4.742771163155829,3.764431486880467
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,2.79424216765453,1.27427597955707
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,2.648497986992877,2.0867178924259058
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,4.227998514667657,4.723292469352014
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,6.941209964412812,38.70568746548869
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,6.904696449026346,21.413938973647713
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,2.163346892972366,0.2921052631578947
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,4.172536049112455,3.304913294797688
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,3.497161394971614,1.6167076167076166
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,10.384347826086957,2.598250728862974
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,26.761581469648565,3.4509803921568634
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,5.66081284495735,4.512676056338028
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,2.77804112931335,2.3145945945945945
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,6.958923512747876,25.656441717791413
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,2.338224504768892,3.003690036900369
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,1.5428410372040586,15.665562913907285
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,1.7430705857711375,0.008783603939313283
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,2.141530296329058,3.2239108409321178
Ampalaya fruit [Bitter gourd],MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,3.599374021909233
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,1.745601291364003,2.096363636363636
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,2.113928571428571,0.8544444444444445
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,3.3449675324675323,0.5
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,2.1191356041131106,2.3538111490329925
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Catanduanes,0502000000,0,0,0,0,0,2.3838028169014085,0.3380281690140845
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Masbate,0504100000,0,0,0,0,0,5.626342409755421,0.3954285714285714
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Sorsogon,0506200000,0,0,0,0,0,4.004742547425474,6.56
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Aklan,0600400000,0,0,0,0,0,5.691820102626018,5.75798776342624
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Antique,0600600000,0,0,0,0,0,2.2131361461505,4.993333333333334
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Capiz,0601900000,0,0,0,0,0,3.970785701324624,4.299656357388316
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Guimaras,0607900000,0,0,0,0,0,6.317549869030828,4.653714285714286
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Iloilo,0603000000,0,0,0,0,0,5.14143958091976,5.65943661971831
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,0,0
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,4.975576923076924,5.24
Ampalaya fruit [Bitter gourd],Negros Island Region (NIR),City of Bacolod,1830200000,0,0,0,0,0,0,0
Ampalaya fruit [Bitter gourd],Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,3.0016766020864383,2.379293778525102
Ampalaya fruit [Bitter gourd],Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,7.961764705882353,4.51111111111111
Ampalaya fruit [Bitter gourd],Region VII (Central Visayas),Bohol,0701200000,0,0,0,0,0,5.8417658730158735,3.2369999999999997
Ampalaya fruit [Bitter gourd],Region VII (Central Visayas),Cebu,0702200000,0,0,0,0,0,3.4058823529411764,7.177099236641221
Ampalaya fruit [Bitter gourd],Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,0,0
Ampalaya fruit [Bitter gourd],Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,0,0
Ampalaya fruit [Bitter gourd],Region VIII (Eastern Visayas),Biliran,0807800000,0,0,0,0,0,6.1931034482758625,16.52173913043478
Ampalaya fruit [Bitter gourd],Region VIII (Eastern Visayas),Eastern Samar,0802600000,0,0,0,0,0,9.15787037037037,1.6611111111111112
Ampalaya fruit [Bitter gourd],Region VIII (Eastern Visayas),Leyte,0803700000,0,0,0,0,0,3.845940594059406,1.0465116279069768
Ampalaya fruit [Bitter gourd],Region VIII (Eastern Visayas),Northern Samar,0804800000,0,0,0,0,0,1.628368794326241,1.912121212121212
Ampalaya fruit [Bitter gourd],Region VIII (Eastern Visayas),Samar,0806000000,0,0,0,0,0,1.7575757575757576,0.14583333333333331
Ampalaya fruit [Bitter gourd],Region VIII (Eastern Visayas),Southern Leyte,0806400000,0,0,0,0,0,2.628664495114007,1.5833333333333333
Ampalaya fruit [Bitter gourd],Region IX (Zamboanga Peninsula),Sulu c/,0906600000,0,0,0,0,0,0,1.0833333333333335
Ampalaya fruit [Bitter gourd],Region IX (Zamboanga Peninsula),Zamboanga del Norte,0907200000,0,0,0,0,0,3.531766580362478,2.331034482758621
Ampalaya fruit [Bitter gourd],Region IX (Zamboanga Peninsula),Zamboanga del Sur,0907300000,0,0,0,0,0,5.660152671755725,3.44375
Ampalaya fruit [Bitter gourd],Region IX (Zamboanga Peninsula),City of Zamboanga,0907400000,0,0,0,0,0,2.6880439761795696,1.4097902097902097
Ampalaya fruit [Bitter gourd],Region IX (Zamboanga Peninsula),Zamboanga Sibugay,0908300000,0,0,0,0,0,2.1279411764705882,1.0983164983164984
Ampalaya fruit [Bitter gourd],Region X (Northern Mindanao),Bukidnon,1001300000,0,0,0,0,0,3.2987059669302656,2.110055423594616
Ampalaya fruit [Bitter gourd],Region X (Northern Mindanao),Camiguin,1001800000,0,0,0,0,0,4.183973834832379,2.724324324324324
Ampalaya fruit [Bitter gourd],Region X (Northern Mindanao),Lanao del Norte,1003500000,0,0,0,0,0,1.5823144725618425,0.5616850551654965
Ampalaya fruit [Bitter gourd],Region X (Northern Mindanao),Misamis Occidental,1004200000,0,0,0,0,0,3.1198275862068963,1.6989655172413793
Ampalaya fruit [Bitter gourd],Region X (Northern Mindanao),Misamis Oriental,1004300000,0,0,0,0,0,3.485,2.0116666666666667
Ampalaya fruit [Bitter gourd],Region XI (Davao Region),Davao de Oro,1108200000,0,0,0,0,0,0.7379025162766145,0.18488289567068844
Ampalaya fruit [Bitter gourd],Region XI (Davao Region),Davao del Norte,1102300000,0,0,0,0,0,1.488610478359909,0.8979070954568658
Ampalaya fruit [Bitter gourd],Region XI (Davao Region),Davao del Sur,1102400000,0,0,0,0,0,1.7865464937348867,3.7012987012987013
Ampalaya fruit [Bitter gourd],Region XI (Davao Region),City of Davao,1130700000,0,0,0,0,0,2.4534386311286607,0.6656794998354721
Ampalaya fruit [Bitter gourd],Region XI (Davao Region),Davao Occidental,1108600000,0,0,0,0,0,3.4392344497607654,1.3660377358490567
Ampalaya fruit [Bitter gourd],Region XI (Davao Region),Davao Oriental,1102500000,0,0,0,0,0,3.6276923076923073,1.9725
Ampalaya fruit [Bitter gourd],Region XII (SOCCSKSARGEN),Cotabato,1204700000,0,0,0,0,0,2.4224632391281675,1.385283174865647
Ampalaya fruit [Bitter gourd],Region XII (SOCCSKSARGEN),Sarangani,1208000000,0,0,0,0,0,1.0756508422664623,1.0423529411764705
Ampalaya fruit [Bitter gourd],Region XII (SOCCSKSARGEN),Sultan Kudarat,1206500000,0,0,0,0,0,8.105567010309278,6.191
