Commodity Type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025
Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1400100000,Abra,3.86745945095262,3.5292066499813037,3.414159210019825,3.1534399093686996,3.3577983331806944
Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1408100000,Apayao,3.2949083470506446,3.180685358255452,3.320629658861703,3.343783626330561,3.418140528900626
Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1401100000,Benguet,3.4590762934814383,3.4214666955067874,3.1573392517140517,2.729998101273334,2.84276706231454
Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1402700000,Ifugao,3.289478291110373,2.742836655337457,2.824750348327162,2.5501002950808167,3.3518837100057413
Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1403200000,Kalinga,4.329888114611655,4.048623789474649,3.9906631065214317,3.5528613010696124,4.818932943795214
Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1404400000,Mountain Province,3.039930300096805,3.013976593740833,2.8800491198605864,2.8648599227938685,2.9315677076513955
Palay,REGION I (ILOCOS REGION),0102800000,Ilocos Norte,5.123013111715462,5.175311771424995,5.2049957806010925,5.270840755900064,5.367447786196192
Palay,REGION I (ILOCOS REGION),0102900000,Ilocos Sur,4.8455809531355225,4.920917042744525,4.989168322452455,4.87398692847734,4.512351553361486
Palay,REGION I (ILOCOS REGION),0103300000,La Union,4.116522827418977,4.457540339371226,4.524390094772241,4.4868684390699585,4.516216583229883
Palay,REGION I (ILOCOS REGION),0105500000,Pangasinan,4.570523278441054,4.772512108125462,4.771941301821,4.736975629556773,4.6833183567439045
Palay,REGION II (CAGAYAN VALLEY),0200900000,Batanes,0.41155015197568384,1.077543859649123,1.3333887043189367,1.000971817298348,1.3865830721003134
Palay,REGION II (CAGAYAN VALLEY),0201500000,Cagayan,4.541423031412753,4.472107481427226,4.5943330086046315,4.445070057517389,4.662384097467137
Palay,REGION II (CAGAYAN VALLEY),0203100000,Isabela,4.922114955780927,5.005118765417712,5.040794209863318,4.9493449499453765,5.077129937527519
