Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Pechay,CAR,Abra,1400100000,,,,,,1.24,1.87
Pechay,CAR,Apayao,1408100000,,,,,,1.99,2.84
Pechay,CAR,Benguet,1401100000,,,,,,18.91,17.00
Pechay,CAR,Ifugao,1402700000,,,,,,9.07,10.17
Pechay,CAR,Kalinga,1403200000,,,,,,5.99,234.94
Pechay,CAR,Mountain Province,1404400000,,,,,,10.68,6.96
Pechay,Region I,Ilocos Norte,0102800000,,,,,,7.68,7.38
Pechay,Region I,Ilocos Sur,0102900000,,,,,,4.60,4.24
Pechay,Region I,La Union,0103300000,,,,,,4.82,5.49
Pechay,Region I,Pangasinan,0105500000,,,,,,3.86,4.32
Pechay,Region II,Batanes,0200900000,,,,,,3.69,5.29
Pechay,Region II,Cagayan,0201500000,,,,,,4.22,7.54
Pechay,Region II,Isabela,0203100000,,,,,,5.71,6.67
Pechay,Region II,Nueva Vizcaya,0205000000,,,,,,4.00,4.38
Pechay,Region II,Quirino,0205700000,,,,,,4.49,9.48
Pechay,Region III,Aurora,0307700000,,,,,,1.85,7.95
Pechay,Region III,Bataan,0300800000,,,,,,5.16,5.13
Pechay,Region III,Bulacan,0301400000,,,,,,8.48,20.00
Pechay,Region III,Nueva Ecija,0304900000,,,,,,7.79,14.77
Pechay,Region III,Pampanga,0305400000,,,,,,7.16,7.22
Pechay,Region III,Tarlac,0306900000,,,,,,9.19,13.44
Pechay,Region III,Zambales,0307100000,,,,,,3.10,3.05
Pechay,Region IV-A,Batangas,0401000000,,,,,,4.28,11.90
Pechay,Region IV-A,Cavite,0402100000,,,,,,7.32,9.56
Pechay,Region IV-A,Laguna,0403400000,,,,,,8.35,7.07
Pechay,Region IV-A,Quezon,0405600000,,,,,,7.95,8.36
Pechay,Region IV-A,Rizal,0405800000,,,,,,2.28,24.18
Pechay,MIMAROPA,Marinduque,1704000000,,,,,,2.78,5.00
Pechay,MIMAROPA,Occidental Mindoro,1705100000,,,,,,8.88,2.20
Pechay,MIMAROPA,Oriental Mindoro,1705200000,,,,,,2.04,0.26
Pechay,MIMAROPA,Palawan,1705300000,,,,,,3.25,1.74
Pechay,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,4.90
Pechay,MIMAROPA,Romblon,1705900000,,,,,,4.16,7.10
Pechay,Region V,Albay,0500500000,,,,,,5.47,8.43
