Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Pineapple,CAR,Abra,1400100000,,,,,,4.240833,0.000000
Pineapple,CAR,Apayao,1408100000,,,,,,4.168909,
Pineapple,CAR,Benguet,1401100000,,,,,,1.370583,3.713000
Pineapple,CAR,Ifugao,1402700000,,,,,,1.060313,0.000000
Pineapple,CAR,Kalinga,1403200000,,,,,,0.433430,0.000000
Pineapple,CAR,Mountain Province,1404400000,,,,,,17.363158,0.000000
Pineapple,Region I,Ilocos Norte,0102800000,,,,,,1.934333,0.000000
Pineapple,Region I,Ilocos Sur,0102900000,,,,,,1.677917,0.473333
Pineapple,Region I,La Union,0103300000,,,,,,3.153254,0.042604
Pineapple,Region I,Pangasinan,0105500000,,,,,,3.106776,6.315789
Pineapple,Region II,Batanes,0200900000,,,,,,1.362791,
Pineapple,Region II,Cagayan,0201500000,,,,,,9.637838,0.000000
Pineapple,Region II,Isabela,0203100000,,,,,,8.908653,0.000000
Pineapple,Region II,Nueva Vizcaya,0205000000,,,,,,10.869157,2.234155
Pineapple,Region II,Quirino,0205700000,,,,,,2.905882,3.570000
Pineapple,Region III,Aurora,0307700000,,,,,,1.525513,0.025715
Pineapple,Region III,Bataan,0300800000,,,,,,12.250504,0.000000
Pineapple,Region III,Bulacan,0301400000,,,,,,4.226915,0.000000
Pineapple,Region III,Nueva Ecija,0304900000,,,,,,,
Pineapple,Region III,Pampanga,0305400000,,,,,,,
Pineapple,Region III,Tarlac,0306900000,,,,,,,
Pineapple,Region III,Zambales,0307100000,,,,,,0.432927,0.000000
Pineapple,Region IV-A,Batangas,0401000000,,,,,,4.705405,3.084000
Pineapple,Region IV-A,Cavite,0402100000,,,,,,6.364366,1.617815
Pineapple,Region IV-A,Laguna,0403400000,,,,,,2.048424,1.624788
Pineapple,Region IV-A,Quezon,0405600000,,,,,,4.015560,1.143920
Pineapple,Region IV-A,Rizal,0405800000,,,,,,3.572635,0.793043
Pineapple,MIMAROPA,Marinduque,1704000000,,,,,,3.592500,0.000000
Pineapple,MIMAROPA,Occidental Mindoro,1705100000,,,,,,2.895631,0.000000
Pineapple,MIMAROPA,Oriental Mindoro,1705200000,,,,,,1.239247,0.095750
Pineapple,MIMAROPA,Palawan,1705300000,,,,,,3.158611,3.108171
Pineapple,MIMAROPA,Romblon,1705900000,,,,,,0.906576,0.236228
Pineapple,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,4.500000
Pineapple,Region V,Albay,0500500000,,,,,,1.842917,0.083667
Pineapple,Region V,Camarines Norte,0501600000,,,,,,12.620565,36.299184
Pineapple,Region V,Camarines Sur,0501700000,,,,,,0.161317,0.409243
Pineapple,Region V,Catanduanes,0502000000,,,,,,9.636364,0.727273
Pineapple,Region V,Masbate,0504100000,,,,,,4.598736,0.792295
Pineapple,Region V,Sorsogon,0506200000,,,,,,1.060664,0.004286
Pineapple,Region VI,Aklan,0600400000,,,,,,4.090595,0.064436
Pineapple,Region VI,Antique,0600600000,,,,,,2.249377,2.552000
Pineapple,Region VI,Capiz,0601900000,,,,,,2.803543,0.366667
Pineapple,Region VI,Guimaras,0607900000,,,,,,1.662096,0.049610
