Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Radish,CAR,Abra,1400100000,,,,,,2.50,
Radish,CAR,Apayao,1408100000,,,,,,,
Radish,CAR,Benguet,1401100000,,,,,,13.47,16.65
Radish,CAR,Ifugao,1402700000,,,,,,,
Radish,CAR,Kalinga,1403200000,,,,,,,
Radish,CAR,Mountain Province,1404400000,,,,,,13.97,6.27
Radish,Region I,Ilocos Norte,0102800000,,,,,,,
Radish,Region I,Ilocos Sur,0102900000,,,,,,,
Radish,Region I,La Union,0103300000,,,,,,,
Radish,Region I,Pangasinan,0105500000,,,,,,3.84,7.02
Radish,Region II,Batanes,0200900000,,,,,,1.30,1.29
Radish,Region II,Cagayan,0201500000,,,,,,5.82,11.23
Radish,Region II,Isabela,0203100000,,,,,,3.93,3.78
Radish,Region II,Nueva Vizcaya,0205000000,,,,,,6.29,7.89
Radish,Region II,Quirino,0205700000,,,,,,0.53,
Radish,Region III,Aurora,0307700000,,,,,,,
Radish,Region III,Bataan,0300800000,,,,,,,
Radish,Region III,Bulacan,0301400000,,,,,,8.52,8.82
Radish,Region III,Nueva Ecija,0304900000,,,,,,3.78,2.45
Radish,Region III,Pampanga,0305400000,,,,,,4.19,5.60
Radish,Region III,Tarlac,0306900000,,,,,,3.42,5.92
Radish,Region III,Zambales,0307100000,,,,,,,
Radish,Region IV-A,Batangas,0401000000,,,,,,2.93,3.18
Radish,Region IV-A,Cavite,0402100000,,,,,,7.10,5.56
Radish,Region IV-A,Laguna,0403400000,,,,,,5.87,12.37
Radish,Region IV-A,Quezon,0405600000,,,,,,2.86,2.06
Radish,Region IV-A,Rizal,0405800000,,,,,,3.37,3.71
Radish,MIMAROPA,Marinduque,1704000000,,,,,,,
Radish,MIMAROPA,Occidental Mindoro,1705100000,,,,,,3.06,7.71
Radish,MIMAROPA,Oriental Mindoro,1705200000,,,,,,3.87,
Radish,MIMAROPA,Palawan,1705300000,,,,,,2.96,2.48
Radish,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,
Radish,MIMAROPA,Romblon,1705900000,,,,,,3.40,3.30
Radish,Region V,Albay,0500500000,,,,,,2.28,0.28
Radish,Region V,Camarines Norte,0501600000,,,,,,,
Radish,Region V,Camarines Sur,0501700000,,,,,,4.93,
Radish,Region V,Catanduanes,0502000000,,,,,,7.50,3.43
Radish,Region V,Masbate,0504100000,,,,,,,
Radish,Region V,Sorsogon,0506200000,,,,,,2.97,3.00
