Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Salago,CAR,Abra,1400100000,,,,,,,
Salago,CAR,Apayao,1408100000,,,,,,,
Salago,CAR,Benguet,1401100000,,,,,,,
Salago,CAR,Ifugao,1402700000,,,,,,,
Salago,CAR,Kalinga,1403200000,,,,,,,
Salago,CAR,Mountain Province,1404400000,,,,,,,
Salago,Region I,Ilocos Norte,0102800000,,,,,,,
Salago,Region I,Ilocos Sur,0102900000,,,,,,,
Salago,Region I,La Union,0103300000,,,,,,,
Salago,Region I,Pangasinan,0105500000,,,,,,,
Salago,Region II,Batanes,0200900000,,,,,,,
Salago,Region II,Cagayan,0201500000,,,,,,,
Salago,Region II,Isabela,0203100000,,,,,,,
Salago,Region II,Nueva Vizcaya,0205000000,,,,,,,
Salago,Region II,Quirino,0205700000,,,,,,,
Salago,Region III,Aurora,0307700000,,,,,,,
Salago,Region III,Bataan,0300800000,,,,,,,
Salago,Region III,Bulacan,0301400000,,,,,,,
Salago,Region III,Nueva Ecija,0304900000,,,,,,,
Salago,Region III,Pampanga,0305400000,,,,,,,
Salago,Region III,Tarlac,0306900000,,,,,,,
Salago,Region III,Zambales,0307100000,,,,,,,
Salago,Region IV-A,Batangas,0401000000,,,,,,,
Salago,Region IV-A,Cavite,0402100000,,,,,,,
Salago,Region IV-A,Laguna,0403400000,,,,,,,
Salago,Region IV-A,Quezon,0405600000,,,,,,,
Salago,Region IV-A,Rizal,0405800000,,,,,,,
Salago,MIMAROPA,Marinduque,1704000000,,,,,,,
Salago,MIMAROPA,Occidental Mindoro,1705100000,,,,,,,
Salago,MIMAROPA,Oriental Mindoro,1705200000,,,,,,,
Salago,MIMAROPA,Palawan,1705300000,,,,,,,
Salago,MIMAROPA,Romblon,1705900000,,,,,,,
Salago,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,
Salago,Region V,Albay,0500500000,,,,,,,
Salago,Region V,Camarines Norte,0501600000,,,,,,,
Salago,Region V,Camarines Sur,0501700000,,,,,,,
Salago,Region V,Catanduanes,0502000000,,,,,,,
Salago,Region V,Masbate,0504100000,,,,,,,
Salago,Region V,Sorsogon,0506200000,,,,,,,
Salago,Region VI,Aklan,0600400000,,,,,,,
Salago,Region VI,Antique,0600600000,,,,,,,
Salago,Region VI,Capiz,0601900000,,,,,,,
Salago,Region VI,Guimaras,0607900000,,,,,,,
Salago,Region VI,Iloilo,0603000000,,,,,,,
Salago,NIR,Negros Occidental,1804500000,,,,,,,
Salago,NIR,Negros Occidental,1804500000,,,,,,,
Salago,NIR,Negros Oriental,1804600000,,,,,,0.47424460,0.25417266
Salago,NIR,Siquijor,1806100000,,,,,,0.81937799,1.60765550
Salago,NIR,City of Bacolod,1830200000,,,,,,,
Salago,Region VII,Bohol,0701200000,,,,,,,
Salago,Region VII,Cebu,0702200000,,,,,,0.17259615,0.10769231
Salago,NIR,Negros Oriental,1804600000,,,,,,,
Salago,NIR,Siquijor,1806100000,,,,,,,
Salago,Region VIII,Biliran,0807800000,,,,,,,
Salago,Region VIII,Eastern Samar,0802600000,,,,,,,
Salago,Region VIII,Leyte,0803700000,,,,,,,
Salago,Region VIII,Northern Samar,0804800000,,,,,,,
Salago,Region VIII,Samar,0806000000,,,,,,,
Salago,Region VIII,Southern Leyte,0806400000,,,,,,,
Salago,Region IX,Sulu,0906600000,,,,,,,
Salago,Region IX,Zamboanga del Norte,0907200000,,,,,,,
Salago,Region IX,Zamboanga del Sur,0907300000,,,,,,,
Salago,Region IX,Zamboanga Sibugay,0908300000,,,,,,,
Salago,Region IX,City of Zamboanga,0907400000,,,,,,,
Salago,Region X,Bukidnon,1001300000,,,,,,,
Salago,Region X,Camiguin,1001800000,,,,,,,
Salago,Region X,Lanao del Norte,1003500000,,,,,,,
Salago,Region X,Misamis Occidental,1004200000,,,,,,,
Salago,Region X,Misamis Oriental,1004300000,,,,,,,
Salago,Region XI,Davao de Oro,1108200000,,,,,,,
Salago,Region XI,Davao del Norte,1102300000,,,,,,,
Salago,Region XI,Davao del Sur,1102400000,,,,,,,
Salago,Region XI,Davao Occidental,1108600000,,,,,,,
Salago,Region XI,Davao Oriental,1102500000,,,,,,,
Salago,Region XI,City of Davao,1130700000,,,,,,,
Salago,Region XII,Cotabato,1204700000,,,,,,,
Salago,Region XII,Sarangani,1208000000,,,,,,,
Salago,Region XII,Sultan Kudarat,1206500000,,,,,,,
Salago,Region XII,South Cotabato,1206300000,,,,,,,
Salago,Region XIII,Agusan del Norte,1600200000,,,,,,,
Salago,Region XIII,Agusan del Sur,1600300000,,,,,,,
Salago,Region XIII,Dinagat Islands,1608500000,,,,,,,
Salago,Region XIII,Surigao del Norte,1606700000,,,,,,,
Salago,Region XIII,Surigao del Sur,1606800000,,,,,,,
Salago,Region XIII,City of Butuan,1630400000,,,,,,,
Salago,BARMM,Basilan,1900700000,,,,,,,
Salago,BARMM,Lanao del Sur,1903600000,,,,,,,
Salago,BARMM,Maguindanao,1908800000,,,,,,,
Salago,BARMM,Maguindanao del Norte,1908700000,,,,,,,
Salago,BARMM,Maguindanao del Sur,1908800000,,,,,,,
Salago,BARMM,Sulu,0906600000,,,,,,,
Salago,BARMM,Tawi-tawi,1907000000,,,,,,,
