Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Patola,CAR,Abra,1400100000,,,,,,1.08,0.83
Patola,CAR,Apayao,1408100000,,,,,,0.83,1.91
Patola,CAR,Benguet,1401100000,,,,,,,
Patola,CAR,Ifugao,1402700000,,,,,,1.29,1.21
Patola,CAR,Kalinga,1403200000,,,,,,3.88,296.00
Patola,CAR,Mountain Province,1404400000,,,,,,,
Patola,Region I,Ilocos Norte,0102800000,,,,,,4.71,8.24
Patola,Region I,Ilocos Sur,0102900000,,,,,,4.26,7.35
Patola,Region I,La Union,0103300000,,,,,,4.18,4.36
Patola,Region I,Pangasinan,0105500000,,,,,,3.31,2.66
Patola,Region II,Batanes,0200900000,,,,,,2.66,0.73
Patola,Region II,Cagayan,0201500000,,,,,,2.90,1.77
Patola,Region II,Isabela,0203100000,,,,,,6.24,3.69
Patola,Region II,Nueva Vizcaya,0205000000,,,,,,4.22,1.20
Patola,Region II,Quirino,0205700000,,,,,,1.92,0.98
Patola,Region III,Aurora,0307700000,,,,,,2.09,3.55
Patola,Region III,Bataan,0300800000,,,,,,0.77,1.09
Patola,Region III,Bulacan,0301400000,,,,,,6.48,5.22
Patola,Region III,Nueva Ecija,0304900000,,,,,,3.59,0.84
Patola,Region III,Pampanga,0305400000,,,,,,1.30,1.16
Patola,Region III,Tarlac,0306900000,,,,,,3.74,4.19
Patola,Region III,Zambales,0307100000,,,,,,5.49,6.22
Patola,Region IV-A,Batangas,0401000000,,,,,,4.10,9.86
Patola,Region IV-A,Cavite,0402100000,,,,,,5.87,8.12
Patola,Region IV-A,Laguna,0403400000,,,,,,3.35,4.90
Patola,Region IV-A,Quezon,0405600000,,,,,,2.45,4.11
Patola,Region IV-A,Rizal,0405800000,,,,,,3.43,3.76
Patola,MIMAROPA,Marinduque,1704000000,,,,,,3.09,7.99
Patola,MIMAROPA,Occidental Mindoro,1705100000,,,,,,1.61,9.66
Patola,MIMAROPA,Oriental Mindoro,1705200000,,,,,,3.83,7.23
Patola,MIMAROPA,Palawan,1705300000,,,,,,1.92,2.60
Patola,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,2.00
Patola,MIMAROPA,Romblon,1705900000,,,,,,8.56,16.88
Patola,Region V,Albay,0500500000,,,,,,1.36,0.20
Patola,Region V,Camarines Norte,0501600000,,,,,,1.16,0.65
Patola,Region V,Camarines Sur,0501700000,,,,,,4.59,2.24
Patola,Region V,Catanduanes,0502000000,,,,,,16.42,3.07
Patola,Region V,Masbate,0504100000,,,,,,0.58,1.41
Patola,Region V,Sorsogon,0506200000,,,,,,3.43,3.02
Patola,Region VI,Aklan,0600400000,,,,,,2.71,1.76
Patola,Region VI,Antique,0600600000,,,,,,4.96,11.30
Patola,Region VI,Capiz,0601900000,,,,,,4.37,3.97
Patola,Region VI,Guimaras,0607900000,,,,,,7.14,4.97
Patola,Region VI,Iloilo,0603000000,,,,,,5.85,5.92
Patola,NIR,Negros Occidental,1804500000,,,,,,,
Patola,NIR,Negros Occidental,1804500000,,,,,,5.34,5.09
Patola,NIR,City of Bacolod,1830200000,,,,,,,6.00
Patola,NIR,Negros Oriental,1804600000,,,,,,0.47,0.18
Patola,NIR,Siquijor,1806100000,,,,,,5.60,5.35
Patola,Region VII,Bohol,0701200000,,,,,,4.06,4.62
Patola,Region VII,Cebu,0702200000,,,,,,4.92,3.87
Patola,NIR,Negros Oriental,1804600000,,,,,,,
Patola,NIR,Siquijor,1806100000,,,,,,,
Patola,Region VIII,Biliran,0807800000,,,,,,1.50,1.13
Patola,Region VIII,Eastern Samar,0802600000,,,,,,23.25,7.36
Patola,Region VIII,Leyte,0803700000,,,,,,2.96,1.04
Patola,Region VIII,Northern Samar,0804800000,,,,,,1.05,3.52
Patola,Region VIII,Samar,0806000000,,,,,,1.02,2.01
Patola,Region VIII,Southern Leyte,0806400000,,,,,,5.46,2.32
Patola,Region IX,Sulu,0906600000,,,,,,,0.53
Patola,Region IX,Zamboanga del Norte,0907200000,,,,,,2.74,1.76
Patola,Region IX,Zamboanga del Sur,0907300000,,,,,,5.72,7.75
Patola,Region IX,City of Zamboanga,0907400000,,,,,,6.78,5.33
Patola,Region IX,Zamboanga Sibugay,0908300000,,,,,,1.47,1.49
Patola,Region X,Bukidnon,1001300000,,,,,,5.15,3.59
Patola,Region X,Camiguin,1001800000,,,,,,3.77,3.19
Patola,Region X,Lanao del Norte,1003500000,,,,,,7.80,116.20
Patola,Region X,Misamis Occidental,1004200000,,,,,,2.03,1.90
Patola,Region X,Misamis Oriental,1004300000,,,,,,5.27,5.17
