Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Coconut (w/ husk),Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,2.790721649484536,12.508602150537634
Coconut (w/ husk),Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,14.36,17.05
Coconut (w/ husk),Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,1.3043478260869565,3.8260869565217397
Coconut (w/ husk),Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,1.0221105527638192,0.7130434782608696
Coconut (w/ husk),Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,6.6610769250235125,14.873817034700316
Coconut (w/ husk),Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,30.62751091703057,76.40482954545455
Coconut (w/ husk),Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,21.721971057575193,62.70326998144237
Coconut (w/ husk),Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,54.99733948208584,69.57391737182678
Coconut (w/ husk),Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,32.35948717948718,55.27787823990355
Coconut (w/ husk),Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,13.996852938674833,7.740874625286546
Coconut (w/ husk),Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,4.506666666666667,4.8
Coconut (w/ husk),Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,37.81461502092387,45.51101268103171
Coconut (w/ husk),Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,34.029077446274144,31.815428642528303
Coconut (w/ husk),Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,3.2208588957055215,0
Coconut (w/ husk),Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,13.871199999999998,6.494285714285715
Coconut (w/ husk),Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,0,0
Coconut (w/ husk),Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,0,0
Coconut (w/ husk),Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,0,0
Coconut (w/ husk),Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,41.34429166666666,50.99895000000001
Coconut (w/ husk),Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,15.757661338069866,32.05538739462064
Coconut (w/ husk),Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,39.91361719365789,57.059893500164
Coconut (w/ husk),Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,10.205714285714285,0.45
Coconut (w/ husk),Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,56.759641283754476,58.45909859154929
Coconut (w/ husk),Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,51.21385993143497,59.90029908928992
Coconut (w/ husk),Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,51.424410712081944,52.861925383077946
Coconut (w/ husk),Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,35.19676774408531,13.940333333333333
Coconut (w/ husk),Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,0,0
Coconut (w/ husk),MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,0,0
Coconut (w/ husk),MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Coconut (w/ husk),MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,7.055555555555556,10.833333333333334
Coconut (w/ husk),MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,0,0
Coconut (w/ husk),MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Coconut (w/ husk),MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,0,0
Coconut (w/ husk),Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,21.649912037037037,6.295962962962963
Coconut (w/ husk),Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,0,0
Coconut (w/ husk),Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,44.443148250949186,44.343150433826224
Coconut (w/ husk),Region V (Bicol Region),Catanduanes,0502000000,0,0,0,0,0,0.4391304347826087,0.4426229508196722
Coconut (w/ husk),Region V (Bicol Region),Masbate,0504100000,0,0,0,0,0,0,0
Coconut (w/ husk),Region V (Bicol Region),Sorsogon,0506200000,0,0,0,0,0,6.677419354838709,0
Coconut (w/ husk),Region VI (Western Visayas),Aklan,0600400000,0,0,0,0,0,0,7.000000000000001
Coconut (w/ husk),Region VI (Western Visayas),Antique,0600600000,0,0,0,0,0,74.41564930222648,79.76817391304348
Coconut (w/ husk),Region VI (Western Visayas),Capiz,0601900000,0,0,0,0,0,57.995484803948536,31.428898759559264
Coconut (w/ husk),Region VI (Western Visayas),Guimaras,0607900000,0,0,0,0,0,0,0
Coconut (w/ husk),Region VI (Western Visayas),Iloilo,0603000000,0,0,0,0,0,54.86143930652939,52.46793511912774
Coconut (w/ husk),Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,0,0
Coconut (w/ husk),Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,63.375345677896306,63.99795176538102
Coconut (w/ husk),Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,63.62928892909825,64.83058211666945
Coconut (w/ husk),Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,0,0
Coconut (w/ husk),Negros Island Region (NIR),City of Bacolod,1830200000,0,0,0,0,0,0,65.46313654063937
Coconut (w/ husk),Region VII (Central Visayas),Bohol,0701200000,0,0,0,0,0,1.1374045801526718,0.038461538461538464
Coconut (w/ husk),Region VII (Central Visayas),Cebu,0702200000,0,0,0,0,0,59.35709053406714,72.60955086875751
Coconut (w/ husk),Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,0,0
Coconut (w/ husk),Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,0,0
