Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Tobacco (Virginia),CAR,Abra,1400100000,,,,,,0.28998505,
Tobacco (Virginia),CAR,Apayao,1408100000,,,,,,,
Tobacco (Virginia),CAR,Benguet,1401100000,,,,,,,
Tobacco (Virginia),CAR,Ifugao,1402700000,,,,,,,
Tobacco (Virginia),CAR,Kalinga,1403200000,,,,,,,
Tobacco (Virginia),CAR,Mountain Province,1404400000,,,,,,,
Tobacco (Virginia),Region I,Ilocos Norte,0102800000,,,,,,1.86630202,1.99455685
Tobacco (Virginia),Region I,Ilocos Sur,0102900000,,,,,,0.93911614,1.20657611
Tobacco (Virginia),Region I,La Union,0103300000,,,,,,1.22281818,1.08733715
Tobacco (Virginia),Region I,Pangasinan,0105500000,,,,,,,
Tobacco (Virginia),Region II,Batanes,0200900000,,,,,,,
Tobacco (Virginia),Region II,Cagayan,0201500000,,,,,,,
Tobacco (Virginia),Region II,Isabela,0203100000,,,,,,,1.01237548
Tobacco (Virginia),Region II,Nueva Vizcaya,0205000000,,,,,,,
Tobacco (Virginia),Region II,Quirino,0205700000,,,,,,,
Tobacco (Virginia),Region III,Aurora,0307700000,,,,,,,
Tobacco (Virginia),Region III,Bataan,0300800000,,,,,,,
Tobacco (Virginia),Region III,Bulacan,0301400000,,,,,,,
Tobacco (Virginia),Region III,Nueva Ecija,0304900000,,,,,,,
Tobacco (Virginia),Region III,Pampanga,0305400000,,,,,,,
Tobacco (Virginia),Region III,Tarlac,0306900000,,,,,,,
Tobacco (Virginia),Region III,Zambales,0307100000,,,,,,,
Tobacco (Virginia),Region IV-A,Batangas,0401000000,,,,,,,
Tobacco (Virginia),Region IV-A,Cavite,0402100000,,,,,,,
Tobacco (Virginia),Region IV-A,Laguna,0403400000,,,,,,,
Tobacco (Virginia),Region IV-A,Quezon,0405600000,,,,,,,
Tobacco (Virginia),Region IV-A,Rizal,0405800000,,,,,,,
Tobacco (Virginia),MIMAROPA,Marinduque,1704000000,,,,,,,
Tobacco (Virginia),MIMAROPA,Occidental Mindoro,1705100000,,,,,,,
Tobacco (Virginia),MIMAROPA,Oriental Mindoro,1705200000,,,,,,,
Tobacco (Virginia),MIMAROPA,Palawan,1705300000,,,,,,,
Tobacco (Virginia),MIMAROPA,Romblon,1705900000,,,,,,,
Tobacco (Virginia),MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,
Tobacco (Virginia),Region V,Albay,0500500000,,,,,,,
Tobacco (Virginia),Region V,Camarines Norte,0501600000,,,,,,,
Tobacco (Virginia),Region V,Camarines Sur,0501700000,,,,,,,
Tobacco (Virginia),Region V,Catanduanes,0502000000,,,,,,,
Tobacco (Virginia),Region V,Masbate,0504100000,,,,,,,
Tobacco (Virginia),Region V,Sorsogon,0506200000,,,,,,,
Tobacco (Virginia),Region VI,Aklan,0600400000,,,,,,,
Tobacco (Virginia),Region VI,Antique,0600600000,,,,,,,
Tobacco (Virginia),Region VI,Capiz,0601900000,,,,,,,
Tobacco (Virginia),Region VI,Guimaras,0607900000,,,,,,,
Tobacco (Virginia),Region VI,Iloilo,0603000000,,,,,,,
